objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
台北松山燙金店面,8980,8980,公寓,無,121.559768824,25.0485149159,9.3,22.78,7.14,105
八德住辦停車一樓,4288,4288,華廈,無,121.556446044,25.0492665527,7.89,23.01,2.44,105
05小巨蛋學區都更宅,3880,3880,公寓,無,121.555643082,25.0504879879,12.02,28.03,3.35,105
新東街靜巷雅居一樓,2888,2888,公寓,無,121.565799299,25.0623867202,7.99,15.85,2.4,105
民權東路正店面,9880,9880,華廈,無,121.546312802,25.0618353994,13.2,29.72,31.71,105
涵峰,22868,22868,大樓,私有,121.549244124,25.0607566477,28.59,74.6,13.29,105
南京東路五段河景大套房,2089,2089,大樓,無,121.570725093,25.0516860949,2.2,11.74,1.01,105
敦化•介壽設籍店面,3100,3100,公寓,無,121.556252315,25.0490832111,7.52,22.25,3.37,105
忠孝敦化三角窗店面,5888,5888,公寓,無,121.549823003,25.0453840407,8.77,26.96,2.9,105
南京三民一樓店面,2688,2688,公寓,無,121.565703105,25.0519074854,5.78,19.34,2.2,105
復北捷運帝國大廈頂家美宅,4980,4980,大樓,無,121.544327665,25.0556838243,4.74,23.14,6.62,105
敦化雙學區低調奢華豪宅,15880,15880,華廈,私有,121.547184,25.054023,14.95,42.34,7.79,105
敦南世田介,7380,7380,大樓,私有,121.54802447,25.0461177982,7.52,24.04,2.83,105
楓韻晴川挑高3米6,1780,1780,大樓,無,121.570725093,25.0516860949,1.73,9.23,0.77,105
獨家~巨蛋捷運介壽一樓,3480,3480,公寓,無,121.556938605,25.0506313828,10.74,25.2,0,105
捷運中山國中站精華金店面,5800,5800,大樓,無,121.545177688,25.062293027,5.91,22.02,2.82,105
大路邊電梯店面辦公透天,15000,15000,透天,無,121.565923346,25.0488931997,32.65,103.15,21.48,105
南京三民透天收租置產,4380,4380,透天,無,121.568910823,25.0524502966,27.53,40.14,0,105
敦南林蔭景觀豪宅4房2衛,7668,7668,大樓,無,121.549258856,25.0457778095,8.51,50.96,4.31,105
敦化北路靜巷美一樓,8300,8300,華廈,無,121.550328821,25.0538907134,30.1,57.42,0,105
松山南京捷運旁公寓,3988,3988,公寓,無,121.560425048,25.052018871,13.08,36.21,2.8,105
南京復興捷運景觀頂家,4980,4980,大樓,無,121.544327665,25.0556838243,4.74,23.14,6.62,105
大巨蛋低總金店面,1208,1208,華廈,私有,121.558368078,25.0455514783,0.48,1.18,0,105
小巨蛋黃金店面,8980,8980,公寓,無,121.559768824,25.0485149159,9.3,22.78,7.14,105
商用來禮大廈,3588,3588,大樓,無,121.559360014,25.051716112,4.2,28.77,2.03,105
獨家介壽民權雙公園樹海2樓,3288,3288,公寓,無,121.560293395,25.0597762219,9.86,31.18,5.03,105
專約-光復南路超級棒住辦現收租,7055,7055,大樓,私有,121.557925653,25.0455919093,7.98,71.47,6.49,105
松山連鎖金店面,2280,2280,大樓,無,121.569051,25.05724,,26.56,0,105
南京三民站民生圓環金店面,5688,5688,大樓,無,121.56081934,25.0554404182,8.43,23.69,0,105
新東街靜巷美寓,2580,2580,公寓,無,121.566603035,25.0581225351,13.12,32.44,2.57,105
民生社區邊間美屋三房,2168,2168,公寓,無,121.565728823,25.0657622424,13.95,24.8,2.87,105
松山捷運景觀收租商旅,13800,13800,大樓,私有,121.569927788,25.0507633916,16.36,141.51,22.31,105
饒河捷運站對面人潮店面,7380,7380,大樓,無,121.576323082,25.0498691412,6.52,25.47,0,105
松山饒河夜市新店面,6380,6380,大樓,無,121.576195724,25.0507597236,8.32,17.02,0,105
福之鄉大廈４房美宅,5150,5150,華廈,無,121.546383734,25.0594027083,3.99,37.12,4.66,105
松山機場站映虹園電梯美廈,3688,3688,華廈,無,121.549295719,25.0626853573,7.12,36.6,5.14,105
獨家台北摩根高樓小豪宅,2288,2288,大樓,私有,121.564962423,25.0515847505,1.47,9.53,1.52,105
復興北路店面,4999,4999,大樓,無,121.544460311,25.056493773,1.27,20.99,3.78,105
雙敦學區國泰佳倍家,3880,3880,公寓,無,121.552527322,25.0449075183,10.13,30.83,4.04,105
台北新東街三角窗店面,4168,4168,華廈,無,121.567798176,25.0597049289,4.23,22.01,0,105
