物件名稱,售價,經度,緯度,屋齡
中正國中庭院美宅坡平,6200.0,121.517583063,25.0294186861,34.0
B5精裝絕美水岸4米6,1358.0,121.521303939,25.0207580401,20.8
古亭捷運靜巷一樓書香宅,3988.0,121.522202148,25.0252816811,47.8
寧波西街招財金店面,5880.0,121.516087401,25.0299092611,41.8
近古亭捷運站七號出口車位,155.0,121.521213037,25.0276168032,19.0
Y164中正區住三之壹大土地,9600.0,121.515869337,25.0262629089,
【專任】古亭捷運站邊間一樓,2480.0,121.52058231,25.0238048387,50.6
國盛花園稀有低總2房,1150.0,121.506782195,25.0279414127,45.4
紀念堂景觀三房附車位,4250.0,121.517286503,25.0312815267,23.9
台北車站世界大樓商辦,2200.0,121.51332653,25.0430414071,47.1
捷運新銳敞亮辦公,7080.0,121.522941627,25.0260208582,34.3
台電大樓站師大路黃金招牌店辦,2780.0,121.52480348,25.0211164244,44.3
植物園站.稀有大露台.三房+休旅車位,3850.0,121.512027388,25.0284242518,10.3
廈門街稀有黃金店面含地下室,2999.0,121.517394364,25.0223899945,6.8
廈門街三角窗金店面,2999.0,121.517394364,25.0223899945,6.8
台北車站稀有停車位*2,300.0,121.513343763,25.0446176258,23.7
螢橋國小北歐風超值三房,2088.0,121.512942811,25.0244544935,49.4
雙子星熱浪｜昇陽城中高樓明亮格局,2680.0,121.510358228,25.0444451284,8.2
中正國中設籍電梯採光宅,2350.0,121.517883999,25.0302777065,16.9
博愛路收租金店面,13900.0,121.51138,25.043402,37.2
西門博愛特區危老金店,13900.0,121.511410077,25.0433585684,37.2
A12中正螢橋北歐美寓三樓,2088.0,121.512942811,25.0244544935,49.4
中正泉州靜巷光感木質寓邸,2088.0,121.512942811,25.0244544935,49.4
螢橋國小精裝3樓美寓,2088.0,121.512942811,25.0244544935,49.4
V70超值選中正區最美三房,2088.0,121.512942811,25.0244544935,49.4
D13中正泉州美公寓,2088.0,121.512942811,25.0244544935,49.4
螢橋全新3房,2088.0,121.512942811,25.0244544935,49.4
【西門站｜市大附小・弘道國中】,798.0,121.512491743,25.0421962421,31.9
螢橋國小精美三房美寓,2088.0,121.512942811,25.0244544935,49.4
古亭美裝邊間三樓,2088.0,121.512942811,25.0244544935,49.4
E09泉州街免爬高採光佳釋出,2088.0,121.512942811,25.0244544935,49.4
古亭站典雅三樓黑土美寓,3380.0,121.518001572,25.0239760297,59.0
螢橋雙語美寓三樓,2088.0,121.512942811,25.0244544935,49.4
正面中正國中校園電梯3房,4288.0,121.521250140455,25.0312587009363,41.9
獨家東門捷運VIGORLIN東門中正國中極美裝潢,4380.0,,,1.0
東門珍第捷運美三房,6388.0,121.527582711,25.0351712878,16.0
❤新隆都更店面中正國中,2188.0,121.52009612,25.0319486936,40.4
中正國中庭院一樓,4188.0,121.528193139,25.0363356919,41.2
中正國中庭院一樓,4188.0,121.528193139,25.0363356919,34.0
C55古亭北歐風清心美寓,2088.0,121.512942811,25.0244544935,49.4
雙語螢橋國小全新裝潢美三房,2088.0,121.512942811,25.0244544935,49.4
螢橋國小雙語學區大三房,2088.0,121.512942811,25.0244544935,49.4
小靜精選-中正區雙語螢橋國小三樓三房雙衛,2088.0,121.512942811,25.0244544935,49.4
螢橋雙語國小邊間精品3樓,2088.0,121.512942811,25.0244544935,49.4
螢橋國小全潢黃金三樓美寓,2088.0,121.512942811,25.0244544935,49.4
螢橋國小漂亮三房,2088.0,121.512942811,25.0244544935,49.4
雙語螢橋國小美妝三房,2088.0,121.512942811,25.0244544935,49.4
029BH台北中正區三樓美寓,2088.0,121.512942811,25.0244544935,49.4
中正雙語學區時尚美寓,2088.0,121.512942811,25.0244544935,49.4
大西門金店面,13900.0,121.511410077,25.0433585684,37.2
古亭3分鐘電梯正兩室,2880.0,121.522167815,25.0258409669,29.3
中正金鑽電梯古亭捷運正兩室,2880.0,121.522167815,25.0258409669,29.3
Y632東方文學紀州同安3F,6088.0,121.520303598,25.0219965247,0.8
Y634東方文學紀州同安5F,6288.0,121.520303598,25.0219965247,0.8
Y636東方文學紀州同安7F,6488.0,121.520303598,25.0219965247,0.8
Y635東方文學紀州同安6F,6388.0,121.520303598,25.0219965247,0.8
Y631東方文學紀州同安2F,5988.0,121.520303598,25.0219965247,0.8
Y633東方文學紀州同安4F,6188.0,121.520303598,25.0219965247,0.8
師大水岸高樓河景,2880.0,121.521303939,25.0207580401,20.8
中正DC搶手三角窗金店面,4688.0,121.517883999,25.0302777065,16.9
古亭捷運邊間3房美廈,2880.0,121.518036741,25.0262567167,42.3
中正傳家．高樓豪邸,17588.0,121.519496009,25.0312963836,16.9
昌承辦-中正國中豪邸大戶,17588.0,121.5196528,25.0314258,16.9
市大附小採光捷運旁辦公大樓,1425.0,121.513366898,25.0422219373,43.4
獨家台大公館低總套房,1588.0,121.532337522,25.0157388154,13.8
博愛特區揚昇君臨精緻豪宅,10800.0,121.511607934,25.0436252579,12.3
忠孝新生獨棟美寓,3200.0,121.530199867,25.0396416561,49.3
絕美!安家藏玉前棟高樓景觀可2房,3680.0,121.528381522,25.0426707388,0.5
小南門帝璟苑露臺戶,8688.0,121.508461909,25.03861552,6.7
仁愛官道都更收租金店,13800.0,121.522253548,25.0384926826,52.9
近北車雙子星隔套收租電梯地段佳,1588.0,121.516166608,25.0454183249,45.6
西門站商四收租精品II,832.0,121.509129428,25.0422509702,45.1
師大樹海大面寬(窗)採光住辦電,4288.0,121.524693816,25.0210689761,44.3
中正杭州空中花園豪邸,11800.0,121.526326,25.041754,18.2
和平西路三角金店,8800.0,121.517829456,25.0266290882,17.8
植物園捷運站旁三角窗金店,8200.0,121.512053887,25.0288714535,29.8
博愛路大坪數店王,14900.0,121.511410077,25.0433585684,37.2
台北車站未來國門雙子星美屋,1350.0,121.515855622,25.0464205458,35.6
西門捷運正馬路大面寬店霸,13900.0,121.511410077,25.0433585684,37.2
京站之心D戶,668.0,121.516604207,25.0446964299,46.1
京站之心D戶,668.0,121.516604207,25.0446964299,46.1
杭州南樹海大空間,4080.0,121.5263748,25.0419826778,33.8
台電高樓電梯3房,2950.0,121.527410484,25.0211667312,49.8
臺大醫院面公園綠景商四辦公室,1552.0,121.513983419,25.043098124,49.7
學區黃金裝潢美寓,2088.0,121.512942811,25.0244544935,49.4
台北車站黃金店面,2300.0,121.514061846,25.0445767598,23.7
台北車站黃金店面,2300.0,121.514061846,25.0445767598,19.4
國家水岸景觀辦公,16468.0,121.519167685,25.0212157004,33.6
台北車站收租金店面,2400.0,121.514061846,25.0445767598,23.7
國家音悅廳精緻宅邸,5280.0,121.523562231,25.0246776049,18.1
網紅打卡捷運鑽石店面,4500.0,121.526890839,25.0209570682,54.0
水岸景觀藝術畫廊,15800.0,121.519167685,25.0212157004,34.6
市大附小弘道美屋,1535.0,121.518626621,25.0320588265,43.3
專任講中正國中設籍NO.1,2288.0,121.52953121,25.0396575577,11.1
興盛【北車站前】面寬旗艦店,15800.0,121.509919988,25.0450838658,39.8
台大捷運公館美廈,2780.0,121.530912212,25.01579542,44.9
北車雙子星精美辦公,1425.0,121.513366898,25.0422219373,43.4
中正區黃金店王,11000.0,121.522257117,25.0246607499,39.5
中正國中黃金壹樓坪數實在停車方便,6250.0,121.52654693,25.0406546921,43.0
重慶南官道林蔭邊間店面,3960.0,121.515571873,25.0293236558,46.9
螢橋國小優質學區鼎佳三房,1288.0,121.511826187,25.0263711567,49.2
台大三角窗金店面,24300.0,121.528735467,25.019913791,10.2
台北車站稀有商四透店,26800.0,121.516426696,25.0445955884,64.9
中正國中新隆準都更永久棟距潛力正3房,4800.0,121.521201289,25.0321280098,40.4
植物園站實小南門學區電梯大坪數,3988.0,121.511286652,25.0293205462,39.8
北車重慶南路金店面,13800.0,121.513236918,25.0417086074,43.4
學區低樓層公寓增值屋,1880.0,121.511670656,25.0249864767,47.3
B202公館新館車位,150.0,121.534128781,25.0132851449,19.3
正博愛路金店面,13900.0,121.511410077,25.0433585684,37.2
全新中正區捷運電梯兩房,3280.0,121.508577572,25.0287961628,1.1
植物園全新邊間電梯兩房,3280.0,121.508577572,25.0287961628,1.1
專約【當代】仁愛林蔭6米樓中樓,10700.0,121.526697134,25.0384284649,25.5
專約【當代】仁愛林蔭6米樓中樓,10700.0,121.526697134,25.0384284649,25.5
專約【當代】仁愛林蔭6米樓中樓,10500.0,121.526697134,25.0384284649,25.5
專約【當代】仁愛林蔭6米樓中樓,10500.0,121.526697134,25.0384284649,25.5
小南門捷運全新兩房車Ⅲ,3280.0,121.508577572,25.0287961628,
北車採光兩房,1980.0,121.511410077,25.0433585684,37.2
小南門捷運全新兩房車Ⅱ,3280.0,121.508577572,25.0287961628,1.1
南海1號苑採光兩房車位,3280.0,121.508577572,25.0287961628,1.1
南海1號苑通風兩房車位,3280.0,121.508577572,25.0287961628,1.1
經濟部三角窗發財店面,4138.0,121.515596765,25.0275449299,47.3
最佳百業首選中正大觀店辦,5500.0,121.518317745,25.0298777287,16.0
植物園捷運站全新2房車(2),3280.0,121.508577572,25.0287961628,1.1
I9出售東門永康獨立車位,170.0,121.527677196,25.0351938836,16.0
京站之心D戶,668.0,121.516604207,25.0446964299,46.1
京站之心D戶,668.0,121.516604207,25.0446964299,46.1
【地上權D】城中美寓宜置產收租,668.0,121.516604207,25.0446964299,46.1
昌承辦-國門低總價兩房(四),668.0,121.516604207,25.0446964299,46.1
中正國中學區賓士車位,190.0,121.518558582,25.030069659,16.0
南海一號院全新兩房,3221.0,121.508577572,25.0287961628,1.1
獨家景觀精美三房露台帶休旅車位,2888.0,121.517465365,25.0227114998,15.6
電梯華廈頂樓空中花園,3588.0,121.50841411,25.0257714944,41.2
植物園捷運站全新2房車(1),3221.0,121.508577572,25.0287961628,1.1
植物園站.實小建中.電梯邊間4房,2990.0,121.511929049,25.0286988935,38.1
中維大廈,4980.0,121.507811713,25.0262816941,43.1
國泰仁愛首都五房名邸,8880.0,121.530970306,25.0383979904,49.3
古亭站新裝潢低公設華廈3室,2998.0,121.523833373,25.0248382815,38.2
台電大樓．收租小品,2980.0,121.52913801,25.0176981016,44.6
璞園丹陽全新附雙車,13200.0,121.524115585,25.0394625864,0.8
&東門耕玉綠景豪邸,18029.0,121.530419821,25.0350459148,1.9
台大公館電梯三房,3488.0,121.534315257,25.0134615004,54.5
杭州南三角窗双店面,5980.0,121.525329621,25.0391695543,39.9
北市水源整宅公辦都更宅,2568.0,121.524268415,25.0182111947,60.3
中正國中東門捷運設籍首選信義金山角,2188.0,121.527674291,25.0342192502,28.8
京站之心B戶,999.0,121.516604207,25.0446964299,46.1
京站之心B戶,999.0,121.516604207,25.0446964299,46.1
44台大精華商圈華廈收租,3246.0,121.532724657,25.014962718,40.6
京站之心B戶,999.0,121.516604207,25.0446964299,46.1
京站之心B戶,999.0,121.516604207,25.0446964299,46.1
昌承辦-國門低總價三房(二),999.0,121.516604207,25.0446964299,46.1
【地上權B】城中美寓宜置產收租,999.0,121.516604207,25.0446964299,46.1
仁愛高樓美四房,6880.0,121.52635,25.036836,42.0
古亭捷運鼎佳美廈,5280.0,121.52303872,25.0258845506,38.3
D61專賣古亭中正國中學區美寓,3199.0,121.519396176,25.0275608392,39.6
專賣台大公館捷運美宅,1720.0,121.532317005,25.0157295142,13.8
都更建地容積400送房,3480.0,121.518136,25.03227,
可約看台大公館精品宅,2180.0,121.532317005,25.0157295142,13.8
東門捷運仁愛華廈,6880.0,121.526350654,25.0368234059,42.0
仁愛靜巷樓中樓,6880.0,121.526350654,25.0368234059,42.0
東門華廈4房樓中樓,6880.0,121.526350654,25.0368234059,42.0
125新生南收租金店面,4998.0,121.532502,25.036578,47.8
中正東門樓中樓四房,6880.0,121.526350654,25.0368234059,42.0
善導寺捷運中正杭州一層一戶豪邸,10888.0,121.526299627,25.0417335575,18.2
中正紀念堂捷運採光美寓,4350.0,121.517669893,25.0322343865,40.0
古亭面校園電梯採光大四房,3188.0,121.5157249,25.0259744,55.8
台北車站收租透天金店面,8888.0,121.514207838,25.0449428728,49.9
實小南門捷運兩房,1298.0,121.5051177,25.0321511,53.8
中正國中電梯頂加，四面採光美,5500.0,121.519398,25.0286735,46.4
近公館站電梯鼎佳,4650.0,121.530910305,25.0164572344,40.4
古亭．巨流河水岸三房美宅,4808.0,121.519953525,25.0211285998,6.9
古亭捷運站～高質感絕美電梯大三房,2780.0,121.51598489,25.0265743796,40.4
公館商圈店面,8900.0,121.533276,25.014007,50.0
116方念拾山樹海森活,18800.0,121.532519155,25.0340809949,11.1
巨流河水岸文青2房2衛,4068.0,121.5199908,25.0211046,6.9
巨流河小家庭3房車,4180.0,121.519953525,25.0211285998,6.9
古亭捷運電梯頂加收租聖品,3300.0,121.518764205,25.0243598491,49.9
力麒人文河景四房美邸,9888.0,121.517713753,25.0269707804,14.7
台北車站黃金商場店面,9888.0,121.509799681,25.0458632903,37.5
中正區透天專約,1900.0,121.513331824,25.0242202469,43.7
師大君逸精緻2+1房,5600.0,121.525554422,25.0223766146,13.5
西門站商四收租精品,993.0,121.509178778,25.0422528142,45.1
力麒首御河光帝景四房尊榮雙車位,9888.0,121.517713753,25.0269707804,14.7
京站之心A戶,839.0,121.516604207,25.0446964299,46.1
京站之心A戶,839.0,121.516604207,25.0446964299,46.1
弘道市大附小低價學區美屋,1535.0,121.518626621,25.0320588265,43.3
東門電梯明亮四房,4105.0,121.5295307,25.0357192,57.4
京站之心A戶,839.0,121.516604207,25.0446964299,46.1
京站之心A戶,839.0,121.516604207,25.0446964299,46.1
古亭捷運金店面,4980.0,121.521512744,25.0273778381,40.3
【地上權A】城中美寓宜置產收租,839.0,121.516604207,25.0446964299,46.1
昌承辦-國門低總價兩房(一),839.0,121.516604207,25.0446964299,46.1
中正紀念堂站機械車位,205.0,121.519666692,25.0304678666,22.8
JZ7雙星北車超值雙車位,380.0,121.513343763,25.0446176258,23.5
雙子星三捷運低總辦公,1425.0,121.513366898,25.0422219373,43.4
京站之心C戶,799.0,121.516604207,25.0446964299,46.1
京站之心C戶,799.0,121.516604207,25.0446964299,46.1
小南門捷運全新兩房車Ⅰ,3221.0,121.508577572,25.0287961628,1.1
中華路雙拼三房華廈,2300.0,121.509861837,25.0248309847,48.7
南海1號苑方正兩房車位,3221.0,121.508577572,25.0287961628,1.1
京站之心C戶,799.0,121.516604207,25.0446964299,46.1
京站之心C戶,799.0,121.516604207,25.0446964299,46.1
【地上權C】城中美寓宜置產收租,799.0,121.516604207,25.0446964299,46.1
昌承辦-國門低總價兩房(三),799.0,121.516604207,25.0446964299,46.1
國語實小稀有店辦,4900.0,121.515886237,25.0316590406,50.3
水岫高樓美景後棟三房車,4360.0,121.516942664,25.0226026662,14.0
『東方大樓』近捷運北車雙子星辦公,1425.0,121.5133585,25.0419314,43.4
捷運台電大樓管理美廈,2950.0,121.527410484,25.0211667312,49.8
城南水岸金店面,2970.0,121.517491698,25.0220802829,7.6
二二八衡陽金店辦,6913.0,121.513616514,25.042226336,34.7
衡陽財經首選辦公,7800.0,121.512491743,25.0421962421,31.9
北車衡陽財經首選辦公＋車,7800.0,121.512491743,25.0421962421,32.0
中正豪園獨戶高樓帝景,7200.0,121.514073587,25.0273567826,13.3
北車國門透天厝(二),8900.0,121.512603292,25.0430892107,68.9
實小學區獨棟美廈,4580.0,121.513832521,25.028270373,46.2
北車 雙子星 辦公大樓,1425.0,121.513366898,25.0422219373,43.4
中正區(鑽石華廈)庭院挑高一樓,3580.0,121.517735423,25.0239711437,18.2
璞園丹陽全新4房3衛,13200.0,121.524115585,25.0394625864,0.8
🍎台電大樓站🍎都更金店面,4850.0,121.52657998,25.0209891739,69.7
中正區古亭捷運旁南昌路精華店面,7268.0,121.519800365,25.0280193963,43.5
建中實小電梯透天,17800.0,121.511793788,25.0287963144,35.4
公館捷運獨棟電梯透天,7750.0,121.53205299,25.0158637173,13.8
專任-舊力霸百貨商場攤位,238.0,121.509628296,25.0425958614,45.1
<專約>中正區透天收租屋,2580.0,121.513776376,25.0244286436,47.8
古亭捷運4房靜巷明亮方正大漂亮,3680.0,121.518290763,25.0255610424,44.8
古亭水岸第一排景觀屋,3380.0,121.517465405,25.0216305051,47.0
誠售中正螢橋電梯4房,2768.0,121.514139674,25.0248478053,48.6
國庭大廈坡道機械車位,115.0,121.527568375,25.0435556086,20.6
古亭站口/三車位(可單獨買,500.0,121.521213037,25.0276168032,19.0
西門站商四都更收租王,832.0,121.509129428,25.0422509702,45.1
西門站商四都更收租王,832.0,121.509129428,25.0422509702,45.1
西門站商四都更收租王,832.0,121.509129428,25.0422509702,45.1
西門站商四都更收租王,832.0,121.509129428,25.0422509702,45.1
北車國門透天厝(一),8900.0,121.512603543,25.0431495998,68.9
捷運古亭一樓大空間靜謐經典美宅,3988.0,121.522202148,25.0252816811,47.8
"泰安觀止,泰安靜巷稀有豪宅釋出",12800.0,121.527356075,25.0406686739,20.1
D52汀州路三角窗金店面,3580.0,121.505882104,25.0322297302,42.2
植物園和平西路三角窗挑高金店面,8200.0,121.512053887,25.0288714535,29.8
揚昇君臨設計師的家,12850.0,121.511607934,25.0436252579,12.3
中正名門高樓三房,4600.0,121.517308514,25.0309373561,33.8
紀念堂站低總價,1535.0,121.518626621,25.0320588265,43.3
中正上雍4房車,6888.0,121.517459306,25.0229343264,13.3
中正和平西路三角窗金店面,8200.0,121.512053887,25.0288714535,29.8
古亭站新廈墨香軒,5988.0,121.520303598,25.0219965247,0.8
西門站商四投報收租王,993.0,121.509178778,25.0422528142,45.1
西門站商四投報收租王,993.0,121.509178778,25.0422528142,45.1
西門站商四投報收租王,993.0,121.509178778,25.0422528142,45.1
西門站商四投報收租王,993.0,121.509178778,25.0422528142,45.1
Y580雙子星高樓景觀小資宅,1368.0,121.515855622,25.0464205458,35.6
大安森林公園透天,6888.0,121.531891754,25.0355634087,57.7
銅山官巷大庭院一樓,7800.0,121.528288725,25.0395009766,48.7
台電大樓站金店面!,4500.0,121.526890839,25.0209570682,54.0
北車稀有高樓商辦,6380.0,121.515855622,25.0464205458,35.6
杭州南路面寬店面,8800.0,121.521785167,25.0290174955,44.7
古亭捷運電梯方正2房,2398.0,121.519573065,25.0263794234,40.8
匯台大精品套房,1588.0,121.532337522,25.0157388154,13.8
幸安金華靜巷頂加美寓,2900.0,121.531188237,25.0360957047,53.3
中正區水岸景觀三房(車位),4808.0,121.519953525,25.0211285998,6.9
匯台大精品美宅A,1588.0,121.532337522,25.0157388154,13.8
巨流河文青三房附車位,4180.0,121.519953525,25.0211285998,6.9
巨流河河岸三房附車位,4808.0,121.519953525,25.0211285998,6.9
中正名門高樓景觀三房,4600.0,121.517308514,25.0309373561,33.8
中正上雍名邸邊間4房車位近捷運,6888.0,121.517459306,25.0229343264,13.3
臺大醫院電梯美廈,3600.0,121.521469777,25.0378817888,41.3
台電大樓公館高樓電梯頂加,4650.0,121.530910305,25.0164572344,40.4
富享榮華四房後棟平車,9200.0,121.518797574,25.0325652084,-1.0
中正紀州同安2,5988.0,121.520303598,25.0219965247,0.8
古亭捷運電梯美妝2房車,4180.0,121.523049247,25.0231185637,17.9
中正紀州同安4,6188.0,121.520303598,25.0219965247,0.8
古亭捷運辦公後棟安靜,4180.0,121.524404861,25.0239345941,42.0
中正紀州同安7,6488.0,121.520303598,25.0219965247,0.8
中正紀州同安6,6388.0,121.520303598,25.0219965247,0.8
中正紀州同安3,6088.0,121.520303598,25.0219965247,0.8
力麒首御高樓雙車位,8988.0,121.517713753,25.0269707804,14.7
中正區門牌獨棟大三房美寓,2880.0,121.5160397,25.024265,49.8
中正廈門大面寬店面,2800.0,121.517315,25.0247516,48.2
水岫  藏於城市的靜境,4360.0,121.516942664,25.0226026662,14.0
捷運台電大樓站2+1房,2950.0,121.527410484,25.0211667312,49.8
台電捷運高樓景觀2+1房,2950.0,121.527410484,25.0211667312,49.8
台電捷運採光電梯2+1房,2950.0,121.527410484,25.0211667312,49.8
汀州路大馬路土地,5145.0,121.51161,25.02668,
&古亭大都市指標A辦,14100.0,121.522485897,25.0266375858,30.0
專任。仁愛綠蔭美妝一樓附車位,5680.0,121.523945821,25.0391768282,27.8
臻第小資最愛美宅,980.0,121.517003598,25.0238795751,17.3
精選中正學區住辦頂加,5500.0,121.519272441,25.0286445816,46.4
中正水源精美辦公,2800.0,121.515800354,25.0237606402,37.3
公設未登古亭國中旁優質雙拼華廈,2300.0,121.509861837,25.0248309847,48.7
植物園國泰邊間採光三房,3350.0,121.506423657,25.0340250146,
廈門街三角窗美店面,2888.0,121.517394364,25.0223899945,6.8
台大東門三層店住辦,8980.0,121.52364337,25.0397757185,41.8
東門永康金店,8288.0,121.530284522,25.0345754208,58.8
台大捷運高樓美居,1988.0,121.534266824,25.014501361,20.3
台北車站前透天收租王,26800.0,121.516426696,25.0445955884,62.7
公館台大危老透天,26800.0,121.535781,25.013015,59.5
信陽商四危老透天,26800.0,121.516413,25.044623,63.9
台大公館美宅附車位,2188.0,121.532317005,25.0157295142,13.8
公館高樓景觀電梯套房,1988.0,121.534266824,25.014501361,20.3
地王商四透天金店,26800.0,121.516426696,25.0445955884,65.2
站前三角窗店王,33000.0,121.514872613,25.0460748669,49.1
