objName,age
臺大醫院電梯美廈,41.3
經濟部三角窗發財店面,47.3
台電捷運高樓景觀2+1房,49.8
富享榮華四房後棟平車,-1
台電捷運採光電梯2+1房,49.8
中正紀州同安2,0.8
中正紀州同安4,0.8
古亭捷運辦公後棟安靜,42
中正紀州同安7,0.8
中正紀州同安6,0.8
中正紀州同安3,0.8
力麒首御高樓雙車位,14.7
中正紀州同安5,0.8
巨流河210度河景豪宅,6.9
中正區門牌獨棟大三房美寓,49.8
中正廈門大面寬店面,48.2
公設未登古亭國中旁優質雙拼華廈,48.7
古亭站新裝潢低公設華廈3室,38.2
&古亭大都市指標A辦,30
專任。仁愛綠蔭美妝一樓附車位,27.8
璞園丹陽全新4房3衛,0.8
臻第小資最愛美宅,17.3
精選中正學區住辦頂加,46.4
中正水源精美辦公,37.3
廈門街三角窗美店面,6.8
台大東門三層店住辦,41.8
東門永康金店,58.8
台大捷運高樓美居,20.3
台北車站前透天收租王,62.7
公館台大危老透天,59.5
信陽商四危老透天,63.9
台大公館美宅附車位,13.8
古亭捷運鼎佳美廈,38.3
公館高樓景觀電梯套房,20.3
地王商四透天金店,65.2
站前三角窗店王,49.1
精美角窗黃金店面/2樓~B1,32.1
博愛特區三室車,10.4
捷運台電大樓站旁純金雙店面,49.1
元利群英高樓層$,20.2
博愛特區美妝豪華3房+車位,10.4
台北車站麥當勞店面,37.5
捷運古亭面寬店王,39.5
古亭捷運站口商三8米巷金店面,19
台電大樓捷運低總2房,49.8
稀有商四黃金透天店面,64.7
蛋黃區稀有商四邊間透天,48.3
北車信陽透天鑽石店面,62.3
正忠孝東路玻璃帷幕純辦,43.3
仁愛路大面寬金店面,30.7
捷運東門超商三角窗店面,47.8
032杭南住辦48~111坪A,40.6
D66善導寺捷運住辦,40.6
忠孝新生捷運超商,43.9
034杭南住辦48~111坪B,40.6
詔安街一樓,48.5
城中武昌站前B1店面,27.1
興盛【北車站前】麥當勞旁透天店,65.2
獨家專賣未來捷運南機場三角窗金,58.8
善導寺捷運中正杭州一層一戶豪邸,18.2
忠孝新生三角窗金店$,43.9
廈門都更店面,50.9
古亭同安大土地透天,63.5
河堤國小汀州路金店面,24.2
北車聯通地下街金店,40.8
力麒首御黃金店面,14.7
古亭捷運方正辦公,31.6
中正新隆準都更店住,40.4
23正仁愛路大面寬金店面,30.7
昌承辦-中正國中優質靜巷屋新庭院一樓,15.4
D07双子星博愛特區金店面,37.2
南昌路捷運三角窗金店面,23.9
國語實小植物園捷運黑土屋,44.6
台大公館高樓景觀美宅,20.3
▲商四南陽街商圈整棟透天,63.9
臨沂街三角窗金店面,26.3
商二土地都更改建黑金寓,58.8
善導寺捷運企業辦,43.3
古亭捷運電梯頂加收租聖品,49.9
紀念堂捷運中正國中低總價金店面,35.9
仁愛精典東門捷運中正國中設籍首選,32.5
捷運古亭收租透天,63.6
北車站前商四人潮透天,65.4
BZ5公館捷運台大景觀住辦,20.3
E3雙子星商圈三室車,10.4
北車城中博愛店王,27.4
中正商二置產美寓,58.8
博愛特區楓韻·石,11.6
台北車站黃金商場店面,37.5
師大君逸精緻2+1房,13.5
新美齊頂級設備奢華標配,7.7
古亭捷運路口面寬店面,8.7
忠孝新生7-11金店面,49.6
戀戀台大高樓景觀4米2,20.3
K630奕品竹一樓,7.6
台北站前稀有商辦,28.5
公館邊間電梯三房,44.9
堅信青年小套房,44.9
(專約)台電大樓站三大陽台全新裝潢,58
廈門街三角窗店面,6.8
無敵景觀鼎佳電梯大樓,47.5
中正學區三房美寓,42.8
興盛【北車站前】商四鉅富透店,72.8
銅山街方正陽光屋雙出入口挑高3.6米有開窗,49.1
古亭捷運樹景電梯,47.8
溫暖設計美宅共築二人的時光,7.6
東門捷運靜巷五房,59.6
正面紀念堂站.中正國中學區,46.3
東門中正學區稀有釋出增值三房,47.8
水木清華三房,6.9
古亭換屋首選尊爵豪邸2樓,0.8
台大公館電梯三房,54.5
東門四房美廈,42
B213古亭低總價邊間大露台,7.6
古亭景觀精品宅,15.6
巨流河綠蔭河景3房車,6.9
S1469中正區雙併華廈,43.1
植物園站邊間大戶鼎佳,43.1
邊間黃金面寬1樓+地下室大店面,37.5
牯嶺公園書香一樓.庭院大車位,32.7
中正至美電梯三房+車位,18.3
中正國中電梯車位,46.8
A534近青年公園低公設2房,40.2
北車黃金店面,23.7
商二土地改建公寓,58.8
雙子星站前發財金店面,37.5
台電大樓捷運站旁黃金雙店面,49.8
中正紀念堂站傳家聚寶盆店面商辦,35.7
中正紀念堂捷運商用大土地金透天,76.3
東門捷運豪宅雙車位,16
武昌商四透天店,73.2
古亭捷運低總價3房方正明亮一層一戶有陽台,51.8
捷運中正紀念堂稀有金店,40.5
捷運中正三角窗金店面,40.5
興盛【北車站前】真賺旺鋪,23.7
北車城中博愛店王,27.4
中正紀念堂美妝增值一樓,47.4
富璽金庫~中正紀念堂正金店面,35.7
中正紀念堂站傳家聚寶盆店面商辦,35.7
古亭站新廈桂風軒,0.8
古亭站新廈雅集軒,0.8
商二土地穩定收租美寓,58.8
仁愛路大面寬都更大店面,44.8
北車稀有高樓商辦,35.6
古亭站新廈清吟軒,0.8
