objName,age
忠孝敦化美麗華廈,46.7
捷運商二土地店辦-1,51.3
捷運商二土地店辦-2,51.3
基隆路二段臨江車位,41.7
(專任約)正義高樓景觀家,38.9
忠孝敦化捷運站高樓商辦,41.3
中正國中古亭捷運高樓管理景觀美廈,39.9
J8仁愛稀有透天金店,64.7
森林公園歐式極簡整棟新廈,14.2
東區SOGO住辦高樓,56.7
破盤忠孝敦化庭園金店,46.1
正義高樓將軍戶,38.9
X08捷運忠孝敦化統領景觀辦公,41.3
忠孝SOGO旁高樓住辦,56.7
信義安和採光住辦,41.7
忠孝統領金鑽商辦,41.3
帝寶景觀電梯華廈,42.3
敦南冠德園,37.3
10金華國中面公園典雅二房,14
成功國宅三房,40.8
莎士比亞極稀有釋出,37.1
C20大安區精華電梯2房,50.8
&麟光捷運稀有四房車,19.3
敦南名仕樹海二房,50.8
新生南路庭院一樓,51.3
師大附中學區四房住辦大樓,47.2
新生金華青田高樓明亮方正大三房,42
中正國中高樓四房+車位,36
明星學區中正國中一樓車,49.8
H4中正金華方正美寓,44.6
東區大安路電梯管理兩房,46.5
信義永康商圈金店,18
敦化南雙捷運全新景觀兩房,50.8
T504正敦化南全新裝潢高樓,50.8
敦化南雙捷運全新景觀兩房,50.8
V46敦南樹海緻美電梯社區兩房,50.8
和平高中二樓璞玉,49.4
金華國中/大土地面寬大戶,50.1
21仁愛賦玉一層一戶美邸,18.8
台北新家住辦管理美廈,36.8
近捷運台大公館欣欣大廈,45.3
忠孝大安三角窗2樓店辦,49.2
SOGO大安椿萱,2.7
台大樹海獨棟電梯頂佳,45.6
捷運電梯高樓景觀三房,44.3
忠孝復興邊間可看101大樓,44.3
忠孝敦化捷運美辦,41.8
大巨蛋三角人氣雙店面,48.9
216巷店面,47.9
東區收租三角窗純一樓,49.8
忠孝敦化捷運辦公,41.8
東區捷運美辦公,41.8
正金山南路優質店面,55.3
捷運國父紀念館金店面,45.2
大安區全新景觀鋼骨大樓,11.4
敦南元大柏悅珍藏,15.9
忠孝敦化捷運金店面,48.3
&元大柏悅樹海豪邸,15.9
&仁愛華園大四房,44.5
統領賺錢小A辦,41.3
台大豪園傳家金店面,44.6
忠孝敦化帷幕純辦,35.6
通化街三角窗店面,44.9
忠孝ZARA辦公,41.3
鑄慕層峰2房,-1
信義安和庭院車庫一樓,45.3
金華國中+雙龍學區極美四房黃金三樓公寓,58.1
大巨蛋明曜百貨雙店面,52.6
正金山南路三角窗雙店面雙車位,26
&敦南璞真名宅,10.8
潤泰敦仁~高樓樹海景觀,17.8
科技捷運帷幕純辦,37.1
通化車庫一樓,45.3
和平大苑精裝小豪宅,11.3
東門面寬一樓美寓,55.8
【六張犁站｜正馬路・黃金二樓】,48.9
台電大樓捷運羅曼羅蘭4房名邸,35.3
昌承辦-信義安和邊間電梯三房,44.7
忠孝敦化站前面寬純辦,41.8
大巨蛋國館收租金店面,40.5
東區面寬廣告捷運店辦,41.8
忠孝敦化捷運辦公,41.8
忠孝延吉一級金店面,48.5
捷運忠孝敦化站邊間高樓景觀美辦公,41.3
SOGO微風大面寬二樓店辦,44.3
Sogo忠孝復興佳品,38.9
E06忠孝敦化捷運高樓收租商辦,41.3
元大柏悅露臺戶樹海名邸,15.9
信義敦南核心三房首選,36.4
信義安和捷運都更透天,66.5
信義安和捷運美寓,43.9
文普世貿高樓美景四房,44.7
臨江街唯一釋出金雞母店面,46.3
【師大｜金華國中．低總二房】,51.5
通化臨江收租透天厝,38.6
&忠孝復興東區鑽石店霸,52.9
大安信義高樓管理三房,49
永康新生面公園頂加美寓,38.8
忠孝SOGO黃金店面,44.3
師大夜市捷運商圈金店,55.2
敦化林蔭四房,43.3
師大夜市一樓,55.3
忠孝凌雲大廈高質感住辦,53.4
師大龍泉收租雙金店,55.3
敦南信義金店面,36.4
正仁愛路四段稀有面寬一樓,51.6
東區醒目康是美店王,45.2
仁愛延吉雙併華廈,43.6
大安森林公園稀有庭院車庫一樓,42.7
東區頂好名店面,38.2
古亭站商二旅館,36
世貿景觀純辦,35.5
國父紀念館金店面,43.2
四維路採光店辦,40.8
忠孝復興217巷高樓華廈,55.4
敦南安和捷運3房~可營登,41.8
S1480稀有信義安和電梯套房,18.7
國父紀念館金店,44.9
瑞安庭園一樓有車位,40.6
東區明曜優質收租住辦,46.7
六張犁賓士大廈,41.9
瑞安靜謐庭院一樓有坡車,40.6
信義安和稀有獨戶美宅,41.7
台北東區忠孝敦化,12.4
延吉美妝大庭院一樓,44.4
正面台大美景名邸,30.2
仁愛學區壹樓3房+車位,48.6
信義安和仁愛靜巷邊間可停車,48.6
東區微風高樓二房,4.8
大安區三面採光公寓,44.1
安和樹海景觀三房,42.2
小靜精選-台北科大優質社區管理電梯美三房,35.8
忠孝敦化統領商業大樓I,41.3
364BH大安邊間公寓1F,44.9
敦南紅樓景觀4房,40.3
大安區科技大樓捷運旁三房,51.1
大安捷運附中收租美寓,43.3
師大熱鬧商圈金店面,55.3
師大商區面寬黃金店面,50.3
大安捷運附中收租美寓,43.3
大安森公園電梯3房雙拼方正3面採光,48.8
台北星鑽景觀2房+車位,4
仁愛光復靜巷電梯雙拼大4房,46.3
大安森林公園黃金地段,48.8
大安站二樓商辦,43.8
仁愛雙星美辦,44.3
森林公園『溫州院』全新豪邸高樓,0.8
大安森林龍門國中美廈,48.8
敦南學府精美庭院一樓,6.7
師大商圈隔套收租華廈,16.3
明曜大土地知名金店,48
國館大空間方正四房美廈,43.3
羅斯福路柏克萊大廈,39.9
大安邊間一樓大地下室,45.8
泰順街面寬大店面,46.4
安和雙橡園華廈3房,44.3
台大商圈面寬店面,42.2
國館大面寬庭院金店辦,44.5
信義捷運101豪景樓中樓,24.9
忠孝復興華廈,49.5
大巨蛋捷運4房,44.8
C210大安區面寬住辦店,38.9
信義捷運101豪景樓中樓+車,24.9
E17公館捷運店辦,39.3
信義安和電梯空中花園大戶,47.7
麟光捷運亮麗3房,48.8
告別繞圈師大休旅車,17.3
A554敦南遠企捷運都更美屋,52.1
富邦藝樹如意樓1,1.3
♥麟光世外地上權透天,58.2
北溫州梅花車位四房,42.7
溫州庭院一樓,42.7
東區低總價金店Ⅲ,38.2
東區低總價金店Ⅱ,38.2
東區低總價金店Ⅰ,38.2
忠孝敦化捷運統領商辦,41.3
忠孝敦化捷運統領商辦,41.3
國北師森林公園金店面,39.8
通安街都更透天,65.7
東區216巷店王投報3.3%,50.3
人潮就是現金流入主東區核心金店,1.8
敦南林蔭高樓2房,50.8
忠孝復興SOGO商圈面寬金店面,52.9
東區SOGO金店面,48.6
福華高樓景觀附中學區,47.2
忠孝敦化金店面,48.3
忠孝敦化捷運電梯三房美廈,47.2
統領商業大樓小坪數辦公室,41.3
E63專賣科技捷運收租金店面,46.2
師大附中黑土透天,64.6
信義敦南核心三房首選,36.4
仁愛天廈精品3房豪邸,39.4
忠孝復興｜SOGO商圈黃金置產,44.3
大安捷運高樓靜巷,49
金華國中設籍新成屋首選！,1
元大栢悅露臺戶樹海名邸,15.9
仁愛林蔭鑽石名邸,48.9
統創緻雙捷運精品,1.9
東區漢宮住辦景觀採光裝潢優,50.5
東區核心靜巷雅居,44.8
大安縱橫天下捷運宅,12.8
成功國宅看中庭,40.8
東豐街黃金門牌稀有傳家金店面,41.3
近六張犁捷運電梯美套房,38.1
大安捷運站高樓景觀宅,47.2
六張犁雅致美居,38.1
建成皇宮101景觀電梯管理五房+B1坡車,38.8
大巨蛋靜巷美寓,44.8
大安區整修漂亮套房,38.1
敦南富邦藝樹高樓層2,1.3
光復仁愛興雅學區‧靜巷三房,44.8
SOGO商圈金店面,44.3
通化夜市收租屋,46.1
忠孝新生捷運面寬一樓,35.6
E91科技大樓收租金店面,46.3
忠孝敦化捷運優質住辦大樓,41.8
大安MONEY(2),1
敦化南電梯景觀美妝2房,50.8
稀有統創緻高樓景觀戶,1.9
敦南遠企林蔭住辦,46.8
大安通化商圈文普景觀電梯四房,44.7
大安健身館獨立出口,46.3
S1452仁愛玉璽美居3A,-1
S1432仁愛玉璽美居6B,-1
S1451仁愛玉璽美居4A,-1
13信義謙華豪邸,14.4
&富邦藝樹林蔭露台戶,1.3
大安樂利路美寓,42.3
S1450仁愛玉璽美居6A,-1
S1448仁愛玉璽美居4B,-1
科技大樓站商三金雞母,46.3
金山南路聚財金店面+平面車位,26
專任紅樓庭院車位一樓,40.3
師大夜市面寬收租金店面,54.2
S1449仁愛玉璽美居3B,-1
國館靜巷大3房美寓,44.8
大安MONEY賦寓8B,1
大安御邸至高樓中樓,12.8
忠孝SOGO人潮店面,42.1
忠孝敦化捷運商辦收租,41.3
通化潛力透天,38.8
仁愛圓環邊間二樓,48.9
忠孝敦化商辦,41.3
敦南林蔭高樓採光2房,50.8
❤忠孝新生高樓管理美廈,35.8
臨江連鎖▲窗透天店面,52.8
潮州街一樓前後院,43.2
國父紀念館高樓美廈,38.6
忠孝復興捷運優質商辦,44.3
東區羅馬名廈,49.4
S1460忠孝敦化捷運商辦,41.3
忠孝敦化統領商圈辦公,41.3
敦南林蔭景觀低總電梯二房,50.8
忠孝敦化金店面,48
成功國宅辦公室,40.8
國館捷運收租雅室,45.9
成功國宅3房,40.8
羅斯福路古亭捷運站商務旅店,36
古亭捷運高效益商旅,36
&東區景觀鼎加美廈,38.8
雙仁愛學區忠孝統領商圈華廈,47.2
國館巨蛋.仁愛國中電梯頂加,43.2
忠孝復興站 華廈邊間美4房,43.1
&$仁愛帝寶C棟典藏臻品,20.4
捷運信義安和低總一樓,49.3
金華師大商圈黑土收租,52
敦南樹海美2房,50.8
大安捷運美寓重建屋,58.9
仁愛香榭景觀高樓,49.3
敦南樹海景觀邊間高4米8,50.8
忠孝東路四段地下城,49.3
科技捷運邊間面寬黃金二樓店,51.3
科技捷運黃金二樓店,51.3
東區全家聚寶盆二樓,46.7
成功國宅辦公室2,40.8
溫州街靜巷庭院車庫一樓,42.7
溫州街梅花庭院車庫一樓,42.7
大安御邸低調隱密宅,12.8
C024溫州四房大壹樓,42.7
溫州街庭院一樓,42.7
【古亭站｜金華國中・師大一樓】,46.3
永康文青面寬店,59.5
敦南國泰一品高樓,48.2
安和遠企收租金店面,42.2
133敦南遠企黃金店面,40.9
&仁愛帝寶,20.4
東區三角金店面,46
東區統領大三角黃金店霸,51.6
台大土地整棟傳家寶,59.5
東門捷運收租一樓,55.5
通化錢潮金店面,35.3
明日博山景高樓雙車,10.2
忠孝延吉金店,49.3
SOGO收租金店面I,61.4
忠孝敦化商用收租一樓,48.3
師大經典時尚店面,41.2
忠孝216金店面,47.5
忠孝ZARA名店,56.5
明日博高樓朝南,10.2
正臨江街危老透天,38.9
師大店面,49.6
獨賣正通化街超派店面,48.3
仁愛御品高樓雅居,16.1
遠企敦南金店面,40.9
敦南遠企面寬金店,40.9
東區角間優質店面,47.8
ZARA統領店面,51.6
安和遠企收租金店,44.1
遠企安和收租黃金店面,44.1
遠企敦南收租金店,40.9
安和收租店面,44.3
056-仁愛路帝寶旁金店面,49.2
信義光南三角窗金店,41.3
國際連鎖旗艦金店,30.6
大安區路旁邊間黃金店面,39.8
敦南新鑽石林蔭尊邸,39.4
敦南遠企金店面,46.8
E18國父紀念館捷運店辦,43.2
光復南路收租透天厝,61.6
170-信義光南三角窗金店,41.3
大安敦南黃金一樓,55.8
信義光復三角窗金店,41.3
忠孝敦化潮店II,39.5
師大路三角窗旗艦金店面,38.2
忠孝敦化潮店I,39.5
敦南遠企黃金店,40.9
東區精華金店面(A),39.5
光南延吉靜巷美寓,42.4
北科大黃金店面,41.4
森林公園金華九野豪邸,13.2
016-敦南安和收租店面,44.1
臨江夜市低總旺店,31.3
光南靜巷黃金2樓美寓,42.4
