objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
&忠孝復興4房電梯租坡車,5150,5150,華廈,可租,121.543096243636,25.0399248386607,9.57,34.49,4.8,106
&基泰台大高樓景觀露台戶,12800,12800,大樓,私有,121.53193446,25.0173777748,7.74,48.63,9.35,106
遠企安和3房平車,5980,5980,大樓,私有,121.550265286,25.0258782531,6.5,39.57,6.4,106
延吉街三角窗金店面,12000,12000,華廈,無,121.555479381,25.0366850997,12.33,18.51,10.23,106
敦安公園明亮住辦,5400,5400,華廈,無,121.554415746,25.0342747232,9.61,42.5,5.35,106
台大雙龍學區電梯明亮美廈,4380,4380,華廈,無,121.533519247,25.0203604425,8.69,28.2,7.64,106
敦南遠企安和大漢敦爵車位,220,220,大樓,私有,121.55064933,25.0272042861,0.02,4.59,0,106
大安區稀有透天,6200,6200,華廈,無,121.556243673,25.0303162173,13.31,39.62,,106
狂降8億股本房客收租店,7988,7988,華廈,無,121.53126291,25.02402408,14.82,78.19,5.16,106
敦南新鑽景闊名邸,12498,12498,大樓,私有,121.548388148,25.0296530392,7.68,77.46,5.2,106
世貿文普電梯景觀宅,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.76,4.28,106
瑞安住辦一樓車,5500,5500,華廈,無,121.541182013,25.029912337,10.9,25.15,22.4,106
遠企敦南SRC面公園,10486,10486,大樓,私有,121.551296959,25.0252617345,11.91,36.47,4.76,106
009-信義安和捷運金店,40700,40700,大樓,無,121.55219,25.03106,,53.03,4.11,106
明日博朝南101制震豪邸,13368,13368,大樓,私有,121.537872609,25.0444418516,9.95,49.31,7.61,106
&敦南璞真豪邸,19888,19888,大樓,私有,121.55006112,25.0326419249,14.98,54.25,8.59,106
大安面寬雙金面,11500,11500,華廈,無,121.544878848,25.0309568342,24.35,57.38,7.99,106
信義安和捷運邊間四房,4780,4780,華廈,無,121.554092895,25.0349546887,9.74,36.2,4.15,106
新生金華獨棟二樓美寓,4350,4350,公寓,無,121.529983989,25.0300694873,10.22,31,4.45,106
仁愛安和都更案+車位,14900,14900,大樓,私有,121.55264785,25.0334709792,28.78,79.5,12.47,106
JZ6師大商圈黃金店面,6999,6999,華廈,無,121.528943702,25.0233220527,11.19,27.5,1.51,106
信義安和電梯邊間四房,4780,4780,華廈,無,121.554092895,25.0349546887,9.74,36.2,4.15,106
附中大安捷運優質二樓,3950,3950,公寓,無,121.542954806,25.0358425121,8.93,21.77,4.61,106
信義安和角窗金店面,16888,16888,大樓,無,121.552300365,25.0335392346,7.45,58.44,,106
安和信義二線金店面,9680,9680,大樓,無,121.552335366,25.0344260998,6.61,40.14,4.21,106
Y499吉美富徠高樓景觀戶,12888,12888,大樓,私有,121.539731359,25.0263618197,10.55,36.23,3.26,106
【六張犁｜危老都更・潛力黑土】,2880,2880,公寓,無,121.552956297,25.020698863,8.55,23.23,3.65,106
台大雲和獨棟公寓頂加,2588,2588,公寓,無,121.532049502,25.0233354417,6.59,20.05,3.44,106
台北之星全新尊邸,9500,9500,大樓,私有,121.542724699,25.0414491304,3.12,26.9,4.73,106
敦南225面林蔭,7485,7485,大樓,私有,121.54928267,25.0405666654,5.36,25.44,2.16,106
【敦化站｜東區216巷．店辦】,4988,4988,華廈,無,121.55281084,25.0399841842,8.93,43.82,,106
師大附中近大安捷運面公園,4880,4880,華廈,無,121.542504406,25.0342541166,7.9,35.37,0,106
大巨蛋黃金住店辦+車位,8500,8500,華廈,私有,121.553774399,25.0437083765,12.08,46.2,5.13,106
#忠孝延吉華廈鼎佳,5800,5800,華廈,無,121.554663606,25.040244191,7.68,35.41,4.88,106
世界敦南便宜車位,160,160,華廈,私有,121.546543432,25.0281841952,0.37,0.02,0,106
101美景安和賞易改回兩房,3399,3399,華廈,無,121.553673864,25.0284572625,5.45,14.84,4.89,106
K2忠孝敦化置產收租首選,6980,6980,華廈,無,121.547406616,25.0425979814,13.73,56.86,4.76,106
H4新生金華永康美四房車,6380,6380,華廈,私有,121.531130189,25.0324319552,13.19,31.28,4.86,106
師大靜巷挑高庭院大戶,9200,9200,華廈,私有,121.530178539,25.022080986,16.35,41.75,31.42,106
新生金華永康獨棟美廈+車位,6380,6380,華廈,私有,121.531130189,25.0324319552,13.19,31.28,4.86,106
忠孝建國雙捷獨立店辦,24831,24831,大樓,私有,121.537801484,25.0410393036,33.77,114.65,18.35,106
★仁愛路住四土地★,8088,8088,土地,無,121.534484,25.026501,32.06,,,106
皇勝瑞安 名人巷樓中樓,12500,12500,華廈,私有,121.540461228,25.0304770429,18.84,37.41,11.89,106
市民大道塔式車位,158,158,華廈,私有,121.551657273,25.0442879713,0.01,,,106
正仁愛稀有國館金店,3650,3650,大樓,無,121.556663723,25.0374145854,1.86,14.73,0,106
仁愛敦南都更土地,7500,7500,土地,無,121.534484,25.026501,10.89,,0,106
仁愛A+精品名邸附車位,4388,4388,大樓,私有,121.545894399,25.0349415751,3.12,13.63,2.88,106
JZ4師大路商圈面寬金店面,8900,8900,公寓,無,121.529097494,25.023890023,11.84,30.34,0,106
【忠孝新生站｜海關．黃金二樓】,3588,3588,公寓,無,121.535919559,25.0405688067,11.61,32.98,,106
【國館｜光復南路・樹海店辦】,8600,8600,大樓,無,121.557369991,25.0362034811,5.64,45.36,8.29,106
東區統領整層酒店商旅,24688,24688,大樓,無,121.552011256,25.0416692783,,152.57,0,106
台北星鑽尊榮景觀名邸,9500,9500,大樓,私有,121.542724699,25.0414491304,3.12,26.9,4.73,106
大巨蛋捷運旁純辦,5150,5150,大樓,無,121.555431824,25.0415952694,3.34,24.77,4.48,106
富邦藝術面101三房景觀,11680,11680,大樓,私有,121.549330989,25.0442057476,,31.26,3.57,106
森林公園層峰豪邸,11888,11888,大樓,私有,121.532970054,25.0352757384,16.98,46.46,8.59,106
信義安和邊間四房平車,4888,4888,華廈,私有,121.553509166,25.0309004887,8.6,36.05,4.53,106
明日博朝南高樓,15000,15000,大樓,私有,121.537872609,25.0444418516,9.95,49.31,7.61,106
&金華龍門學區一樓,4088,4088,公寓,無,121.530530616,25.0256857115,8.98,23.24,16.85,106
F9金華學區師大景觀頂家,3850,3850,公寓,無,121.525596377,25.0247981953,11.86,31.6,8.81,106
忠孝SOGO名人邊間三房,5088,5088,華廈,無,121.539603371,25.042971863,14.32,45.7,6.47,106
東方大廈邊間大戶,6980,6980,大樓,無,121.54397749,25.041262499,4.09,37.31,0.51,106
忠孝新生站靜寬巷華廈,4780,4780,華廈,抽籤,121.535432777,25.0406119211,9.14,30.48,3.97,106
敦南林蔭景觀3房,4500,4500,大樓,無,121.548370017,25.0260900881,2.73,24.44,4.32,106
光南信義美二房,1638,1638,公寓,無,121.556891635,25.0301147703,3.77,12.75,2.13,106
F9師大商圈面寬一樓店面,6600,6600,公寓,無,121.525596377,25.0247981953,11.86,35.29,23.06,106
信義安和仁愛學區孝親壹樓可停車,4580,4580,公寓,無,121.555830077,25.0341022958,11.82,26.14,4.52,106
&敦南自在獨棟豪邸平車,9888,9888,華廈,私有,121.546393163,25.0320303915,14.43,38.33,10.24,106
仁愛延吉雙車位,420,420,其他,私有,121.554466849,25.0385391643,0.81,7.16,,106
敦化風采車位-機械平面,199,199,華廈,私有,121.550680969,25.0324823581,0.43,,0,106
敦南225林蔭景觀店辦,7485,7485,華廈,私有,121.54928267,25.0405666654,5.36,25.44,2.16,106
遠企敦南珍藏戶,9050,9050,華廈,無,121.549150566,25.025478484,16.24,66.6,4.95,106
敦南林蔭亮麗5房,7988,7988,大樓,無,121.548332,25.024195,7.88,44.3,11.59,106
古亭捷運店地,5000,5000,土地,無,121.52616574,25.0227171344,10.89,,,106
附中全新景觀豪邸,17800,17800,大樓,私有,121.542828844,25.0335559224,8.04,57.5,7.15,106
敦南金品綠蔭五房,7988,7988,大樓,無,121.548352231,25.0241722953,7.03,44.3,11.59,106
信義安和坡道平面車位,450,450,華廈,私有,121.553970029,25.0352022686,0,,,106
龍門學區次高樓帝景,1530,1530,大樓,無,121.532229923,25.0170747751,0.85,5.9,0.91,106
水樹之間名邸,7880,7880,大樓,私有,121.534837682,25.0337571593,3.42,20.16,3.79,106
FZ5仁愛學區靜巷邊間美居,4580,4580,大樓,無,121.555830077,25.0341022958,3.23,26.14,4.52,106
三普復興捷運旁挑高管理二房,4688,4688,大樓,無,121.543312054,25.0305916434,2.56,28.27,5.67,106
【大安站｜附中・阿曼仁愛A+】,3238,3238,大樓,無,121.545894399,25.0349415751,2.05,10.98,2.04,106
光南信義美2+1房,1900,1900,公寓,無,121.556891635,25.0301147703,4.4,13.81,3.6,106
敦南樹海景觀美宅,4886,4886,大樓,無,121.548413676,25.0313793313,3.02,21.9,1.19,106
B3仁愛綠蔭高樓景觀宅,4800,4800,大樓,無,121.545837858,25.0382079861,3.77,26.81,5.7,106
【敦南｜樹海景觀・挑高4米8】,4886,4886,大樓,無,121.548413676,25.0313793313,3.02,21.9,1.19,106
附中住四大土地美寓,4580,4580,公寓,無,121.545904969,25.0361417482,9.98,29.77,,106
高屋建瓴・安沐居,5800,5800,大樓,私有,121.543206751,25.0263257474,1.8,14.37,1.82,106
中正國中一樓門前可停車,4280,4280,公寓,無,121.524212238,25.0340690261,6.96,21.93,17.82,106
