路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型,行政區
台北市中正區羅斯福路二段,25.02484,121.52384,38.2年,27.53,2998,0,3房2廳2衛,0,12,3,['L'],中正區
台北市中正區青島東路,25.043343,121.524546,39.7年,36.54,3999,0,3房2廳2衛,0,7,3,['M'],中正區
台北市中正區信義路二段,25.033825,121.5316,7.7年,42.82,6388,2,2廳1衛,0,14,11,['L'],中正區
台北市中正區廈門街,25.024806,121.518,39.0年,45.31,6188,0,7房2廳3衛1室,1,2,B1-2,['D'],中正區
台北市中正區中華路二段,25.034939,121.50697,51.8年,22.0,1966,0,1房2廳1衛,0,7,6,['M'],中正區
台北市中正區寧波西街,25.029584,121.514645,67.0年,63.13,7888,0,4房3廳5衛2室,0,3,1-3,['D'],中正區
台北市中正區延平南路,25.03454,121.507257,51.8年,50.09,4480,0,3房2廳2衛1室,0,7,3,['M'],中正區
台北市中正區金華街,25.032516,121.518912,38.2年,41.76,4988,0,2房2廳2衛,0,9,8,['M'],中正區
台北市中正區廈門街,25.02336,121.517666,10.8年,35.65,3588,1,2房2廳1衛,0,15,14,['L'],中正區
台北市中正區南昌路一段,25.030491,121.517878,7.2年,34.41,5250,1,1房2廳1衛,0,15,15,['L'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,46.52,4696,1,3房2廳2衛,0,15,5,['L'],中正區
台北市中正區青島西路,25.044988,121.517767,37.5年,50.96,5000,0,2房2廳2衛,0,16,15,['L'],中正區
台北市中正區思源街,25.014735,121.531583,25.4年,51.42,5000,1,3房2廳2衛,0,12,3,['L'],中正區
台北市中正區汀州路二段,25.023356,121.523138,17.9年,38.09,4180,1,2房2廳2衛,0,10,4,['M'],中正區
台北市中正區牯嶺街,25.021391,121.518604,5.7年,72.81,7258,1,4房2廳2.5衛,0,14,2,['L'],中正區
台北市中正區南昌路一段,25.030939,121.517315,33.8年,39.95,4600,0,3房2廳2衛,0,12,10,['L'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,46.3,4576,1,3房2廳2衛,0,15,4,['L'],中正區
台北市中正區忠孝東路一段,25.04396,121.526054,6.6年,17.16,2588,0,1房1廳1衛,0,13,6,['L'],中正區
台北市中正區中華路二段,25.025773,121.50842,41.1年,52.33,3588,0,5房2廳3衛,0,7,7,['M'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,41.36,4180,1,3房2廳2衛,0,15,2,['L'],中正區
台北市中正區銅山街,25.039503,121.528295,48.6年,41.32,7800,0,4房2廳3衛,1,7,1,['M'],中正區
台北市中正區仁愛路一段,25.040323,121.523186,11.6年,69.89,8899,1,5房2廳2衛,1,9,6,['M'],中正區
台北市中正區和平西路一段,25.02694,121.517825,14.7年,101.29,8988,2,3房2廳2衛1室,0,18,12,['L'],中正區
台北市中正區杭州南路一段,25.038845,121.52752,9.9年,19.45,3228,0,2房2廳1衛,0,7,5,['M'],中正區
台北市中正區紹興北街,25.04521295267,121.52610096197,17.4年,58.73,6350,1,4房2廳2衛,0,9,5,['M'],中正區
台北市中正區林森南路,25.033155,121.518546,25.4年,13.17,2498,0,1廳1衛,0,12,7,['C'],中正區
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,26.0,3638,0,2房2廳1衛,0,21,4,['L'],中正區
台北市中正區林森南路,25.033155,121.518546,25.4年,17.87,2460,1,1房1廳1衛,0,12,6,['C'],中正區
台北市中正區廈門街,25.022787,121.517495,15.6年,32.16,2888,1,3房2廳1衛,0,14,7,['L'],中正區
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,25.67,3568,0,1房2廳1衛,0,21,3,['L'],中正區
台北市中正區羅斯福路三段,25.021431,121.527017,49.8年,10.79,1380,0,2房1廳1衛1室,0,12,4,['L'],中正區
台北市中正區仁愛路二段,25.038067,121.525519,18.2年,97.03,12368,1,4房2廳3衛2室,0,15,13-14,['L'],中正區
台北市中正區新生南路一段,25.044022,121.532622,39.7年,39.47,3780,0,4房2廳2衛,0,12,9,['L'],中正區
台北市中正區中華路二段,25.026284,121.507818,43.1年,71.95,4980,0,5房3廳3衛3室,1,7,7,['M'],中正區
台北市中正區仁愛路二段,25.038399,121.530976,49.3年,47.92,6500,0,3房2廳2衛3室,0,12,10,['L'],中正區
台北市中正區連雲街,25.034963,121.530311,1.9年,63.28,9980,1,3房2廳2衛,0,13,10,['L'],中正區
台北市中正區同安街,25.02304,121.520853,29.1年,48.99,5988,1,4房2廳2衛1室,1,7,1,['M'],中正區
台北市中正區廈門街,25.02446,121.517797,28.6年,14.56,1320,0,1房1廳1衛,0,10,9,['M'],中正區
台北市中正區臨沂街,25.037144,121.531126,8.1年,32.65,5400,1,3房2廳2衛,0,5,4,['M'],中正區
台北市中正區和平西路二段,25.029288,121.511268,39.8年,52.28,3988,0,5房2廳2衛,0,7,2,['M'],中正區
台北市中正區杭州南路一段,25.043094,121.526462,40.6年,48.75,6780,0,4房2廳2衛,0,7,6,['M'],中正區
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,22.7,3500,0,2房2廳1衛,0,21,6,['L'],中正區
台北市中正區南昌路二段,25.025091,121.523342,20.8年,10.72,1680,0,1房1廳1衛,0,11,7,['L'],中正區
台北市中正區杭州南路一段,25.043094,121.526462,40.6年,62.61,8707,0,4房2廳2衛1室,0,7,6,['M'],中正區
台北市中正區臨沂街,25.035654,121.529612,57.4年,46.55,4105,0,4房2廳2衛,0,4,2,['M'],中正區
台北市中正區南昌路一段,25.02942,121.51759,34.0年,52.71,6200,1,3房2廳2衛1室,0,6,1,['M'],中正區
台北市中正區南海路,25.028731,121.508565,1.1年,37.33,3280,1,2房2廳1衛,0,7,3,['M'],中正區
台北市中正區汀州路三段,25.018937,121.527169,27.2年,13.52,1486,0,1房2廳1衛,1,13,4,['L'],中正區
台北市中正區南海路,25.028731,121.508565,1.1年,37.19,3221,1,2房2廳1衛,0,7,2,['M'],中正區
台北市中正區開封街一段,25.045915,121.512056,18.4年,12.04,1300,0,1廳1衛,0,14,5,['L'],中正區
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,22.7,3680,0,1房1廳1衛1室,0,21,12,['L'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6388,1,3房2廳2衛,0,7,6,['M'],中正區
台北市中正區臨沂街,25.039643,121.530206,49.4年,26.32,3200,0,3房2廳1衛,1,5,2,['A'],中正區
台北市中正區師大路,25.020948,121.527,49.1年,40.83,3850,0,4房2廳2衛1室,0,5,2,['A'],中正區
台北市中正區泉州街,25.026657,121.51375,18.3年,47.5,3500,1,3房2廳2衛,0,7,2,['M'],中正區
台北市中正區詔安街,25.02485,121.514146,48.6年,43.96,2768,0,3房2廳2衛1室,0,7,2,['M'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,5988,1,1廳,0,7,2,['M'],中正區
台北市中正區廈門街,25.024844,121.517508,7.4年,42.21,3680,1,2房2廳1衛,0,12,4,['L'],中正區
台北市中正區詔安街,25.025003,121.516144,53.0年,22.67,1780,0,4房3廳2衛1室,1,4,4,['A'],中正區
台北市中正區連雲街,25.034348,121.529947,60.7年,39.5,4380,0,3房2廳1.5衛1室,0,4,3,['A'],中正區
台北市中正區汀州路三段,25.013442,121.534289,54.5年,32.64,3488,0,3房2廳2衛,0,7,2,['M'],中正區
台北市中正區重慶南路三段,25.022988,121.516672,53.2年,16.16,1488,0,3房1廳1衛,0,5,5,['A'],中正區
台北市中正區忠孝東路二段,25.042387,121.528191,17.8年,102.62,11130,2,3房2廳2衛2室,0,14,3,['L'],中正區
台北市中正區杭州南路一段,25.040845,121.526111,2.4年,72.54,9988,1,4房2廳2衛,0,21,12,['L'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,40.32,4068,1,2房2廳2衛,0,15,2,['L'],中正區
台北市中正區羅斯福路一段,25.031336,121.519621,16.9年,65.12,9980,2,2房2廳2衛1室,0,14,13,['L'],中正區
台北市中正區汀州路二段,25.025312,121.51761,30.1年,43.03,3368,1,2房2廳1衛1室,0,14,3,['L'],中正區
台北市中正區臨沂街,25.037049,121.530073,62.5年,20.36,3450,0,1廳1衛,0,2,2,['A'],中正區
台北市中正區衡陽路,25.042377,121.511767,7.7年,24.95,2950,1,1房1廳1衛,0,15,9,['L'],中正區
台北市中正區杭州南路一段,25.039373,121.526984,3.0年,128.42,19998,3,3房2廳3衛1室,0,20,14,['L'],中正區
台北市中正區羅斯福路三段,25.021431,121.527017,49.8年,34.0,2950,0,2房2廳2衛1室,0,12,9,['L'],中正區
台北市中正區和平西路一段,25.027294,121.515396,44.3年,34.3,2988,0,3房2廳2衛1室,0,12,2,['L'],中正區
台北市中正區羅斯福路三段,25.021426,121.525422,53.0年,19.13,1700,0,1房1廳1衛1室,0,4,2,['A'],中正區
台北市中正區羅斯福路一段,25.031424,121.519553,16.9年,65.12,9980,2,3房2廳2衛,0,14,13,['L'],中正區
台北市中正區博愛路,25.033583,121.510841,12.4年,226.27,42880,5,2廳4.5衛1室,0,12,9,['L'],中正區
台北市中正區羅斯福路三段,25.021456,121.525454,53.0年,16.62,2600,0,3房2廳2衛,1,4,1,['A'],中正區
台北市中正區臨沂街,25.041568246997,121.53073629093,1.9年,50.75,8288,1,2廳2衛,0,10,1,['M'],中正區
台北市中正區汀州路三段,25.015798,121.530919,44.9年,32.13,2780,0,3房2廳2衛,0,7,6,['M'],中正區
台北市中正區詔安街,25.024306,121.513322,36.8年,33.56,2580,0,3房2廳2衛,0,4,1,['A'],中正區
台北市中正區汀州路一段,25.027999,121.510166,50.7年,32.19,1188,0,3房2廳1衛1室,0,4,3,['A'],中正區
台北市中正區南海路,25.028731,121.508565,1.1年,37.33,3280,1,2房2廳1衛,0,7,4,['M'],中正區
台北市中正區同安街,25.02125,121.521395,0.9年,22.38,2488,0,1房2廳2衛,0,9,1,['M'],中正區
台北市中正區杭州南路一段,25.039024,121.526279,35.3年,42.75,4308,0,3房2廳2衛,1,5,B1-1,['M'],中正區
台北市中正區中華路二段,25.030901,121.504476,45.3年,19.42,1550,0,3房1廳1衛,0,5,3,['A'],中正區
台北市中正區仁愛路二段,25.03895,121.525813,15.4年,39.65,4588,1,3房2廳1衛,0,7,1,['M'],中正區
台北市中正區金華街,25.03093,121.521995,19.6年,95.4,12888,2,4房2廳2.5衛2室,0,13,4,['L'],中正區
台北市中正區中華路二段,25.024961,121.509384,44.9年,16.22,1266,0,1房1廳1衛,0,7,5,['M'],中正區
台北市中正區杭州南路一段,25.036742,121.52647,42.8年,28.08,3180,0,3房1廳1衛1室,0,5,4,['A'],中正區
台北市中正區羅斯福路四段,25.014503,121.534274,20.2年,43.06,5488,0,2房2廳2衛,0,15,15,['L'],中正區
台北市中正區南昌路二段,25.028424,121.519437,37.9年,43.14,4980,0,3房2廳2衛2室,0,10,5,['M'],中正區
台北市中正區汀州路三段,25.013245,121.533709,25.4年,46.67,4580,1,2房2廳1.5衛,0,9,4,['M'],中正區
台北市中正區和平西路二段,25.028272,121.513839,46.1年,61.89,4580,0,6房3廳3衛,1,7,3,['M'],中正區
台北市中正區漢口街一段,25.045248,121.512269,1.8年,39.32,4498,1,2房2廳1衛1室,0,15,10,['L'],中正區
台北市中正區和平西路一段,25.026381483972,121.5195802565,40.8年,42.38,4371,0,2房2廳2衛,0,12,7,['L'],中正區
台北市中正區新生南路一段,25.034152799385,121.53254929359,11.1年,116.46,18800,2,2廳3衛,0,14,5,['L'],中正區
台北市中正區廈門街,25.022563,121.51839,32.7年,58.78,4488,1,4房3廳4衛1室,0,5,B1-1,['M'],中正區
台北市中正區和平西路二段,25.032783,121.505833,28.6年,14.83,1560,0,2房2廳1衛,1,11,2,['L'],中正區
台北市中正區杭州南路一段,25.042524,121.526604,13.8年,128.77,14988,2,4房2廳3衛2室,0,7,2-3,['M'],中正區
台北市中正區寧波西街,25.031175,121.518452,20.8年,25.23,4767,0,4房3廳2衛1室,1,11,11,['L'],中正區
台北市中正區師大路,25.02071,121.523076,15.4年,48.2,4288,1,3房2廳2衛1室,1,13,2,['L'],中正區
台北市中正區師大路,25.020700615616,121.52644305578,61.8年,39.6,7980,0,5房4廳4衛1室,1,2,1-2,['D'],中正區
台北市中正區羅斯福路三段,25.017921,121.52943,39.7年,44.8,5380,0,5房3廳3衛,1,6,6,['M'],中正區
台北市中正區牯嶺街,25.025998,121.519904,4.4年,52.27,6488,1,2房2廳2衛,0,14,13,['L'],中正區
台北市中正區羅斯福路四段,25.014503,121.534274,20.2年,12.07,1799,0,1房1廳2衛1室,1,15,13,['L'],中正區
台北市中正區羅斯福路四段,25.014503,121.534274,20.2年,15.17,2300,0,2房2廳1衛1室,1,15,14,['L'],中正區
台北市中正區南昌路二段,25.025091,121.523342,20.8年,28.09,3100,1,2房1廳1衛,0,11,2,['L'],中正區
台北市中正區重慶南路三段,25.023854,121.517007,17.3年,10.7,1080,0,1房1廳1衛,0,12,10,['L'],中正區
台北市中正區仁愛路二段,25.036842263894,121.52636497737,42.0年,57.56,6880,0,4房2廳2衛,1,6,5-6,['M'],中正區
台北市中正區廈門街,25.02465,121.51994,42.3年,39.31,2650,0,2房2廳2衛,0,5,5,['A'],中正區
台北市中正區羅斯福路三段,25.016459,121.530918,40.4年,42.5,4650,0,7房3廳3衛1室,1,6,6,['M'],中正區
台北市中正區羅斯福路三段,25.019884,121.52733,30.7年,45.64,4108,0,4房2廳2衛,0,5,2-3,['A'],中正區
台北市中正區臨沂街,25.035907,121.529462,59.6年,41.15,4680,0,5房2廳4衛,1,4,4,['A'],中正區
台北市中正區同安街,25.022192,121.519744,18.7年,69.37,4800,2,3房2廳3衛,0,7,2-3,['M'],中正區
台北市中正區中華路二段,25.025335,121.509339,51.6年,34.31,1988,0,5房2廳1.5衛,1,4,4,['A'],中正區
台北市中正區杭州南路一段,25.036366,121.526203,16.1年,23.14,2798,2,1房2廳1衛1室,1,7,1,['M'],中正區
台北市中正區羅斯福路三段,25.019079,121.529613,0.3年,17.44,2633,1,1房1廳1衛,0,14,13,['L'],中正區
台北市中正區南昌路一段,25.030228,121.51783,16.9年,14.02,2350,0,1房1廳1衛,0,15,9,['L'],中正區
台北市中正區廈門街,25.02597,121.518102,50.1年,34.73,3380,0,2房3廳1衛,1,4,1,['A'],中正區
台北市中正區重慶南路三段,25.029056,121.514966,50.4年,38.33,3600,0,7房1廳2衛,0,4,2,['A'],中正區
台北市中正區廈門街,25.023855499751,121.51817113128,46.7年,26.09,2320,0,6房2廳3衛,1,5,5,['A'],中正區
台北市中正區羅斯福路三段,25.019079,121.529613,0.3年,27.29,4258,1,1房1廳2衛,0,14,13,['L'],中正區
台北市中正區臨沂街,25.036097,121.531194,53.3年,23.33,2900,0,4房3廳2衛2室,1,4,4,['A'],中正區
台北市中正區南海路,25.027415,121.507268,45.4年,21.1,1600,0,2房2廳1衛,0,7,7,['M'],中正區
台北市中正區寧波西街,25.028424,121.512027,10.3年,38.66,3850,1,3房1廳2衛,0,5,5,['M'],中正區
台北市中正區汀州路一段,25.027958,121.510043,50.3年,16.93,980,0,2房2廳1衛1室,1,4,1,['A'],中正區
台北市中正區杭州南路一段,25.041946118783,121.52701400133,33.9年,330.15,18000,5,13房3廳6衛6室,1,4,B2-4,['D'],中正區
台北市中正區晉江街,25.025283,121.522209,47.8年,35.32,3988,0,3房2廳2衛1室,1,5,1,['A'],中正區
台北市中正區水源路,25.020759,121.521311,20.8年,10.08,1358,0,1房1廳1衛,1,11,5,['L'],中正區
台北市中正區重慶南路二段,25.030529,121.514799,5.6年,34.68,5888,0,2房2廳2衛1室,0,14,4,['L'],中正區
台北市中正區杭州南路一段,25.038845,121.52752,9.9年,22.68,3380,0,1廳1衛,0,7,2,['M'],中正區
台北市中正區重慶南路三段,25.029094,121.51636,15.2年,32.31,3380,0,3房1廳2衛,1,6,6,['M'],中正區
台北市中正區廈門街,25.023978,121.518007,59.0年,46.8,3380,0,4房2廳2衛,0,5,3,['A'],中正區
台北市中正區南昌路二段,25.025023,121.522953,18.5年,33.26,3511,2,2房2廳1衛,0,13,10,['L'],中正區
台北市中正區仁愛路二段,25.038412,121.531323,14.0年,182.59,22800,4,3房3廳3衛2室,0,18,6,['L'],中正區
台北市中正區南昌路一段,25.031441,121.517591,43.4年,32.76,3800,0,4房2廳2衛1室,0,5,4,['A'],中正區
台北市中正區愛國東路,25.033145,121.519024,17.7年,15.35,2666,0,2房1廳1衛,1,8,4,['M'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,91.53,9500,2,2房2廳2衛3室,0,15,13,['L'],中正區
台北市中正區臨沂街,25.041608,121.530675,1.9年,51.94,7508,1,2房2廳2衛,0,10,10,['M'],中正區
台北市中正區中華路二段,25.024833,121.509868,48.7年,31.71,2300,0,3房2廳2衛,0,7,4,['M'],中正區
台北市中正區仁愛路一段,25.038143,121.521832,42.7年,37.41,3800,0,3房2廳2衛,0,5,4,['A'],中正區
台北市中正區杭州南路一段,25.039373,121.526984,3.0年,126.79,19698,3,1廳,0,20,11,['L'],中正區
台北市中正區杭州南路一段,25.039361,121.527067,3.0年,128.39,20267,3,1廳,0,20,18,['L'],中正區
台北市中正區杭州南路一段,25.039361,121.527067,3.0年,126.79,19983,3,1廳,0,20,11,['L'],中正區
台北市中正區南昌路二段,25.025838,121.522173,29.3年,26.31,2880,0,2房2廳1衛,0,11,3,['L'],中正區
台北市中正區中華路二段,25.025293,121.511374,61.1年,31.0,3980,0,2房1廳2衛2室,1,2,1-2,['D'],中正區
台北市中正區汀州路一段,25.028002,121.509939,50.3年,15.9,600,0,3房2廳2衛1室,1,4,4,['A'],中正區
台北市中正區汀州路二段,25.025472,121.518009,12.1年,19.94,2500,0,1房1廳1衛,0,11,2,['L'],中正區
台北市中正區仁愛路二段,25.038913,121.531775,16.6年,113.57,13508,1,4房2廳4衛2室,0,7,3,['M'],中正區
台北市中正區和平西路一段,25.026997,121.521148,6.9年,19.01,2888,0,1房1廳1衛,0,14,2,['L'],中正區
台北市中正區羅斯福路三段,25.022376,121.525555,13.5年,57.2,5600,1,2房2廳2衛1室,0,13,4,['L'],中正區
台北市中正區和平西路一段,25.026712,121.519694,17.8年,14.62,2438,0,2房1廳1衛,1,14,11,['L'],中正區
台北市中正區信義路二段,25.033825,121.5316,7.7年,16.77,3219,0,1房1廳1衛,0,14,5,['L'],中正區
台北市中正區羅斯福路四段,25.014503,121.534274,20.2年,46.0,4200,1,2房3廳2衛1室,1,15,12,['L'],中正區
台北市中正區博愛路,25.043635,121.511616,12.3年,231.95,38000,4,4房3廳6衛3室,0,31,26-27,['L'],中正區
台北市中正區仁愛路二段,25.038700567064,121.52578754426,13.7年,135.08,38000,3,4房2廳4衛,0,5,1-5,['D'],中正區
台北市中正區衡陽路,25.04223,121.513771,48.4年,19.19,1400,0,1廳1衛,0,8,8,['M'],中正區
台北市中正區信義路二段,25.033825,121.5316,7.7年,21.02,3788,0,1房1廳1衛,0,14,9,['L'],中正區
台北市中正區仁愛路二段,25.038399,121.530976,49.3年,79.53,8880,0,5房2廳3衛,0,12,7,['L'],中正區
台北市中正區寧波東街,25.032758,121.519148,38.4年,31.73,4388,0,2房2廳2衛1室,0,7,4,['M'],中正區
台北市中正區連雲街,25.035046,121.53042,1.9年,131.39,18029,3,2廳4衛,0,13,7,['L'],中正區
台北市中正區南昌路二段,25.025023,121.522953,18.5年,13.9,1398,1,1房1廳1衛1室,1,13,10,['L'],中正區
台北市中正區汀州路二段,25.02166,121.524536,56.0年,27.23,2448,0,5房2衛1室,0,5,4,['A'],中正區
台北市中正區信義路二段,25.033825,121.5316,7.7年,13.48,2488,0,1房1廳1衛,0,14,14,['L'],中正區
台北市中正區金門街,25.022493,121.521019,13.1年,24.91,3200,0,3房1廳1衛,1,10,5,['M'],中正區
台北市中正區南昌路一段,25.030228,121.51783,16.9年,33.6,3588,1,1房2廳1衛,0,15,11,['L'],中正區
台北市中正區晉江街,25.025016,121.522133,47.5年,21.67,2166,0,2房2廳1衛,0,4,3,['A'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6488,1,3房2廳2衛1室,0,7,7,['M'],中正區
台北市中正區羅斯福路三段,25.019079,121.529613,0.3年,16.73,2675,0,1房1廳1衛,0,14,11,['L'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6188,1,3房2廳2衛1室,0,7,4,['M'],中正區
台北市中正區博愛路,25.044574,121.511576,10.4年,48.92,6800,1,3房2廳2衛,0,15,15,['L'],中正區
台北市中正區三元街,25.027356,121.514073,13.3年,107.32,7200,4,4房3廳3.5衛1室,0,11,8,['L'],中正區
台北市中正區臨沂街,25.036849,121.531347,51.1年,30.5,3355,0,3房2廳2衛,0,4,4,['A'],中正區
台北市中正區杭州南路一段,25.036393,121.525917,46.8年,119.15,8500,2,13房5廳11衛1室,1,6,6,['M'],中正區
台北市中正區博愛路,25.043635,121.511616,12.3年,91.19,10800,2,3房2廳3衛,0,31,4,['L'],中正區
台北市中正區汀州路二段,25.02287,121.52342,49.2年,30.33,2730,0,4房1廳2衛,0,4,2,['A'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6288,1,3房2廳2衛1室,0,7,5,['M'],中正區
台北市中正區水源路,25.020586,121.522066,42.4年,40.44,3400,0,3房2廳2衛1室,0,12,12,['L'],中正區
台北市中正區詔安街,25.025635,121.512356,40.7年,23.43,1550,0,3房2廳1衛,0,5,2,['A'],中正區
台北市中正區羅斯福路四段,25.014965,121.532732,40.6年,34.44,3100,0,4房4廳4衛,0,7,3,['M'],中正區
台北市中正區同安街,25.022431,121.520695,51.8年,24.03,2160,0,3房2廳2衛,0,4,3,['A'],中正區
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6088,1,3房2廳2衛1室,0,7,3,['M'],中正區
台北市中正區臨沂街,25.039079,121.529338,16.8年,91.97,12688,2,4房2廳3衛,0,9,4,['M'],中正區
台北市中正區臨沂街,25.037011,121.531542,15.5年,37.58,4588,1,2房2廳2衛,0,6,6,['M'],中正區
台北市中正區愛國東路,25.034202,121.517951,46.4年,43.21,5380,0,2廳1衛,0,7,2,['M'],中正區
台北市中正區信義路二段,25.03518,121.525336,47.8年,30.24,4288,0,3房2廳2衛,0,12,5,['L'],中正區
台北市中正區臨沂街,25.035843,121.529276,56.8年,36.2,5780,0,4房2廳2衛,0,4,1,['A'],中正區
台北市中正區三元街,25.027329,121.513704,8.1年,30.32,2350,1,2房2廳1衛,0,7,6,['M'],中正區
台北市中正區臨沂街,25.036493,121.530992,58.4年,34.19,3755,0,3房2廳1衛,0,5,4,['A'],中正區
台北市中正區博愛路,25.033407,121.509896,54.2年,27.25,3200,0,3房2廳1衛,0,4,3,['A'],中正區
台北市中正區廈門街,25.023973,121.517742,18.2年,33.74,3580,0,7房2廳4衛,1,5,1,['M'],中正區
台北市中正區臨沂街,25.03472844397,121.52852422223,55.0年,41.62,3980,0,4房2廳2衛,0,4,2,['A'],中正區
台北市中正區重慶南路三段,25.023854,121.517007,17.3年,8.47,980,0,1房1衛,0,12,4,['L'],中正區
台北市中正區重慶南路三段,25.024184,121.516608,42.0年,40.66,2380,0,7房2廳7衛,1,5,5,['A'],中正區
台北市中正區齊東街,25.041609,121.527575,47.9年,18.41,1999,0,5房2廳3衛,1,5,5,['A'],中正區
台北市中正區杭州南路一段,25.036102,121.524805,58.8年,42.03,8900,0,4房1廳5衛,0,5,3,['A'],中正區
台北市中正區廈門街,25.023978,121.518007,59.0年,46.8,4980,0,3房3廳2衛,1,5,1,['A'],中正區
台北市中正區晉江街,25.02338,121.523295,74.2年,12.67,3680,0,2房2廳1衛,0,1,1,['D'],中正區
台北市北投區清江路,25.131577,121.502189,24.1年,57.59,3200,1,3房2廳2衛,0,14,2,['L'],北投區
台北市北投區石牌路二段,25.123473,121.52305,33.4年,21.88,1388,0,2房1廳1衛,0,5,5,['M'],北投區
台北市北投區光明路,25.136077,121.50744,43.8年,48.82,3280,0,2房2廳2衛,0,7,1,['M'],北投區
