路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市中山區北安路,25.078713,121.544971,35.7年,41.36,3988,0,4房2廳2衛,0,7,6,['M']
台北市中山區北安路,25.08301,121.548706,45.2年,21.6,2380,0,2房1廳1衛,0,7,2,['M']
台北市中山區八德路二段,25.045707,121.537325,2.8年,127.01,15000,3,3房2廳3衛,0,20,18,['L']
台北市中山區林森北路,25.051051,121.524987,37.4年,51.64,3800,0,2房3廳2衛,0,12,3,['L']
台北市中山區龍江路,25.052425,121.540351,49.7年,51.61,4568,0,4房2廳2衛,1,7,4,['M']
台北市中山區新生北路二段,25.055316,121.527045,41.0年,12.16,1200,0,1房1廳1衛,0,12,8,['L']
台北市中山區新生北路二段,25.055333,121.526087,48.9年,28.62,2488,0,3房2廳2衛,0,5,4,['A']
台北市中山區建國北路一段,25.050992,121.538287,54.1年,44.3,3480,0,2房2廳2衛1室,0,4,3,['A']
台北市中山區北安路,25.08212,121.548055,49.2年,26.32,1998,0,5房3廳2衛,1,4,4,['A']
台北市中山區伊通街,25.048013,121.534819,7.9年,31.42,3250,1,1房2廳1衛,1,9,8,['M']
台北市中山區林森北路,25.055986,121.525318,23.1年,14.74,1350,0,1房1衛,0,14,10,['L']
台北市中山區新生北路二段,25.060904,121.529238,58.5年,13.62,1598,0,2房1廳1衛1室,0,4,3,['A']
台北市中山區樂群三路,25.082419,121.553482,15.7年,119.62,14800,2,1廳,0,11,11,['L']
台北市中山區新生北路三段,25.067049,121.528098,54.2年,68.75,6600,0,6房3廳4衛1室,1,4,4,['A']
台北市中山區松江路,25.059162,121.53232,1.1年,26.47,3880,0,2房2廳2衛,0,10,8,['M']
台北市中山區長安東路一段,25.049254,121.526627,47.9年,17.61,1780,0,3房1廳1衛1室,0,7,6,['M']
台北市中山區北安路,25.08009,121.547889,47.7年,43.11,3700,0,3房2廳2衛1室,0,5,3,['A']
台北市中山區合江街,25.060805,121.538176,43.3年,46.28,3580,0,4房2廳2衛,0,5,3,['A']
台北市中山區大直街,25.084927710203,121.54879270026,37.7年,49.24,6680,0,8房8衛,1,5,1,['A']
台北市中山區德惠街,25.066738,121.526585,48.0年,9.73,925,0,1房1廳1衛,0,10,8,['M']
台北市中山區長安東路一段,25.047258481615,121.52935916478,7.0年,72.05,6800,1,3房2廳3衛1室,0,5,5,['M']
台北市中山區建國北路三段,25.065729,121.535712,38.2年,41.08,3700,0,3房2廳2衛,0,11,9,['L']
台北市中山區錦州街,25.059498778266,121.52465409967,29.1年,9.58,898,0,1房1廳1衛,1,11,9,['L']
