路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市大安區臥龍街,25.017351,121.558488,2.9年,45.81,5500,1,2房2廳2衛,0,14,1,['L']
台北市大安區復興南路二段,25.032595,121.543792,41.4年,36.64,4280,0,3房2廳2衛1室,0,12,7,['L']
台北市大安區敦化南路一段,25.03883,121.549252,17.9年,177.23,38500,2,4房3廳3衛3室,1,22,12,['L']
台北市大安區樂業街,25.020765,121.552314,13.8年,84.05,6988,4,2房2廳2衛,0,13,11,['L']
台北市大安區羅斯福路三段,25.020059,121.53068,42.4年,38.12,3800,0,2房2廳1衛1室,0,7,2,['M']
台北市大安區忠孝東路三段,25.041263,121.538619,38.9年,27.08,2888,0,3房2廳1衛,0,14,6,['L']
台北市大安區忠孝東路三段,25.041454,121.540595,38.9年,37.28,3890,0,1房2廳2衛1室,0,14,11,['L']
台北市大安區瑞安街,25.027574,121.539083,9.2年,82.32,11518,2,3房2廳3衛,0,12,4,['L']
台北市大安區敦化南路二段,25.032641,121.550061,10.8年,156.67,22418,2,1廳,0,12,10,['L']
台北市大安區市民大道三段,25.044105423677,121.53785840348,10.2年,97.31,13368,2,4房2廳3衛,0,23,12,['L']
台北市大安區復興南路二段,25.030957,121.542215,38.7年,46.36,5888,0,2房2廳1.5衛,0,15,4,['L']
台北市大安區信義路四段,25.033728,121.555704,46.3年,45.23,4988,0,3房2廳2衛1室,0,7,3,['M']
台北市大安區市民大道三段,25.044464,121.53744,10.2年,105.74,16558,1,4房2廳3衛,0,23,13,['L']
台北市大安區忠孝東路四段,25.041698,121.550647,49.4年,39.33,5120,0,2房2廳2衛,0,14,10,['L']
台北市大安區羅斯福路三段,25.017372,121.531931,13.2年,102.74,12800,2,4房2廳2衛1室,0,19,15,['L']
台北市大安區復興南路一段,25.035979,121.543394,2.3年,55.8,7500,1,3房2廳2衛,0,15,8,['L']
台北市大安區金華街,25.029941,121.528721,13.1年,101.64,11880,4,3房2廳3衛2室,0,11,3,['L']
台北市大安區信義路三段,25.029081,121.538945,39.9年,35.59,3778,0,3房2廳2衛,0,16,7,['L']
台北市大安區羅斯福路三段,25.017372,121.531931,13.2年,108.08,11800,2,4房2廳3衛,0,19,16,['L']
台北市大安區和平東路一段,25.027013,121.525709,37.6年,63.82,6600,1,4房2廳2衛1室,0,12,5,['L']
台北市大安區辛亥路二段,25.022818,121.536274,37.1年,43.97,3988,0,4房2廳2衛,0,25,2,['L']
台北市大安區延吉街,25.043354,121.55481,47.6年,28.05,2860,0,2房2廳1衛,0,7,3,['M']
台北市大安區忠孝東路三段,25.040861,121.540864,38.9年,48.72,7698,0,6房2廳5衛,1,14,1,['L']
台北市大安區和平東路二段,25.026727,121.545426,40.8年,30.54,2998,0,3房2廳1衛,0,19,10,['L']
台北市大安區羅斯福路三段,25.017372,121.531931,13.2年,112.58,13000,2,4房2廳3衛,0,19,14,['L']
台北市大安區和平東路一段,25.025893,121.532781,19.0年,64.73,7838,2,3房2廳2衛,0,15,9,['L']
台北市大安區四維路,25.028196,121.546338,17.2年,18.57,2700,0,1房2廳1衛,0,8,4,['M']
台北市大安區瑞安街,25.029880478473,121.54220476431,16.3年,123.22,14988,3,3房2廳3衛2室,0,11,6,['L']
台北市大安區大安路一段,25.042535,121.546277,48.6年,56.44,5960,0,4房2廳2衛1室,0,12,9,['L']
台北市大安區信義路四段,25.033944,121.555623,13.0年,50.07,5580,2,2廳2衛1室,1,7,1,['M']
台北市大安區大安路二段,25.03224,121.545854,16.3年,20.6,2880,0,1房1廳1衛,0,12,6,['L']
台北市大安區信義路三段,25.034701,121.542377,57.9年,25.98,3820,0,3房2廳1衛1室,0,4,2,['A']
台北市大安區羅斯福路三段,25.018903,121.530368,17.1年,30.83,3600,1,3房1廳1衛,1,13,4,['L']
台北市大安區忠孝東路三段,25.043747,121.540592,52.6年,58.79,5688,0,5房2廳2衛,0,7,2,['M']
台北市大安區忠孝東路四段,25.039351,121.553216,50.2年,47.45,5450,0,2房2廳2衛2室,0,7,5,['M']
台北市大安區敦化南路一段,25.035375,121.551074,48.2年,54.86,6680,0,5房2廳2.5衛,0,7,6,['M']
台北市大安區和平東路二段,25.026727,121.545426,40.8年,30.64,2931,0,3房2廳1衛,0,19,16,['L']
台北市大安區敦化南路二段,25.026091,121.548377,47.1年,33.85,4500,0,3房2廳2衛,0,16,16,['L']
台北市大安區忠孝東路三段,25.041442,121.541771,4.0年,180.17,39225,3,1廳,0,30,24,['L']
台北市大安區和平東路一段,25.027567,121.525513,47.6年,45.05,4288,0,4房2廳2衛,0,5,3,['A']
台北市大安區溫州街,25.025625,121.533646,39.5年,43.3,4330,0,3房2廳2衛,0,7,2,['M']
台北市大安區復興南路二段,25.031053,121.540859,18.6年,92.37,10888,2,4房2廳2衛,0,8,5,['M']
台北市大安區安和路一段,25.033926,121.552915,42.1年,44.46,4300,0,6房3廳3衛1室,1,5,5,['A']
台北市大安區復興南路二段,25.027474,121.544607,40.8年,38.41,3888,0,3房2廳2衛,0,19,18,['L']
台北市大安區仁愛路四段,25.035965,121.553262,41.9年,47.79,5488,0,5房2廳2衛1室,1,7,7,['M']
台北市大安區泰順街,25.023967654221,121.52954513988,20.4年,19.25,2680,0,2房2廳1衛,0,5,3,['M']
台北市大安區和平東路二段,25.021806,121.540322,16.1年,11.04,2388,0,1房1廳1衛,0,7,6,['M']
台北市大安區市民大道四段,25.044698,121.556915,42.3年,23.74,2430,0,2房2廳1衛1室,0,7,4,['M']
台北市大安區雲和街,25.023541,121.532088,45.0年,23.49,2588,0,4房2廳2衛,1,5,5,['A']
