路段,緯度,經度,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市中正區臨沂街,25.035654,121.529612,0,1,0,0,0,0,0,0,0,0,0,0,57.4,46.55,4105,0,4.0,2.0,2.0,0.0,0,4,2,2,1,0,0,0,1,0
台北市中正區南昌路一段,25.02942,121.51759,0,1,0,0,0,0,0,0,0,0,0,0,34.0,52.71,6200,1,3.0,2.0,2.0,1.0,0,6,1,1,1,0,0,0,1,0
台北市中正區南海路,25.028731,121.508565,0,1,0,0,0,0,0,0,0,0,0,0,1.1,37.33,3280,1,2.0,2.0,1.0,0.0,0,7,3,3,1,0,0,0,1,0
台北市中正區汀州路三段,25.018937,121.527169,0,1,0,0,0,0,0,0,0,0,0,0,27.2,13.52,1486,0,1.0,2.0,1.0,0.0,1,13,4,4,1,0,1,0,0,0
台北市中正區南海路,25.028731,121.508565,0,1,0,0,0,0,0,0,0,0,0,0,1.1,37.19,3221,1,2.0,2.0,1.0,0.0,0,7,2,2,1,0,0,0,1,0
台北市中正區開封街一段,25.045915,121.512056,0,1,0,0,0,0,0,0,0,0,0,0,18.4,12.04,1300,0,0.0,1.0,1.0,0.0,0,14,5,5,1,0,1,0,0,0
台北市中正區忠孝東路二段,25.042736,121.528488,0,1,0,0,0,0,0,0,0,0,0,0,0.5,22.7,3680,0,1.0,1.0,1.0,1.0,0,21,12,12,1,0,1,0,0,0
台北市中正區同安街,25.02202,121.520295,0,1,0,0,0,0,0,0,0,0,0,0,0.8,51.81,6388,1,3.0,2.0,2.0,0.0,0,7,6,6,1,0,0,0,1,0
台北市中正區臨沂街,25.039643,121.530206,0,1,0,0,0,0,0,0,0,0,0,0,49.4,26.32,3200,0,3.0,2.0,1.0,0.0,1,5,2,2,1,1,0,0,0,0
台北市中正區師大路,25.020948,121.527,0,1,0,0,0,0,0,0,0,0,0,0,49.1,40.83,3850,0,4.0,2.0,2.0,1.0,0,5,2,2,1,1,0,0,0,0
台北市中正區泉州街,25.026657,121.51375,0,1,0,0,0,0,0,0,0,0,0,0,18.3,47.5,3500,1,3.0,2.0,2.0,0.0,0,7,2,2,1,0,0,0,1,0
台北市中正區詔安街,25.02485,121.514146,0,1,0,0,0,0,0,0,0,0,0,0,48.6,43.96,2768,0,3.0,2.0,2.0,1.0,0,7,2,2,1,0,0,0,1,0
台北市中正區同安街,25.02202,121.520295,0,1,0,0,0,0,0,0,0,0,0,0,0.8,51.81,5988,1,0.0,1.0,0.0,0.0,0,7,2,2,1,0,0,0,1,0
台北市中正區廈門街,25.024844,121.517508,0,1,0,0,0,0,0,0,0,0,0,0,7.4,42.21,3680,1,2.0,2.0,1.0,0.0,0,12,4,4,1,0,1,0,0,0
台北市中正區詔安街,25.025003,121.516144,0,1,0,0,0,0,0,0,0,0,0,0,53.0,22.67,1780,0,4.0,3.0,2.0,1.0,1,4,4,4,1,1,0,0,0,0
台北市中正區連雲街,25.034348,121.529947,0,1,0,0,0,0,0,0,0,0,0,0,60.7,39.5,4380,0,3.0,2.0,5.0,1.0,0,4,3,3,1,1,0,0,0,0
台北市中正區汀州路三段,25.013442,121.534289,0,1,0,0,0,0,0,0,0,0,0,0,54.5,32.64,3488,0,3.0,2.0,2.0,0.0,0,7,2,2,1,0,0,0,1,0
台北市中正區重慶南路三段,25.022988,121.516672,0,1,0,0,0,0,0,0,0,0,0,0,53.2,16.16,1488,0,3.0,1.0,1.0,0.0,0,5,5,5,1,1,0,0,0,0
台北市中正區忠孝東路二段,25.042387,121.528191,0,1,0,0,0,0,0,0,0,0,0,0,17.8,102.62,11130,2,3.0,2.0,2.0,2.0,0,14,3,3,1,0,1,0,0,0
台北市中正區杭州南路一段,25.040845,121.526111,0,1,0,0,0,0,0,0,0,0,0,0,2.4,72.54,9988,1,4.0,2.0,2.0,0.0,0,21,12,12,1,0,1,0,0,0
台北市中正區水源路,25.021035,121.520026,0,1,0,0,0,0,0,0,0,0,0,0,6.9,40.32,4068,1,2.0,2.0,2.0,0.0,0,15,2,2,1,0,1,0,0,0
台北市中正區羅斯福路一段,25.031336,121.519621,0,1,0,0,0,0,0,0,0,0,0,0,16.9,65.12,9980,2,2.0,2.0,2.0,1.0,0,14,13,13,1,0,1,0,0,0
台北市中正區汀州路二段,25.025312,121.51761,0,1,0,0,0,0,0,0,0,0,0,0,30.1,43.03,3368,1,2.0,2.0,1.0,1.0,0,14,3,3,1,0,1,0,0,0
台北市中正區臨沂街,25.037049,121.530073,0,1,0,0,0,0,0,0,0,0,0,0,62.5,20.36,3450,0,0.0,1.0,1.0,0.0,0,2,2,2,1,1,0,0,0,0
台北市中正區衡陽路,25.042377,121.511767,0,1,0,0,0,0,0,0,0,0,0,0,7.7,24.95,2950,1,1.0,1.0,1.0,0.0,0,15,9,9,1,0,1,0,0,0
台北市中正區杭州南路一段,25.039373,121.526984,0,1,0,0,0,0,0,0,0,0,0,0,3.0,128.42,19998,3,3.0,2.0,3.0,1.0,0,20,14,14,1,0,1,0,0,0
台北市中正區羅斯福路三段,25.021431,121.527017,0,1,0,0,0,0,0,0,0,0,0,0,49.8,34.0,2950,0,2.0,2.0,2.0,1.0,0,12,9,9,1,0,1,0,0,0
台北市中正區和平西路一段,25.027294,121.515396,0,1,0,0,0,0,0,0,0,0,0,0,44.3,34.3,2988,0,3.0,2.0,2.0,1.0,0,12,2,2,1,0,1,0,0,0
台北市中正區羅斯福路三段,25.021426,121.525422,0,1,0,0,0,0,0,0,0,0,0,0,53.0,19.13,1700,0,1.0,1.0,1.0,1.0,0,4,2,2,1,1,0,0,0,0
