路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市文山區久康街,24.990684,121.567308,12.2年,72.15,5180,1,4房2廳2衛,0,13,3,['L']
台北市文山區辛亥路四段,25.002155,121.556308,5.9年,66.82,7480,1,4房2廳2衛,0,24,7,['L']
台北市文山區試院路,24.990558,121.548101,31.0年,51.3,2228,1,4房2廳1.5衛,0,11,2,['L']
台北市文山區汀州路四段,25.003215,121.535704,15.4年,57.5,4368,1,3房2廳2衛1室,0,14,3,['L']
台北市文山區萬壽路,24.986795,121.588162,30.2年,116.72,4288,2,3房2廳2衛1室,0,15,2,['L']
台北市文山區景後街,24.991914,121.543037,31.4年,39.95,2630,1,3房2廳2衛,0,13,12,['L']
台北市文山區辛亥路四段,25.008661,121.561555,22.5年,13.31,998,0,1房1廳1衛,0,14,5,['L']
台北市文山區辛亥路四段,25.007729,121.5598,29.4年,45.41,2899,1,3房2廳2衛,0,12,7,['L']
台北市文山區富山路,24.989744,121.553308,18.2年,61.8,4288,1,2房2廳2衛,0,10,4,['M']
台北市文山區秀明路一段,24.98974,121.564432,17.0年,57.99,3880,2,2房2廳2衛,0,11,5,['L']
台北市文山區政大二街,24.987718,121.586639,15.6年,48.56,2588,1,2房2廳2衛1室,1,5,1,['M']
台北市文山區興隆路二段,24.998097,121.546153,40.4年,28.22,1680,0,5房3廳2衛,1,5,5,['A']
台北市文山區汀州路四段,25.004949,121.535201,41.3年,32.02,2498,0,3房2廳2衛,0,7,4,['M']
台北市文山區仙岩路,24.998898,121.5498,30.9年,23.17,1955,0,1房2廳1衛,0,18,7,['L']
台北市文山區辛亥路四段,25.00202,121.556434,5.9年,56.17,6090,1,4房2廳2衛,0,26,25,['L']
台北市文山區景文街,24.990459,121.541011,9.9年,28.5,2680,0,1房2廳1衛,0,11,9,['L']
台北市文山區溪口街,24.995709939115,121.53870385112,18.3年,47.37,3580,1,4房2廳3衛,0,6,2,['M']
台北市文山區木柵路二段,24.991281,121.563225,32.3年,52.61,2688,1,4房2廳2衛,0,7,4,['M']
台北市文山區景福街,24.99895,121.537221,27.2年,44.51,3300,0,3房2廳2衛,0,14,1,['L']
台北市文山區萬安街,25.001975,121.57149,42.6年,22.97,1368,0,2房2廳1衛,0,12,4,['L']
台北市文山區興隆路二段,24.997495,121.546653,33.1年,33.18,2750,0,3房2廳2衛,0,7,5,['M']
台北市文山區光輝路,24.984362,121.555443,43.9年,39.1,1980,0,4房2廳2衛,0,5,3,['A']
台北市文山區忠順街一段,24.984672,121.558779,33.0年,37,2888,0,3房2廳2衛,0,8,6,['M']
台北市文山區景華街,24.995276,121.54807,42.2年,37.31,1998,0,3房2廳1.5衛1室,0,5,5,['A']
台北市文山區木新路三段,24.981116,121.561964,33.0年,72.62,3280,1,3房2廳2衛1室,1,8,2,['M']
台北市文山區秀明路二段,24.991435062495,121.57814842644,28.8年,98.44,5760,2,6房2廳2.5衛3室,0,19,1,['L']
台北市文山區萬芳路,24.996718,121.563609,30.1年,63.59,4788,1,5房2廳3衛3室,0,12,10,['L']
台北市文山區指南路三段,24.983986,121.579165,42.2年,52.67,2680,0,4房2廳2衛,0,6,3,['M']
台北市文山區辛亥路六段,24.990431,121.552482,17.9年,74.29,4988,1,3房2廳2衛,0,11,2,['L']
台北市文山區景興路,24.989149,121.541861,6.2年,20.54,1998,0,2房2廳1衛,0,27,7,['L']
台北市文山區光輝路,24.984372,121.557182,43.8年,47.74,2200,0,5房2廳2衛,1,5,5,['A']
台北市文山區忠順街一段,24.984188,121.560098,43.4年,33.52,1780,0,3房2廳2衛,0,5,5,['A']
台北市文山區富山路,24.988913,121.553704,1.8年,29.04,2780,1,2房2廳1衛,0,15,8,['L']
