行政區,路段,緯度,經度,行政區_中正區,行政區_大同區,行政區_中山區,行政區_松山區,行政區_大安區,行政區_萬華區,行政區_信義區,行政區_士林區,行政區_北投區,行政區_內湖區,行政區_南港區,行政區_文山區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
中山區,南京東路二段,25.053200407,121.534133887,0,0,1,0,0,0,0,0,0,0,0,0,56.7,217.0,2098,0,2,2,2,2,0,4,3,3,1,0,1,0,0,0
中山區,北安路,25.0800726356,121.547185399,0,0,1,0,0,0,0,0,0,0,0,0,46.7,242.0,3188,0,3,1,2,3,0,7,2,2,1,0,1,0,0,0
中山區,中山北路一段,25.0499855158,121.523667982,0,0,1,0,0,0,0,0,0,0,0,0,29.8,71.0,1498,0,2,1,1,2,0,7,2,2,1,0,1,0,0,0
中山區,松江路,25.0563348129,121.530896793,0,0,1,0,0,0,0,0,0,0,0,0,17.3,142.0,7398,1,4,2,2,4,0,14,13,13,1,0,1,0,0,0
中山區,林森北路,25.0595801287,121.525677839,0,0,1,0,0,0,0,0,0,0,0,0,43.8,113.0,1680,0,2,2,1,2,0,12,8,8,1,0,1,0,0,0
中山區,敬業三路,25.0790690425,121.559017654,0,0,1,0,0,0,0,0,0,0,0,0,25.8,142.0,3398,1,3,2,2,3,0,10,5,5,1,0,1,0,0,0
中山區,敬業三路,25.0779757524,121.559462337,0,0,1,0,0,0,0,0,0,0,0,0,25.8,142.0,3398,0,3,2,2,3,0,10,5,5,1,0,1,0,0,0
中山區,敬業三路,25.0790690425,121.559017654,0,0,1,0,0,0,0,0,0,0,0,0,25.8,142.0,3500,1,3,2,2,3,0,10,5,5,1,0,1,0,0,0
中山區,敬業三路,25.0779757524,121.559462337,0,0,1,0,0,0,0,0,0,0,0,0,25.8,142.0,3500,0,3,2,2,3,0,10,5,5,1,0,1,0,0,0
中山區,明水路,25.0779230326,121.545949981,0,0,1,0,0,0,0,0,0,0,0,0,29.8,168.0,9888,1,4,2,2,4,0,15,14,15,2,0,1,0,0,0
中山區,新生北路二段,25.0590234057,121.52722908,0,0,1,0,0,0,0,0,0,0,0,0,43.3,190.0,1898,0,2,1,1,2,0,12,8,8,1,0,1,0,0,0
中山區,中山北路一段,25.0506166482,121.521194348,0,0,1,0,0,0,0,0,0,0,0,0,1.5,44.0,5530,1,2,2,2,2,0,22,7,7,1,0,1,0,0,0
中山區,復興北路,25.0572276392,121.543916085,0,0,1,0,0,0,0,0,0,0,0,0,40.0,100.0,2888,0,3,2,1,3,0,15,6,6,1,0,1,0,0,0
中山區,錦州街,25.0595155021,121.524666248,0,0,1,0,0,0,0,0,0,0,0,0,29.1,195.0,898,0,1,1,1,1,0,11,9,9,1,0,1,0,0,0
中山區,建國北路二段,25.061092,121.535609,0,0,1,0,0,0,0,0,0,0,0,0,3.5,238.0,8500,1,3,2,2,3,0,15,3,3,1,0,1,0,0,0
中山區,新生北路二段,25.0561115181,121.527203534,0,0,1,0,0,0,0,0,0,0,0,0,45.7,257.0,1198,0,2,1,1,2,0,12,9,9,1,0,1,0,0,0
中山區,撫順街,25.063785459,121.52141438,0,0,1,0,0,0,0,0,0,0,0,0,38.2,72.0,1230,0,1,1,1,1,0,10,3,3,1,0,1,0,0,0
中山區,南京東路二段,25.0522083534,121.528860597,0,0,1,0,0,0,0,0,0,0,0,0,8.3,98.0,10500,1,3,2,2,3,0,24,12,12,1,0,1,0,0,0
中山區,新生北路二段,25.0571179213,121.526809072,0,0,1,0,0,0,0,0,0,0,0,0,49.5,113.0,998,0,2,1,1,2,0,10,7,7,1,0,1,0,0,0
中山區,中山北路三段,25.0660380745,121.522508426,0,0,1,0,0,0,0,0,0,0,0,0,43.3,161.0,1650,0,2,1,1,2,0,12,9,9,1,0,1,0,0,0
中山區,民生東路二段,25.0581568941,121.527950172,0,0,1,0,0,0,0,0,0,0,0,0,12.3,181.0,8900,1,3,2,2,3,0,14,10,10,1,0,1,0,0,0
中山區,明水路,25.079352848,121.552615379,0,0,1,0,0,0,0,0,0,0,0,0,18.3,222.0,11968,1,3,2,2,3,0,11,8,8,1,0,1,0,0,0
中山區,長春路,25.054852,121.5244619,0,0,1,0,0,0,0,0,0,0,0,0,41.3,43.0,2680,0,2,2,1,2,0,12,12,12,1,0,1,0,0,0
中山區,新生北路二段,25.0571897238,121.527228381,0,0,1,0,0,0,0,0,0,0,0,0,53.8,124.0,1680,0,2,1,2,2,0,12,10,10,1,0,1,0,0,0
中山區,明水路,25.0795687242,121.551126255,0,0,1,0,0,0,0,0,0,0,0,0,23.0,201.0,10388,1,4,2,3,4,0,14,3,3,1,0,1,0,0,0
中山區,長安東路一段,25.0472669288,121.529222559,0,0,1,0,0,0,0,0,0,0,0,0,0.0,221.0,6688,1,4,2,3,4,0,5,5,5,1,0,1,0,0,0
中山區,長安東路一段,25.0472669288,121.529222559,0,0,1,0,0,0,0,0,0,0,0,0,7.0,43.0,6688,1,4,2,3,4,0,5,5,5,1,0,1,0,0,0
中山區,樂群二路,25.0785876557,121.554782718,0,0,1,0,0,0,0,0,0,0,0,0,17.5,67.0,9580,1,3,2,2,3,0,5,4,4,1,0,1,0,0,0
中山區,松江路,25.0489057672,121.532749821,0,0,1,0,0,0,0,0,0,0,0,0,9.3,120.0,9888,1,3,2,3,3,0,14,4,4,1,0,1,0,0,0
中山區,林森北路,25.0599603109,121.524870727,0,0,1,0,0,0,0,0,0,0,0,0,49.5,141.0,1388,0,2,1,1,2,0,11,4,4,1,0,1,0,0,0
中山區,建國北路三段,25.0651018594,121.537145706,0,0,1,0,0,0,0,0,0,0,0,0,10.4,162.0,2850,1,1,1,1,1,0,14,4,4,1,0,1,0,0,0
中山區,長春路,25.0548324886,121.524761752,0,0,1,0,0,0,0,0,0,0,0,0,16.1,216.0,3288,1,2,2,1,2,0,14,9,9,1,0,1,0,0,0
中山區,雙城街,25.0675726339,121.523450863,0,0,1,0,0,0,0,0,0,0,0,0,44.5,237.0,1185,0,1,1,1,1,0,6,3,3,1,0,1,0,0,0
中山區,新生北路三段,25.0639315636,121.527391631,0,0,1,0,0,0,0,0,0,0,0,0,31.5,43.0,1478,0,2,1,1,2,0,10,10,10,1,0,1,0,0,0
中山區,林森北路,25.0555872963,121.52557212,0,0,1,0,0,0,0,0,0,0,0,0,49.2,70.0,1688,0,3,1,1,3,0,12,8,8,1,0,1,0,0,0
中山區,中山北路一段,25.0508783205,121.522337748,0,0,1,0,0,0,0,0,0,0,0,0,16.7,95.0,11800,1,4,2,3,4,0,15,8,8,1,0,1,0,0,0
中山區,新生北路一段,25.0504854058,121.527867589,0,0,1,0,0,0,0,0,0,0,0,0,44.3,118.0,1128,0,1,1,1,1,0,12,8,8,1,0,0,1,0,0
中山區,中山北路二段,25.0592587813,121.523650044,0,0,1,0,0,0,0,0,0,0,0,0,20.6,139.0,3300,0,2,1,2,2,0,12,3,3,1,0,1,0,0,0
中山區,民生東路二段,25.0593996742,121.531272389,0,0,1,0,0,0,0,0,0,0,0,0,56.2,160.0,2388,0,3,2,1,3,0,4,3,3,1,0,1,0,0,0
中山區,民權東路二段,25.0623961567,121.529362698,0,0,1,0,0,0,0,0,0,0,0,0,13.1,216.0,6688,1,3,2,2,3,0,12,4,4,1,0,1,0,0,0
中山區,林森北路,25.0555872963,121.52557212,0,0,1,0,0,0,0,0,0,0,0,0,49.2,70.0,1688,0,3,1,1,3,0,12,8,8,1,0,1,0,0,0
中山區,撫順街,25.063785459,121.52141438,0,0,1,0,0,0,0,0,0,0,0,0,38.2,95.0,1230,0,1,1,1,1,0,10,3,3,1,0,1,0,0,0
中山區,民生東路二段,25.0581568941,121.527950172,0,0,1,0,0,0,0,0,0,0,0,0,12.3,178.0,8900,1,3,2,2,3,0,14,10,10,1,0,1,0,0,0
中山區,建國北路一段,25.0507867605,121.537211821,0,0,1,0,0,0,0,0,0,0,0,0,12.7,200.0,12998,1,3,2,3,3,0,13,11,11,1,0,1,0,0,0
中山區,長安東路二段,25.0485180008,121.535247204,0,0,1,0,0,0,0,0,0,0,0,0,18.1,223.0,1498,0,1,1,1,1,0,13,7,7,1,0,1,0,0,0
中山區,堤頂大道二段,25.0793974408,121.563280377,0,0,1,0,0,0,0,0,0,0,0,0,22.5,160.0,9688,1,5,2,3,5,0,11,4,4,1,0,1,0,0,0
中山區,中山北路一段,25.0506166482,121.521194348,0,0,1,0,0,0,0,0,0,0,0,0,1.5,184.0,5530,1,2,2,2,2,0,22,7,7,1,0,1,0,0,0
中山區,林森北路,25.0499982245,121.526022056,0,0,1,0,0,0,0,0,0,0,0,0,43.3,206.0,880,0,1,1,1,1,0,8,7,7,1,0,0,1,0,0
中山區,民生東路二段,25.0593996742,121.531272389,0,0,1,0,0,0,0,0,0,0,0,0,56.2,228.0,2338,0,3,2,1,3,0,4,3,3,1,0,1,0,0,0
中山區,林森北路,25.0650879494,121.525790338,0,0,1,0,0,0,0,0,0,0,0,0,49.0,43.0,980,0,1,1,1,1,0,11,6,6,1,0,0,1,0,0
中山區,松江路,25.0679515391,121.532734988,0,0,1,0,0,0,0,0,0,0,0,0,29.7,93.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0
中山區,中山北路二段,25.055800835,121.523932284,0,0,1,0,0,0,0,0,0,0,0,0,36.8,116.0,2998,0,2,2,2,2,0,5,3,3,1,0,1,0,0,0
中山區,松江路,25.0539891796,121.531064393,0,0,1,0,0,0,0,0,0,0,0,0,53.8,225.0,3888,0,4,2,2,4,0,5,2,2,1,0,1,0,0,0
中山區,大直街,25.0849655836,121.548995138,0,0,1,0,0,0,0,0,0,0,0,0,33.1,72.0,2988,0,2,2,2,2,0,5,1,1,1,0,1,0,0,0
中山區,吉林路,25.0670742831,121.528684414,0,0,1,0,0,0,0,0,0,0,0,0,57.7,99.0,2368,0,6,4,4,6,0,4,4,4,1,0,1,0,0,0
中山區,合江街,25.0556737165,121.539153227,0,0,1,0,0,0,0,0,0,0,0,0,7.8,123.0,2980,1,2,2,1,2,0,11,3,3,1,0,1,0,0,0
中山區,錦州街,25.0603062748,121.540045979,0,0,1,0,0,0,0,0,0,0,0,0,41.8,144.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0
中山區,民權東路二段,25.0623970568,121.529315413,0,0,1,0,0,0,0,0,0,0,0,0,13.1,186.0,11980,1,5,2,3,5,0,12,3,3,1,0,1,0,0,0
中山區,堤頂大道二段,25.0793974408,121.563280377,0,0,1,0,0,0,0,0,0,0,0,0,22.5,229.0,9688,1,5,2,3,5,0,11,4,4,1,0,1,0,0,0
中山區,林森北路,25.0660490377,121.525804836,0,0,1,0,0,0,0,0,0,0,0,0,14.7,251.0,3288,1,2,1,1,2,0,13,10,10,1,0,1,0,0,0
中山區,龍江路,25.0630380503,121.542079205,0,0,1,0,0,0,0,0,0,0,0,0,38.3,43.0,3880,0,3,2,2,3,0,7,4,4,1,0,1,0,0,0
中山區,松江路,25.0563348129,121.530896793,0,0,1,0,0,0,0,0,0,0,0,0,17.3,70.0,7398,1,4,2,2,4,0,14,13,13,1,0,1,0,0,0
中山區,五常街,25.0643883085,121.538458201,0,0,1,0,0,0,0,0,0,0,0,0,10.2,113.0,2150,0,1,1,1,1,0,12,7,7,1,0,1,0,0,0
中山區,林森北路,25.0490177103,121.527050978,0,0,1,0,0,0,0,0,0,0,0,0,41.6,137.0,1198,0,2,1,1,2,0,5,1,1,1,0,1,0,0,0
中山區,松江路,25.0679515391,121.532734988,0,0,1,0,0,0,0,0,0,0,0,0,29.7,157.0,1788,0,2,1,1,2,0,6,3,3,1,0,1,0,0,0
中山區,林森北路,25.0500934983,121.526302403,0,0,1,0,0,0,0,0,0,0,0,0,37.1,177.0,1288,0,2,1,1,2,0,7,2,2,1,0,1,0,0,0
中山區,南京東路三段,25.0538296281,121.538325484,0,0,1,0,0,0,0,0,0,0,0,0,8.4,199.0,3380,0,3,2,2,3,0,10,4,4,1,0,1,0,0,0
中山區,錦州街,25.0603062748,121.540045979,0,0,1,0,0,0,0,0,0,0,0,0,41.8,219.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0
中山區,林森北路,25.0478680505,121.527692695,0,0,1,0,0,0,0,0,0,0,0,0,0.8,238.0,7860,1,4,2,2,4,0,9,9,9,1,0,1,0,0,0
中山區,林森北路,25.0478715786,121.52764502,0,0,1,0,0,0,0,0,0,0,0,0,0.8,72.0,6550,1,3,2,2,3,0,9,9,9,1,0,1,0,0,0
中山區,中山北路二段,25.0575651084,121.524454344,0,0,1,0,0,0,0,0,0,0,0,0,48.5,95.0,1700,0,2,1,1,2,0,11,8,8,1,0,1,0,0,0
中山區,錦州街,25.0603062748,121.540045979,0,0,1,0,0,0,0,0,0,0,0,0,41.8,160.0,3088,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0
中山區,農安街,25.0648445559,121.52327436,0,0,1,0,0,0,0,0,0,0,0,0,16.8,229.0,3300,1,1,1,1,1,0,14,14,14,1,0,1,0,0,0
中山區,伊通街,25.0480033487,121.534796096,0,0,1,0,0,0,0,0,0,0,0,0,7.9,141.0,3480,1,3,1,1,3,0,9,3,3,1,0,1,0,0,0
中山區,復興北路,25.0632220739,121.544033776,0,0,1,0,0,0,0,0,0,0,0,0,13.1,164.0,7880,1,4,2,2,4,0,14,4,4,1,0,1,0,0,0
中山區,民生東路三段,25.0565565108,121.542569713,0,0,1,0,0,0,0,0,0,0,0,0,40.0,185.0,2988,1,2,2,1,2,0,13,2,2,1,0,1,0,0,0
中山區,雙城街,25.0645648257,121.523457831,0,0,1,0,0,0,0,0,0,0,0,0,57.9,220.0,1688,0,3,2,1,3,0,4,4,4,1,0,1,0,0,0
中山區,建國北路二段,25.061097,121.53536,0,0,1,0,0,0,0,0,0,0,0,0,3.5,44.0,8200,1,3,2,2,3,0,15,4,4,1,0,1,0,0,0
中山區,建國北路二段,25.061092,121.535609,0,0,1,0,0,0,0,0,0,0,0,0,3.5,44.0,8200,1,3,2,2,3,0,15,4,4,1,0,1,0,0,0
中山區,新生北路二段,25.0609340088,121.527934739,0,0,1,0,0,0,0,0,0,0,0,0,43.3,80.0,4400,0,3,2,2,3,0,7,5,5,1,0,1,0,0,0
中山區,復興北路,25.0652147899,121.543271414,0,0,1,0,0,0,0,0,0,0,0,0,42.4,102.0,3060,0,3,2,2,3,0,5,2,2,1,1,0,0,0,0
