id,district,latitude,longitude,dist_zhongshan,dist_zhongzheng,dist_xinyi,dist_neihu,dist_beitou,dist_nangang,dist_shilin,dist_datong,dist_daan,dist_wenshan,dist_songshan,dist_wanhua,building_area,land_area,total_price,unit_price,has_parking,rooms,halls,bathrooms,type_apartment,type_building,type_mansion,type_house,transaction_date,distance_to_mrt
93,中山區,25.067384,121.536175,1,0,0,0,0,0,0,0,0,0,0,0,29.93,7.3,1628.0,54.4,0,3,2,2,1,0,0,0,11409,1096
94,中山區,25.059301,121.53098,1,0,0,0,0,0,0,0,0,0,0,0,34.51,14.44,3608.0,104.54,0,3,2,2,1,0,0,0,11409,304
95,中山區,25.065964,121.530713,1,0,0,0,0,0,0,0,0,0,0,0,2.57,0.93,240.0,93.23,0,2,2,2,1,0,0,0,11409,680
96,中山區,25.060838,121.531156,1,0,0,0,0,0,0,0,0,0,0,0,15.43,8.57,1260.0,81.67,0,3,2,1,1,0,0,0,11409,249
97,中山區,25.067567,121.524963,1,0,0,0,0,0,0,0,0,0,0,0,9.33,1.38,660.0,70.72,0,1,1,1,0,0,1,0,11409,699
98,中山區,25.061053,121.525092,1,0,0,0,0,0,0,0,0,0,0,0,16.95,2.99,1610.0,94.99,0,2,1,1,0,0,1,0,11409,246
99,中山區,25.059421,121.52569,1,0,0,0,0,0,0,0,0,0,0,0,17.44,1.46,1270.0,72.81,0,2,2,1,0,1,0,0,11409,443
100,中山區,25.067545,121.525545,1,0,0,0,0,0,0,0,0,0,0,0,24.8,7.26,3300.0,133.09,0,1,0,0,1,0,0,0,11409,683
101,中山區,25.065054,121.523705,1,0,0,0,0,0,0,0,0,0,0,0,14.64,1.52,1635.0,111.65,0,3,1,2,0,1,0,0,11409,447
102,中山區,25.065394,121.528033,1,0,0,0,0,0,0,0,0,0,0,0,17.2,2.24,1280.0,74.43,0,1,0,0,0,1,0,0,11409,401
103,中山區,25.056513,121.530544,1,0,0,0,0,0,0,0,0,0,0,0,8.77,1.37,745.0,84.92,1,3,2,2,0,0,1,0,11409,400
104,中山區,25.065467,121.524846,1,0,0,0,0,0,0,0,0,0,0,0,28.45,2.2,1688.0,76.93,1,1,2,1,0,1,0,0,11409,413
105,中山區,25.062128,121.540435,1,0,0,0,0,0,0,0,0,0,0,0,58.6,8.64,4758.0,81.2,1,4,2,2,0,1,0,0,11409,500
106,中山區,25.062772,121.527232,1,0,0,0,0,0,0,0,0,0,0,0,28.96,2.77,1605.0,55.42,0,2,2,2,0,1,0,0,11409,45
107,中山區,25.064122,121.528376,1,0,0,0,0,0,0,0,0,0,0,0,42.43,8.02,2558.0,60.29,0,1,0,0,0,0,1,0,11409,274
108,中山區,25.068016,121.530315,1,0,0,0,0,0,0,0,0,0,0,0,37.16,15.03,2950.0,79.38,0,1,2,0,1,0,0,0,11409,876
109,中山區,25.066744,121.526994,1,0,0,0,0,0,0,0,0,0,0,0,8.3,0.89,600.0,72.28,0,1,1,1,0,1,0,0,11409,565
110,中山區,25.065399,121.525742,1,0,0,0,0,0,0,0,0,0,0,0,57.83,6.2,3800.0,65.7,0,5,1,5,0,1,0,0,11409,372
