路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位,行政區
台北市信義區信義路四段,預售,大樓,建坪 51.1,主+附 26.12,3房2廳2衛,9樓/15樓,"7,880",1,信義區
台北市信義區吳興街,41.6年,公寓,建坪 29.89,主 + 陽27.77,4房4廳4衛3室(含加蓋2房2廳2衛2室),5樓/5樓,"3,400",0,信義區
台北市信義區莊敬路,50.4年,公寓,建坪 31.12,主 + 陽31.11,4房4廳2衛(含加蓋1房2廳1衛),4樓/4樓,"2,688",0,信義區
台北市信義區松山路,58.1年,店面,建坪 21.31,主建物15.41,1廳1衛,1樓/4樓,"6,150",0,信義區
台北市信義區大道路,43.2年,公寓,建坪 42.4,主建物28.07,2房2廳2衛1室(含加蓋1室),1樓/5樓,"3,680",0,信義區
台北市信義區嘉興街,預售,大樓,建坪 81.22,主+附 46.84,3房2廳3.5衛,17樓/17樓,"8,898",1,信義區
台北市信義區中坡南路,53.9年,公寓/店面,建坪 30.47,主建物21.07,2廳1衛1室(含加蓋1室),1樓/4樓,"4,418",0,信義區
台北市信義區東興路,11.8年,辦公/大樓,建坪 95.67,主 + 陽52.64,1廳1衛,7樓/11樓,"8,500",1,信義區
台北市信義區嘉興街,預售,大樓,建坪 47.65,主+附 24.29,2房2廳2衛,8樓/17樓,"4,888",1,信義區
台北市信義區忠孝東路五段,49.2年,公寓,建坪 24.19,主 + 陽24.19,4房4衛1室,3樓/4樓,"2,600",0,信義區
台北市信義區基隆路一段,54.3年,店面,建坪 20.5,主建物20.5,1廳1衛1室,1樓/4樓,"3,588",0,信義區
台北市信義區吳興街,55.1年,透天,建坪 18.42,主建物18.42,3房1廳2.5衛(含加蓋1房),1-3樓/3樓,"2,280",0,信義區
台北市信義區富陽街,39.7年,公寓,建坪 38.2,主 + 陽36.26,3房2廳2衛,3樓/5樓,"2,980",0,信義區
台北市信義區忠孝東路五段,53.9年,店面,建坪 28.86,主建物20.23,1房1廳2衛1室(含加蓋1房1室),1樓/4樓,"8,888",0,信義區
台北市信義區松信路,44.3年,公寓,建坪 37.46,主 + 陽37.46,4房2廳2衛,4樓/5樓,"2,650",0,信義區
台北市信義區吳興街,30.0年,華廈,建坪 57.81,主建物14.6,6房2廳3衛2室(含加蓋2房2衛),B1-1樓/10樓,"3,780",1,信義區
