路段,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,單價(萬/坪)
台北市中正區汀州路二段,30.1,43.03,3368.0,1,2.0,2.0,1.0,1.0,0,14.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78.27097373925169
台北市中正區臨沂街,62.5,20.36,3450.0,0,0.0,1.0,1.0,0.0,0,2.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,169.44990176817288
台北市中正區衡陽路,7.7,24.95,2950.0,1,1.0,1.0,1.0,0.0,0,15.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118.23647294589179
台北市中正區杭州南路一段,2.9,128.42,19998.0,3,3.0,2.0,3.0,1.0,0,20.0,14,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,155.72340756891452
台北市中正區羅斯福路三段,49.8,34.0,2950.0,0,2.0,2.0,2.0,1.0,0,12.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.76470588235294
台北市中正區和平西路一段,44.3,34.3,2988.0,0,3.0,2.0,2.0,1.0,0,12.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.11370262390672
台北市中正區和平西路一段,48.2,37.35,3000.0,0,4.0,2.0,2.0,0.0,1,8.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80.32128514056225
台北市中正區羅斯福路三段,53.0,19.13,1700.0,0,1.0,1.0,1.0,1.0,0,4.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.86565603763722
台北市中正區羅斯福路一段,16.9,65.12,9980.0,2,3.0,2.0,2.0,0.0,0,14.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153.25552825552825
台北市中正區博愛路,12.4,226.27,42880.0,5,0.0,2.0,5.0,1.0,0,12.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.5081097803509
台北市中正區羅斯福路三段,53.0,16.62,2600.0,0,3.0,2.0,2.0,0.0,1,4.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156.43802647412755
台北市中正區博愛路,10.4,49.52,5888.0,1,3.0,2.0,2.0,0.0,0,15.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,118.90145395799676
台北市中正區臨沂街,1.9,50.75,8288.0,1,0.0,2.0,2.0,0.0,0,10.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,163.31034482758622
台北市中正區羅斯福路一段,43.2,13.21,1535.0,0,1.0,1.0,1.0,0.0,0,12.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,116.19984859954579
台北市中正區杭州南路一段,35.3,42.75,4308.0,0,3.0,2.0,2.0,0.0,1,5.0,-1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.7719298245614
台北市中正區汀州路三段,44.9,32.13,2780.0,0,3.0,2.0,2.0,0.0,0,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86.52349828820417
台北市中正區詔安街,36.8,33.56,2580.0,0,3.0,2.0,2.0,0.0,0,4.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76.8772348033373
