行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,1,0,0,0,0,0,0,0,31.65,20450000,646181.0,2,2,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,17.94,5000000,278781.0,2,1,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,76.99,60800000,789756.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,65.89,29500000,447695.0,1,2,1,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,17.51,4500000,256973.0,2,1,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,84.31,27500000,363853.0,3,2,2,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,25.23,7900000,313178.0,1,0,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,82.42,86500000,1216680.0,3,2,3,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,10.58,4050000,382858.0,1,1,1,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,10.45,10854500,1038877.0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,35.98,28500000,792192.0,3,2,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,14.52,10000000,688565.0,3,2,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,24.77,17700000,714529.0,2,1,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,32.07,26840000,836976.0,3,2,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,42.09,30000000,712764.0,4,2,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,15.89,7700000,484574.0,1,1,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,37.63,20800000,673752.0,2,2,1,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,14.64,9380000,640803.0,2,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,33.7,19500000,578611.0,2,2,2,0,0,0,1,0,0
