物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS193337,廣合陽光5房景觀電梯美宅,松山區三民路,5房(室)2廳5衛,201坪,6/6樓,194年,住宅,189萬
WS61855,南京復興面公園人潮一樓+B1,松山區南京東路三段,2廳2衛,224坪,B1-1/7樓,218年,店面,213萬
WS42016,420南京三民電梯收租美屋,松山區寶清街,5房(室)2廳3衛,245坪,7/7樓,238年,住宅,234萬
WS41202,雙敦學區黃金店辦住壹樓,松山區延吉街,4房(室)2廳2衛,46坪,1/7樓,38年,店面,26萬
WS23508,敦化日式庭院金店,松山區敦化北路,OPEN,62坪,1/1樓,66年,住宅,60萬
QS39910,A626復興南路微風廣場旁金店面,松山區復興南路一段,依現場實際情況為主,96坪,1/4樓,89年,店面,83萬
WS69622,復北昇陽公寓鼎加,松山區復興北路,5房(室)2廳3衛,121坪,5/5樓,114年,住宅,108萬
WS69661,名人世界.24H保全.景觀.全,松山區民生東路五段,3房(室)2廳2衛,146坪,7/15樓,139年,住宅,133萬
WS70841,巨蛋文創景觀宅,松山區市民大道五段,1房(室)1廳1衛,170坪,5/9樓,165年,住宅,159萬
YS196817,饒河街透天店面,松山區饒河街,8房(室)--廳4衛,191坪,B1-4/4樓,186年,店面,180萬
WS70592,Y21南京三民捷運寶清街金店,松山區寶清街,2房(室)2廳2衛,213坪,1/11樓,207年,店面,202萬
WS70578,雙敦微風邊間明亮住辦,松山區復興南路一段,4室2廳2衛,236坪,5/12樓,230年,住商,225萬
WS70791,南京三民站面寬一樓店辦住,松山區南京東路五段,3房(室)1廳1衛,256坪,1/6樓,186年,住商,246萬
WS70830,南京三民站面寬一樓店辦住,松山區南京東路五段,3房(室)1廳1衛,43坪,1/6樓,36年,住商,26萬
ZS200532,寶清三角窗店面,松山區寶清街,1房(室)1廳1衛,60坪,1/4樓,36年,住商,58萬
ZS200543,雙敦面公園黃金一樓,松山區八德路二段,3房(室)2廳1衛,81坪,1/4樓,84年,住宅,79萬
WS71081,大巨蛋捷運電梯套房,松山區市民大道五段,1房1衛,113坪,5/9樓,108年,住宅,102萬
WS43247,復興捷運坡平大車位,松山區民生東路三段,--房(室)--廳--衛,25坪,B1/5樓,134年,車位,126萬
YS196626,南京三民收租電梯鼎佳,松山區寶清街,6房(室)4廳4衛,160坪,7/25樓,153年,住宅,148萬
WS70686,逸仙名園三房平面車位,松山區光復南路,3房(室)2廳2衛,181坪,2/6樓,175年,住宅,170萬
OS210988,民生社區三房學區宅.格局方正,松山區新東街,3房(室)2廳1衛,202坪,4/5樓,196年,住宅,193萬
ZS193735,八德低總美寓,松山區八德路四段,2房(室)2廳2衛,224坪,4/5樓,218年,住宅,214萬
TS140989,368BH大巨蛋氣派純辦+車位,松山區光復南路,依現場,248坪,6/12樓,241年,辦公,235萬
QS42155,K024高興商辦風水宅,松山區基隆路一段,依現場實際情況為主,42坪,12/18樓,35年,住商,26萬
WS61165,民生富錦園介壽學區華廈,松山區民生東路五段,3房(室)2廳2衛,69坪,7/7樓,63年,住宅,56萬
WS63591,榮星小富邦小資首選,松山區復興北路,1房(室)1廳1衛,97坪,4/11樓,90年,住宅,83萬
YS191313,南京三民捷運🔥黃金住辦,松山區南京東路五段,5房(室)3廳3衛,125坪,2/16樓,118年,住商,110萬
ZS196563,南京三民電梯收租,松山區寶清街,3房(室)1廳3衛,149坪,6/11樓,142年,住商,137萬
ZS195953,南京雙捷運三房有窗,松山區南京東路五段,3房(室)2廳2衛,170坪,7/14樓,163年,住宅,160萬
ZS196349,民生圓環101景觀小資美三房,松山區民生東路五段,3房(室)2廳2衛,189坪,16/20樓,183年,住宅,180萬
WS65411,松山站LV288,松山區八德路四段,3室2廳1衛,215坪,2-3/13樓,208年,住宅,202萬
WS65674,小巨蛋捷運邊間採光三房美廈,松山區南京東路四段,3房(室)2廳2衛,238坪,2/7樓,231年,住宅,228萬
ZS99788,三民捷運商旅,松山區基隆路一段,17房(室)--廳17衛,259坪,18/18樓,35年,辦公,250萬
YS112934,南京綠色捷運收租屋,松山區南京東路五段,8房(室)--廳8衛,43坪,5/12樓,36年,住商,26萬
ZS170489,基隆路景觀商旅,松山區基隆路一段,17房(室)1廳17衛,70坪,18/18樓,64年,其他,56萬
YS125148,高興興極景商族,松山區基隆路一段,17房1廳17衛1室,70坪,18/18樓,64年,住商,56萬
ZS134171,高興興業極景商旅,松山區基隆路一段,17房1廳17衛1室,97坪,18/18樓,64年,辦公,56萬
ZS180628,帝王景觀優質商旅,松山區基隆路一段,17房(室)17廳1衛,70坪,18/18樓,64年,辦公,56萬
ZS176954,松山三民景觀收租商旅,松山區基隆路一段,18房(室)1廳17衛,70坪,18/18樓,64年,辦公,56萬
WS23667,高興典藏景觀旅館,松山區基隆路一段,18房(室)1廳17衛,70坪,18/18樓,64年,其他,56萬
ZS177972,民生社區3+1房超美寓,松山區撫遠街,3房(室)2廳2衛,142坪,3/4樓,148年,住宅,140萬
WS56394,民權景觀大空間,松山區民權東路五段,5房(室)3廳3衛,176坪,5/5樓,169年,住宅,164萬
WS56255,民權景觀大空間,松山區民權東路五段,5房(室)3廳3衛,176坪,5/5樓,169年,住宅,164萬
QS41961,A626復興南路微風廣場旁金店面,松山區復興南路一段,依現場實際情況為主,44坪,1/4樓,36年,店面,26萬
WS70326,民生社區百萬裝潢鼎佳美寓,松山區民權東路五段,4房(室)2廳3衛,69坪,4/4樓,63年,住宅,58萬
YS196076,光復北雙店面,松山區光復北路,--房(室)1廳1衛,97坪,1/10樓,90年,店面,83萬
WS70266,101景觀邊間電梯頂家,松山區八德路三段,6房(室)3廳4衛,119坪,12/12樓,113年,住宅,107萬
ZS200241,南京尊爵★捷運高樓質感宅,松山區南京東路五段,1房(室)1廳1衛,142坪,10/11樓,136年,住宅,131萬
WS70124,民權近中山國中站辦公大樓,松山區民權東路三段,開放式,165坪,4/15樓,159年,辦公,153萬
WS71259,八德透天金雞母,松山區八德路四段,6房(室)3廳8衛,189坪,1-4/4樓,183年,店面,176萬
ZS99548,高樓河景辦公室,松山區基隆路一段,開放式,212坪,18/18樓,206年,其他,200萬
ZS127008,純辦南京東,松山區南京東路五段,--房(室)1廳2衛,233坪,3/15樓,227年,辦公,223萬
YS126349,428松山車站景觀商旅,松山區基隆路一段,17房(室)1廳17衛,212坪,18/18樓,206年,住商,243萬
XS108617,典藏景觀商旅,松山區基隆路一段,17房(室)1廳17衛,43坪,18/18樓,36年,辦公,26萬
WS44403,高興興業大樓,松山區基隆路一段,3室/1廳,66坪,12/18樓,36年,辦公,58萬
WS07645,高興至尊景觀商旅,松山區基隆路一段,18室/1廳/17衛,43坪,18/18樓,36年,住商,75萬
ZS129474,南京三民商旅,松山區基隆路一段,17房(室)1廳17衛,43坪,18/18樓,36年,住商,75萬
ZS66823,市民延吉店面,松山區市民大道四段,開放式,111坪,1/7樓,106年,店面,98萬
ZS160785,光復八德露台商辦,松山區八德路三段,OPEN+2衛,134坪,4/12樓,128年,辦公,123萬
YS129688,復北民生金店面,松山區復興北路,開放式,159坪,1/14樓,152年,店面,148萬
