物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS69155,南軟園區三房坡車,南港區園區街,3房(室)2廳2衛,99坪,5/10樓,92年,住宅,85萬
ZS200347,陽光水岸+車位,南港區向陽路,2房(室)2廳2衛,120坪,3/7樓,116年,住宅,110萬
WS70987,香榭帝寶邊間大戶,南港區重陽路,3房(室)2廳2衛,143坪,9/14樓,138年,住宅,132萬
WS71201,東方大地高樓三房,南港區興華路,3房(室)2廳1衛,166坪,8/13樓,161年,住宅,155萬
ZS200307,面南港公園邊間鼎家,南港區東新街,3房(室)2廳3衛,190坪,5/5樓,182年,住宅,178萬
XS119806,胡適庭園透天別墅,南港區研究院路二段,2房(室)3廳2衛,210坪,1-2/2樓,205年,住宅,202萬
XS109465,中研大空間頂家,南港區研究院路三段,4房(室)4廳2衛,231坪,4/4樓,226年,住宅,221萬
XS141760,南港福德靜好電梯住宅,南港區福德街,3房(室)2廳1衛,251坪,16/19樓,246年,住宅,242萬
XS89772,成福家樂福停車壹樓,南港區成福路,6房(室)3廳2衛,44坪,1/5樓,37年,其他,26萬
XS111277,經貿軟體園區店面,南港區園區街,--房(室)1廳1衛,76坪,1/10樓,68年,店面,59萬
TS135096,台北南港區南港段二小段投資持份,南港區忠孝東路七段,25,87坪,25/25樓,25年,土地,86萬
QS46313,K577山森原全新毛胚+平面車位,南港區三重路,1房(室)2廳1衛,117坪,8/13樓,111年,住宅,103萬
XS126207,南港綠意雅寓,南港區舊莊街一段,3房(室)2廳1衛,137坪,5/5樓,132年,住宅,128萬
WS48886,I13南港大豐段林地,南港區大豐段三小段,25,25坪,25/25樓,25年,土地,147萬
WS48918,I13南港大豐段旱地,南港區大豐段三小段,25,25坪,25/25樓,25年,土地,160萬
WS48933,I13南港大豐段田地,南港區大豐段三小段,25,25坪,25/25樓,25年,土地,170萬
WS48941,I13南港大豐段林旱地,南港區大豐段三小段,25,25坪,25/25樓,25年,土地,180萬
XS97969,松車低總店辦,南港區八德路四段,--房(室)--廳--衛,206坪,2/16樓,201年,辦公,193萬
WS56690,❤松車萬象精緻大樓另坡車,南港區八德路四段,1室2廳1衛,44坪,5/16樓,36年,住商,26萬
JS94437,昆陽捷運忠孝東路公寓三房,南港區忠孝東路六段,3房(室)2廳1衛,64坪,4/4樓,70年,住宅,61萬
ZS194244,南港住安中研溫馨三房車,南港區舊莊街一段,3房(室)2廳1衛,98坪,5/7樓,92年,住宅,87萬
WS31201,昆陽面公園3房,南港區忠孝東路六段,3房(室)2廳2衛,119坪,3/4樓,70年,住宅,110萬
WS42118,昆陽捷運面公園精美3房,南港區忠孝東路六段,3房(室)2廳2衛,119坪,3/4樓,70年,住宅,110萬
OS202769,昆陽捷運面公園優美2樓,南港區忠孝東路六段,3房(室)2廳2衛,112坪,3/4樓,70年,住宅,110萬
