區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
中正區,頂樓邊間視野尊戶,台北市中正區中華路二段,4980 萬,華廈,43.1年,建坪71.95,主+陽58.71,7/7樓,5房(室)3廳3衛(含加蓋1房(室)1廳1衛),0
中正區,仁愛鴻禧帝王景觀,台北市中正區仁愛路二段,21600 萬 (含車位價),住宅大樓,35.3年,建坪148.10,主+陽116.45,15/21樓,4房(室)3廳4.5衛,1
中正區,中正國中邊間三房,台北市中正區杭州南路一段,3338 萬,公寓,59.6年,建坪33.47,主+陽33.47,4/4樓,4房(室)2廳2衛(含加蓋2房(室)--廳1衛),0
中正區,廈川里美2FB2,台北市中正區,1765 萬,住宅大樓,--年,建坪17.00,主+陽11.06,2/14樓,2房(室)1廳1衛,0
中正區,中正國中邊間美屋,台北市中正區和平西路一段,2888 萬,住宅大樓,6.9年,建坪19.01,主+陽11.44,2/14樓,1房(室)1廳1衛,0
中正區,古亭捷運電梯美屋,台北市中正區汀州路二段,4180 萬 (含車位價),華廈,17.9年,建坪38.09,主+陽24.36,4/10樓,2房(室)2廳2衛(含加蓋1房(室)--廳--衛),1
中正區,中正國中高樓平車,台北市中正區愛國東路,6188 萬 (含車位價),住宅大樓,38.3年,建坪64.32,主+陽47.04,11/12樓,2房(室)2廳2衛,1
中正區,古亭捷運庭院後院,台北市中正區同安街,5988 萬 (含車位價),辦公商業大樓,29.1年,建坪48.99,主+陽35.93,1/7樓,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),1
中正區,仁愛御璽獨戶尊邸,台北市中正區仁愛路二段,13508 萬 (含車位價),華廈,16.6年,建坪113.57,主+陽59.13,3/7樓,4房(室)2廳4衛,1
中正區,中正國中電梯美宅,台北市中正區仁愛路二段,6880 萬,華廈,42.0年,建坪57.56,主+陽+露45.62,5~6/6樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),0
中正區,站前雙星商四透天,台北市中正區武昌街一段,7288 萬,透天厝,--年,建坪22.22,主22.22,1~2/2樓,3房(室)3廳1衛(含加蓋3房(室)3廳1衛),0
中正區,藍天大露台古亭匯,台北市中正區南昌路二段,2600 萬,住宅大樓,5.4年,建坪17.29,主+陽9.49,13/14樓,1房(室)1廳1衛,0
中正區,牯嶺公園水岸景觀,台北市中正區牯嶺街,2998 萬,辦公商業大樓,37.9年,建坪42.39,主+陽34.63,10/12樓,3房(室)2廳2衛,0
中正區,舞春秋兩房車位,台北市中正區廈門街,3588 萬 (含車位價),住宅大樓,10.8年,建坪35.65,主+陽18.26,14/15樓,2房(室)2廳1衛,1
中正區,宏燁文華A戶2F,台北市中正區,1728 萬,華廈,--年,建坪12.51,主+陽7.14,2/9樓,1房(室)--廳1衛,0
中正區,喜來登四房住辦,台北市中正區鎮江街,7988 萬 (含車位價),華廈,51.4年,建坪94.42,主+陽74.55,6/7樓,6房(室)3廳3衛,1
中正區,自由之丘面後平車,台北市中正區忠孝東路一段,3980 萬 (含車位價),住宅大樓,19.4年,建坪38.70,主+陽19.13,2/13樓,1房(室)1廳1衛,1
中正區,中正國中靜巷車庫,台北市中正區銅山街,6250 萬,辦公商業大樓,43.0年,建坪56.20,主+平33.07,B1~1/6樓,6房(室)3廳2衛(含加蓋3房(室)1廳--衛),0
中正區,中正國中兩房新屋,台北市中正區杭州南路一段,3228 萬,華廈,9.9年,建坪19.45,主+陽12.32,5/7樓,2房(室)1廳1衛,0
中正區,植物園三房車位,台北市中正區泉州街,3500 萬 (含車位價),華廈,18.3年,建坪47.50,主+陽27.34,2/7樓,3房(室)2廳2衛,1
中正區,昇陽城中質感高樓,台北市中正區延平南路,2988 萬 (含車位價),辦公商業大樓,8.1年,建坪28.06,主+陽12.46,11/15樓,1房(室)1廳1衛,1
中正區,來來忠孝景觀四房,台北市中正區新生南路一段,4280 萬,住宅大樓,39.6年,建坪45.20,主+陽39.04,6/12樓,4房(室)2廳2衛,0
中正區,站前辦公優質首選,台北市中正區館前路,1290 萬,辦公商業大樓,49.1年,建坪13.11,主9.69,11/12樓,1房(室)1廳1衛,0
中正區,中正景觀裝潢三房,台北市中正區福州街,2800 萬,華廈,37.5年,建坪36.52,主+陽32.36,6/7樓,3房(室)2廳2衛,0
