區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
信義區,璞園松雍高樓遠景,台北市信義區松勇路,21298 萬 (含車位價),住宅大樓,1.5年,建坪120.69,主+陽58.52,10/16樓,3房(室)2廳2衛,1
信義區,太子東宮金店面,台北市信義區松山路,6980 萬,店面,40.6年,建坪57.68,主+平35.47,B1~1/14樓,1房(室)2廳1衛,0
信義區,巴黎世家樓中坡車,台北市信義區松仁路,7958 萬 (含車位價),住宅大樓,31.2年,建坪91.28,主+陽+露67.79,14~15/15樓,4房(室)2廳2衛,1
信義區,世貿北醫住辦收租,台北市信義區莊敬路,24800 萬,華廈,34.8年,建坪230.12,主+陽191.89,3~5/7樓,--房(室)--廳--衛,0
信義區,可住可辦面寬一樓,台北市信義區永吉路,3998 萬,店面,40.4年,建坪32.58,主+平21.73,1/5樓,3房(室)2廳1衛,0
信義區,松山美食三角窗,台北市信義區松山路,5650 萬,店面,33.2年,建坪35.34,主+平16.14,1/7樓,--房(室)2廳1衛,0
信義區,崇德靜巷採光美寓,台北市信義區崇德街,2168 萬,公寓,39.1年,建坪28.91,主+陽24.53,5/5樓,5房(室)4廳2衛(含加蓋2房(室)2廳1衛),0
信義區,六張犁三角窗店面,台北市信義區崇德街,4400 萬,店面,36.7年,建坪31.79,主29.62,1/7樓,--房(室)1廳1衛,0
信義區,後山埤收租金元寶,台北市信義區中坡南路,3880 萬,公寓,43.0年,建坪37.48,主+陽34.76,5/5樓,8房(室)--廳8衛(含加蓋2房(室)--廳2衛),0
信義區,市場面寬人潮金店,台北市信義區虎林街,6750 萬,店面,50.8年,建坪24.56,主24.56,1/4樓,--房(室)1廳1衛,0
信義區,市府巨蛋黑土店霸,台北市信義區基隆路一段,5888 萬,店面,54.0年,建坪34.55,主34.55,1/4樓,--房(室)2廳2衛,0
信義區,捷運人潮透天店王,台北市信義區永吉路,9688 萬,透天厝,59.4年,建坪31.11,主31.11,1~2/2樓,2房(室)2廳2衛,0
信義區,永春松山美食店霸,台北市信義區松山路,3850 萬,店面,34.6年,建坪21.53,主+平17.19,1/5樓,4房(室)--廳4衛,0
信義區,宏築信義金店S1,台北市信義區,4500 萬 (含車位價),店面,--年,建坪32.90,主14.22,1/24樓,--房(室)1廳1衛,1
信義區,博愛黃金公寓二樓,台北市信義區虎林街,2980 萬,公寓,55.3年,建坪27.36,主27.36,2/4樓,3房(室)1廳1衛,0
信義區,百坪土地景觀別墅,台北市信義區紫雲街,27083 萬,透天厝,45.0年,建坪163.94,主+陽+露163.94,B1~3/3樓,7房(室)5廳7衛,0
信義區,挹翠裝潢獨棟別墅,台北市信義區青雲街,18750 萬,透天厝,39.8年,建坪141.01,主+平+陽106.40,B1~3/3樓,10房(室)6廳5衛(含加蓋3房(室)1廳1衛),0
信義區,帛詩華美妝後棟,台北市信義區基隆路二段,3680 萬 (含車位價),住宅大樓,11.2年,建坪32.71,主+陽19.72,9/15樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),1
信義區,世貿銀行人潮店霸,台北市信義區基隆路二段,9980 萬,辦公商業大樓,32.7年,建坪51.25,主45.01,1~2/17樓,1房(室)2廳2衛,0
信義區,世貿管理辦公車位,台北市信義區基隆路二段,3580 萬 (含車位價),辦公商業大樓,34.2年,建坪58.07,主+陽34.93,4/12樓,--房(室)--廳--衛,1
信義區,正馬路三角窗店面,台北市信義區松隆路,4380 萬,店面,44.4年,建坪27.28,主+平25.00,1/7樓,--房(室)2廳2衛(含加蓋--房(室)1廳1衛),0
信義區,莊敬北醫收租金店,台北市信義區莊敬路,3780 萬,店面,40.4年,建坪27.98,主+平13.51,1/7樓,--房(室)1廳1衛,0
信義區,人潮大面寬金店,台北市信義區松山路,8800 萬,店面,51.1年,建坪27.45,主27.45,1/4樓,2房(室)1廳2衛(含加蓋1房(室)--廳1衛),0
信義區,永春捷運質感金店,台北市信義區虎林街,2550 萬,辦公商業大樓,31.2年,建坪20.20,主+平15.28,1/24樓,--房(室)1廳1衛,0
信義區,大面寬市場金店,台北市信義區中坡南路,4418 萬,公寓,53.7年,建坪30.47,主30.47,1/4樓,--房(室)1廳1衛,0
信義區,市府知名連鎖店面,台北市信義區永吉路,6500 萬,店面,46.6年,建坪31.16,主+平31.16,1/5樓,--房(室)--廳1衛,0
信義區,捷運面寬人潮金店,台北市信義區松德路,4680 萬,辦公商業大樓,34.9年,建坪29.69,主+平+陽27.52,1~2/12樓,--房(室)1廳1衛,0
信義區,板南黑土都更屋,台北市信義區忠孝東路五段,3380 萬,公寓,53.7年,建坪25.73,主25.73,3/4樓,3房(室)1廳1衛,0
信義區,永春捷運人潮金店,台北市信義區松山路,4300 萬,店面,40.4年,建坪29.33,主+平18.13,B1~1/14樓,2房(室)2廳1衛,0
信義區,象山站美妝大一樓,台北市信義區信義路六段,4380 萬,公寓,44.9年,建坪33.73,主+平33.73,1/5樓,4房(室)3廳2衛(含加蓋1房(室)1廳--衛),0
信義區,川普高樓面101,台北市信義區信義路五段,4988 萬 (含車位價),住宅大樓,16.5年,建坪38.56,主+陽16.12,6/19樓,1房(室)1廳1衛,1
信義區,世貿莊敬黃金3樓,台北市信義區莊敬路,2400 萬,公寓,53.1年,建坪23.96,主23.96,3/4樓,3房(室)2廳2衛,0
信義區,世貿松勤稀有金店,台北市信義區松勤街,4980 萬,店面,36.6年,建坪47.90,主+平37.42,B1~1/7樓,2房(室)2廳2衛(含加蓋1房(室)--廳--衛),0
信義區,市府兒福質感金店,台北市信義區松信路,3500 萬,店面,44.0年,建坪28.27,主+平27.12,1/12樓,--房(室)1廳1衛,0
信義區,廣慈捷運方正四房,台北市信義區忠孝東路五段,2458 萬,公寓,55.0年,建坪28.81,主28.81,4/4樓,5房(室)--廳5衛(含加蓋1房(室)--廳1衛),0
信義區,市府面寬人潮店霸,台北市信義區忠孝東路五段,16800 萬,店面,40.7年,建坪119.63,主+平115.05,B1~1/7樓,2房(室)2廳2衛,0
信義區,永春面寬人潮金店,台北市信義區虎林街,8000 萬,公寓,55.6年,建坪27.19,主+陽27.20,1/4樓,3房(室)1廳1衛,0
信義區,五分埔燙金店面,台北市信義區松山路,5880 萬,店面,41.1年,建坪23.71,主+平13.06,1/5樓,--房(室)1廳--衛,0
信義區,市府文創收租金雞,台北市信義區基隆路一段,6500 萬,住宅大樓,36.8年,建坪69.38,主+陽64.31,2/11樓,11房(室)--廳11衛,0
信義區,捷運高樓管理裝潢,台北市信義區基隆路二段,3188 萬,住宅大樓,42.8年,建坪32.84,主+陽26.76,12/12樓,2房(室)2廳2衛,0
信義區,寶徠花園高樓美景,台北市信義區信義路五段,20680 萬 (含車位價),住宅大樓,18.7年,建坪132.75,主+陽70.08,21/27樓,2房(室)2廳4衛(含加蓋--房(室)--廳1衛),1
信義區,忠孝海華靜巷三房,台北市信義區忠孝東路五段,3750 萬,華廈,43.8年,建坪33.25,主+陽26.63,5/7樓,3房(室)2廳2衛,0
信義區,正仁愛路國館金店,台北市信義區仁愛路四段,5000 萬,店面,45.2年,建坪21.37,主+平19.08,1/12樓,--房(室)1廳1衛,0
信義區,市府收租置產首選,台北市信義區基隆路一段,1388 萬,辦公商業大樓,37.0年,建坪13.72,主+陽10.74,6/11樓,2房(室)--廳2衛(含加蓋--房(室)--廳1衛),0
信義區,嘉興雙拼華厦三房,台北市信義區嘉興街,2550 萬,華廈,49.1年,建坪27.22,主+陽22.64,6/7樓,3房(室)2廳2衛,0
信義區,華誼信義6樓A7,台北市信義區,5760 萬,住宅大樓,--年,建坪35.61,主+陽22.98,6/24樓,2房(室)2廳2衛,0
信義區,華誼信義4樓A7,台北市信義區,5688 萬,住宅大樓,--年,建坪35.61,主+陽22.98,4/24樓,2房(室)2廳2衛,0
信義區,吳興二樓免爬高,台北市信義區吳興街,1880 萬,公寓,43.3年,建坪32.33,主+陽32.33,2/5樓,3房(室)2廳2衛,0
信義區,稀有正馬路二樓,台北市信義區松山路,2200 萬,公寓,55.0年,建坪26.14,主26.14,2/4樓,--房(室)1廳1衛,0
信義區,北醫邊間方正頂加,台北市信義區吳興街,1750 萬,公寓,46.5年,建坪28.54,主+陽28.54,5/5樓,6房(室)3廳1.5衛(含加蓋3房(室)1廳--衛),0
信義區,華誼信義9樓A7,台北市信義區,5813 萬,住宅大樓,--年,建坪35.61,主+陽22.98,9/24樓,2房(室)2廳2衛,0
信義區,華誼信義5樓A7,台北市信義區,5706 萬,住宅大樓,--年,建坪35.61,主+陽22.98,5/24樓,2房(室)2廳2衛,0
信義區,市府辦公稀有釋出,台北市信義區基隆路一段,3480 萬,住宅大樓,20.1年,建坪30.14,主+陽19.52,11/13樓,1房(室)1廳1衛,0
信義區,琢格77核心名邸,台北市信義區,3387 萬 (含車位價),住宅大樓,--年,建坪27.66,主+陽16.19,12/15樓,2房(室)1廳1衛,1
