區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
文山區,萬隆公園電梯三房,台北市文山區興隆路二段,3580 萬 (含車位價),華廈,12.1年,建坪42.47,主+陽23.94,3/7樓,3房(室)2廳2衛,1
文山區,興隆公園三房雙車,台北市文山區興隆路二段,4388 萬 (含車位價),住宅大樓,11.7年,建坪72.95,主+陽32.44,3/11樓,3房(室)2廳2衛,1
文山區,萬芳捷運公寓頂加,台北市文山區興隆路三段,2200 萬,公寓,43.4年,建坪37.11,主+陽+露34.30,5/5樓,3房(室)3廳3衛(含加蓋--房(室)1廳1衛),0
文山區,大安文山高樓四房,台北市文山區和平東路四段,5688 萬 (含車位價),住宅大樓,28.7年,建坪107.31,主+陽62.88,10/16樓,4房(室)2廳3衛,1
文山區,極致採光低樓美宅,台北市文山區景華街,2880 萬,公寓,44.4年,建坪43.31,主+陽36.74,3/5樓,3房(室)2廳2衛,0
文山區,萬芳超值三房首選,台北市文山區萬安街,1620 萬,公寓,42.6年,建坪36.21,主+陽28.01,4/5樓,3房(室)2廳2衛,0
文山區,政大名人電梯別墅,台北市文山區政大一街,6200 萬 (含車位價),透天厝,17.9年,建坪102.06,主+陽91.18,B1~4/4樓,5房(室)2廳4衛(含加蓋1房(室)--廳1衛),1
文山區,景美捷運首購首選,台北市文山區景興路,928 萬,住宅大樓,30.1年,建坪13.71,主+陽6.76,16/24樓,1房(室)1廳1衛,0
文山區,近捷運新婚小豪邸,台北市文山區興德路,1199 萬,住宅大樓,10.7年,建坪10.04,主+陽6.47,3/12樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
文山區,微山丘庭院雙車位,台北市文山區秀明路一段,9998 萬 (含車位價),華廈,7.9年,建坪147.16,主+陽71.95,1~2/5樓,3房(室)3廳4衛,1
文山區,再興邊間四房車位,台北市文山區興隆路四段,3480 萬 (含車位價),華廈,30.7年,建坪53.93,主+陽+露39.09,2/9樓,4房(室)2廳2衛,1
文山區,附中學區庭院四房,台北市文山區政大一街,3988 萬 (含車位價),華廈,23.1年,建坪78.03,主+陽53.34,1/7樓,4房(室)2廳3.5衛,1
