區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
中山區,台北市中山區林森北路,1188,住宅大樓,49.2年,建坪13.10,主10.86,6/12樓,2房(室)1廳1衛,0,25.0555872963,121.52557212
中山區,台北市中山區長春路,1155,住宅大樓,50.7年,建坪11.52,主+陽9.37,8/12樓,1房(室)--廳1衛,1,25.0547910596,121.527929769
中山區,台北市中山區合江街,3688,華廈,47.3年,建坪44.23,主+陽38.79,5/7樓,4房(室)2廳2衛,0,25.0615500126,121.538239073
中山區,台北市中山區北安路,1980,住宅大樓,15.2年,建坪26.10,主+陽8.41,5/14樓,1房(室)1廳1衛,1,25.0846931495,121.556917838
中山區,台北市中山區新生北路一段,1188,套房,37.7年,建坪11.13,主+陽7.74,11/14樓,--房(室)1廳1衛,0,25.0463305107,121.531037822
中山區,台北市中山區建國北路二段,2088,住宅大樓,43.7年,建坪24.22,主+陽17.34,8/14樓,2房(室)1廳--衛,1,25.0615810258,121.537362568
中山區,台北市中山區敬業三路,3750,住宅大樓,25.7年,建坪43.29,主+陽23.94,11/12樓,3房(室)2廳2衛,1,25.0783476182,121.5597648
中山區,台北市中山區樂群二路,25388,住宅大樓,11.2年,建坪178.74,主+陽89.57,5/11樓,3房(室)2廳4衛,4,25.0791330691,121.554798668
中山區,台北市中山區林森北路,1080,住宅大樓,17.2年,建坪10.02,主6.31,10/15樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0,25.0508203315,121.525166624
中山區,台北市中山區建國北路三段,3320,公寓,40.8年,建坪44.25,主+陽37.62,3/5樓,3房(室)2廳2衛,0,25.0680004239,121.53386556
中山區,台北市中山區南京東路二段,1980,套房,15.5年,建坪20.69,主+陽9.46,5/18樓,--房(室)1廳1衛,1,25.0518451344,121.53217589
中山區,台北市中山區德惠街,750,套房,46.2年,建坪8.80,主6.96,7/11樓,1房(室)1廳1衛,0,25.0665845612,121.526180293
中山區,台北市中山區林森北路,1788,華廈,42.0年,建坪19.98,主+陽17.33,3/7樓,3房(室)2廳1衛,1,25.0490943755,121.528239858
