路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,16.3,37.82,3828.0,1,3,2,1,0,0,14,14,14,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,17.4,10.43,1248.0,0,2,1,1,0,1,7,6,6,1,0,0,0,1,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,11.8,18.77,1988.0,1,2,1,1,0,1,12,7,7,1,0,1,0,0,0
台北市大同區天水路,0,0,0,0,0,0,0,1,0,0,0,0,58.3,137.64,11999.0,1,2,4,4,0,0,4,1,4,4,0,0,0,0,1
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,55.1,26.51,2888.0,0,2,3,3,0,1,4,1,1,1,1,0,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,58.6,18.53,1398.0,0,2,2,1,0,0,4,2,2,1,1,0,0,0,0
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,1.3,13.09,1833.0,1,1,1,1,0,0,15,4,4,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,38.3,38.0,2600.0,1,4,2,2,0,1,5,4,4,1,1,0,0,0,0
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,35.9,40.18,3498.0,1,3,2,2,0,0,17,16,16,1,0,1,0,0,0
台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,50.8,14.7,1180.0,1,4,1,1,0,1,4,2,2,1,1,0,0,0,0
台北市大同區環河北路二段,0,0,0,0,0,0,0,1,0,0,0,0,53.0,28.16,1858.0,0,3,2,2,0,1,4,4,4,1,1,0,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.5,30.39,1457.0,1,2,2,1,0,0,18,9,9,1,0,1,0,0,0
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,47.0,36.38,1650.0,0,3,2,1,0,0,5,5,5,1,1,0,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.28,768.0,1,1,1,1,0,0,18,17,17,1,0,1,0,0,0
台北市大同區赤峰街,0,0,0,0,0,0,0,1,0,0,0,0,13.9,21.3,2688.0,1,2,1,1,0,1,7,6,6,1,0,0,0,1,0
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,1.2,18.99,2400.0,1,1,1,1,0,0,15,4,4,1,0,1,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,2.2,28.03,2980.0,1,2,1,1,0,0,12,7,7,1,0,1,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,16.1,45.91,4680.0,1,2,2,1,0,0,14,14,14,1,0,1,0,0,0
台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,18.7,17.48,1998.0,1,2,2,1,0,1,11,9,9,1,0,1,0,0,0
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,46.2,22.33,1750.0,0,6,3,2,0,1,5,5,5,1,1,0,0,0,0
台北市大同區赤峰街,0,0,0,0,0,0,0,1,0,0,0,0,61.3,24.06,2860.0,0,3,2,1,0,0,3,2,2,1,1,0,0,0,0
台北市大同區延平北路一段,0,0,0,0,0,0,0,1,0,0,0,0,6.8,26.31,3580.0,1,2,1,1,0,0,12,12,12,1,0,1,0,0,0
台北市大同區承德路一段,0,0,0,0,0,0,0,1,0,0,0,0,3.3,83.04,9980.0,1,3,2,4,0,0,32,13,13,1,0,1,0,0,0
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,47.1,24.67,1928.0,0,3,1,1,0,1,5,4,4,1,1,0,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,44.1,50.36,3380.0,1,4,2,2,0,0,7,5,5,1,0,0,0,1,0
台北市大同區延平北路四段,0,0,0,0,0,0,0,1,0,0,0,0,59.6,33.5,2966.0,0,3,2,2,0,0,2,1,2,2,0,0,0,0,1
