路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區忠孝東路五段,32.6年,辦公/大樓,建坪 74.6,主 + 陽56.49,1廳2衛2室,10樓/28樓,"6,270",1
台北市信義區和平東路三段,18.1年,大樓,建坪 13.65,主 + 陽8.93,1房1廳1衛1室(含加蓋1房),11樓/14樓,"1,750",0
台北市信義區基隆路一段,20.1年,大樓/辦公,建坪 30.14,主 + 陽19.52,1房1廳1衛,11樓/13樓,"3,480",0
台北市信義區仁愛路四段,13.1年,大樓,建坪 62.4,主 + 陽36.29,3房2廳2衛1室,11樓/15樓,"9,200",1
台北市信義區吳興街,43.1年,公寓,建坪 27.05,主 + 陽27.05,3房3廳2衛(含加蓋1廳),5樓/5樓,"1,788",0
台北市信義區林口街,48.7年,公寓,建坪 35.43,主 + 陽35.43,3房2廳1衛,3樓/4樓,"2,980",0
台北市信義區市民大道六段,11.2年,大樓,建坪 106.38,主 + 陽53.4,2房2廳2衛,16樓/16樓,"13,000",2
台北市信義區忠孝東路五段,32.6年,辦公/大樓,建坪 72.08,主 + 陽45.38,1廳1衛6室,15樓/27樓,"6,388",1
台北市信義區吳興街,39.5年,公寓,建坪 46.61,主建物38.71,7房4廳4衛(含加蓋1房),1樓/5樓,"3,288",0
台北市信義區虎林街,24.4年,公寓,建坪 28.39,主 + 陽23.72,3房2廳2衛,3樓/5樓,"2,680",0
台北市信義區基隆路一段,42.5年,店面,建坪 23.53,主建物16.21,1廳1衛,1樓/12樓,"5,880",0
台北市信義區崇德街,32.6年,華廈,建坪 18.37,主建物12.35,1廳1衛,6樓/7樓,"1,750",0
台北市信義區虎林街,24.4年,公寓,建坪 28.39,主 + 陽23.72,3房2廳2衛,4樓/5樓,"2,680",0
台北市信義區吳興街,12.2年,大樓,建坪 23.27,主 + 陽12.53,2房2廳2衛(含加蓋1房),5樓/11樓,"1,866",0
台北市信義區基隆路一段,12.3年,大樓,建坪 35.81,主 + 陽19.22,3房2廳2衛3室(含加蓋3室),10樓/13樓,"3,580",1
台北市信義區福德街,42.1年,公寓,建坪 29.92,主 + 陽26.52,5房3廳2.5衛(含加蓋3房1廳1衛),5樓/5樓,"2,380",0
台北市信義區信義路五段,49.3年,公寓,建坪 36.57,主 + 陽36.57,4房2廳2衛(含加蓋1房),5樓/5樓,"2,500",0
台北市信義區吳興街,57.3年,別墅/透天,建坪 25.56,主建物25.56,5房2廳1衛1室(含加蓋1房1室),1-2樓/2樓,"3,880",0
台北市信義區吳興街,53.8年,公寓/店面,建坪 22.69,主建物22.69,3房2廳2衛(含加蓋1廳),1樓/4樓,"2,588",0
台北市信義區松山路,42.2年,華廈/辦公,建坪 106.34,主建物47.28,6廳3衛(含加蓋3廳),1樓/7樓,"12,688",0
台北市信義區虎林街,57.1年,公寓,建坪 28.53,主 + 陽27.13,4房2廳2衛1室(含加蓋2房1室),1樓/4樓,"4,688",0
台北市信義區信義路五段,19.2年,辦公/大樓,建坪 37.54,主 + 陽16.96,1房1廳1衛1室,2樓/19樓,"3,800",1
