路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區信義路四段,35.7年,大樓/辦公,建坪 44.59,主 + 陽41.15,2廳3衛(含加蓋1廳2衛),11樓/11樓,"5,380",0
台北市信義區松高路,28.3年,大樓/辦公,建坪 82.56,主 + 陽52.22,4房2廳2衛1室,1樓/14樓,"15,000",1
台北市信義區忠孝東路五段,29.1年,辦公/大樓,建坪 105.46,主建物54.4,1廳2衛3室,14樓/18樓,"9,520",2
台北市信義區忠孝東路五段,29.1年,辦公/大樓,建坪 174.74,主 + 陽93.81,4房3廳5衛3室,14樓/18樓,"15,688",3
台北市信義區信義路五段,16.7年,大樓,建坪 14.47,主 + 陽9.13,1房1廳1衛,4樓/19樓,"1,770",0
台北市信義區松德路,35.0年,大樓,建坪 79.22,主 + 陽54.98,4房2廳3衛1室,4樓/12樓,"8,725",1
台北市信義區嘉興街,49.2年,公寓,建坪 28.11,主建物22.69,3房2廳2衛,1樓/4樓,"2,480",0
台北市信義區基隆路一段,20.1年,辦公/大樓,建坪 65.78,主 + 陽41.76,1廳1衛1室,12樓/13樓,"7,800",0
台北市信義區忠孝東路五段,29.1年,大樓/辦公,建坪 69.28,主 + 陽39.41,4房2廳3衛,14樓/18樓,"6,480",1
台北市信義區忠孝東路五段,19.6年,大樓,建坪 127.6,主 + 陽61.95,4房2廳4衛(含加蓋1房1衛),6樓/14樓,"20,888",3
台北市信義區光復南路,37.0年,大樓/辦公,建坪 75.48,主 + 陽58.81,2房3廳3衛2室,2樓/12樓,"7,888",0
台北市信義區光復南路,37.0年,大樓/辦公,建坪 43.84,主 + 陽33.71,3廳1衛1室,2樓/12樓,"4,735",0
台北市信義區信義路五段,18.7年,大樓,建坪 124.01,主 + 陽71.1,3房2廳4衛3室,19樓/27樓,"20,800",2
台北市信義區逸仙路,47.8年,店面,建坪 35.63,主建物22.54,1廳1衛,1樓/12樓,"5,988",0
台北市信義區松高路,28.3年,大樓/辦公,建坪 82.74,主 + 陽51.35,2房2廳2衛1室,1樓/14樓,"14,500",1
台北市信義區信義路五段,27.9年,華廈,建坪 52.08,主 + 陽26.21,3房2廳2衛,2樓/8樓,"6,188",1
台北市信義區逸仙路,41.1年,大樓,建坪 43.06,主 + 陽33.94,3房2廳2衛,6樓/12樓,"6,980",0
台北市信義區信義路五段,18.2年,大樓,建坪 101.75,主 + 陽51.72,2廳1衛,9樓/27樓,"14,950",2
台北市信義區松山路,38.7年,大樓,建坪 43.65,主 + 陽33.6,4房2廳2衛,2樓/16樓,"3,788",0
台北市信義區永吉路,2.4年,店面,建坪 16.59,主建物5.84,1廳1衛,1樓/7樓,"1,998",1
台北市信義區信義路五段,16.7年,大樓/辦公,建坪 14.47,主 + 陽9.13,1房1廳1衛,19樓/19樓,"2,180",0
