路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市士林區中山北路六段,42.4年,公寓,建坪 39.05,主 + 陽37.42,3房2廳2衛,3樓/5樓,"2,788",0
台北市士林區基河路,16.0年,大樓,建坪 89.44,主 + 陽49.67,3房2廳4衛,2樓/15樓,"8,688",1
台北市士林區忠義街,34.8年,大樓,建坪 69.64,主 + 陽42.49,4房2廳2衛,4樓/15樓,"4,980",1
台北市士林區延平北路五段,預售,大樓,建坪 29.18,主+附 18.97,3房2廳2衛,5樓/15樓,"2,755",1
台北市士林區光華路,49.9年,公寓,建坪 52.6,主 + 陽52.61,18房10衛1室(含加蓋10房2衛),4樓/4樓,"1,630",0
台北市士林區至誠路二段,43.7年,公寓,建坪 32.58,主 + 陽29.19,7房2廳7衛1室(含加蓋2房1廳2衛),5樓/5樓,"2,238",0
台北市士林區翠山街,50.2年,公寓,建坪 31.38,主建物31.38,4房2廳3衛(含加蓋1衛),1樓/4樓,"1,978",0
台北市士林區延平北路五段,預售,大樓,建坪 23.77,主+附 15.45,2房2廳2衛,11樓/15樓,"2,155",0
台北市士林區延平北路五段,預售,大樓,建坪 24.58,主+附 15.98,2房2廳2衛,4樓/15樓,"2,105",0
台北市士林區菁山路,15.9年,華廈,建坪 42.37,主 + 陽16.81,1房2廳1衛,4樓/5樓,"2,688",1
台北市士林區格致路,30.7年,華廈/套房,建坪 21.49,主建物8.26,1房1廳1衛,5樓/5樓,888,1
台北市士林區天母東路,1.8年,大樓,建坪 44.25,主 + 陽26.23,3房2廳2衛,4樓/12樓,"4,288",1
台北市士林區中山北路七段,36.6年,華廈,建坪 54.57,主 + 陽37.71,3房2廳3衛1室,4樓/7樓,"3,988",0
台北市士林區福志路,11.0年,大樓,建坪 176.92,主 + 陽81.26,1廳3衛,11樓/17樓,"21,880",4
台北市士林區天母西路,48.1年,辦公/大樓,建坪 18.55,主建物16.04,2房2廳1衛,10樓/11樓,"1,800",0
台北市士林區仰德大道四段,15.8年,華廈,建坪 137.73,主 + 陽69.47,3房2廳2.5衛,4樓/5樓,"9,998",3
台北市士林區重慶北路四段,49.0年,公寓,建坪 31.69,主 + 陽31.69,3房3廳2衛(含加蓋1廳1衛),4樓/4樓,"1,628",0
台北市士林區中山北路五段,1.9年,大樓,建坪 89.2,主 + 陽47.73,3房2廳3衛,5樓/17樓,"7,888",1
台北市士林區福華路,25.9年,大樓,建坪 84.16,主 + 陽37.33,3房2廳2衛,4樓/12樓,"5,980",2
台北市士林區中山北路六段,3.9年,大樓,建坪 26.09,主 + 陽15.98,2房1廳2衛,8樓/14樓,"3,680",0
台北市士林區基河路,30.6年,大樓,建坪 53.2,主 + 陽30.13,3房2廳2衛2室,2樓/12樓,"3,980",1
台北市士林區芝玉路一段,14.6年,大樓,建坪 75.43,主 + 陽40.77,3房2廳2衛,7樓/14樓,"8,860",1
台北市士林區至誠路一段,7.7年,大樓,建坪 96.21,主 + 陽49.93,1廳,4樓/14樓,"8,501",1
台北市士林區劍潭路,41.9年,店面,建坪 72.15,主建物46.1,2廳1衛,1樓/7樓,"6,800",0
台北市士林區忠誠路一段,26.5年,大樓,建坪 88.55,主 + 陽43.02,3房2廳3衛,12樓/14樓,"8,800",2
台北市士林區忠誠路二段,5.1年,大樓,建坪 119.49,主 + 陽57.54,5房2廳2衛1室,4樓/12樓,"13,058",2
台北市士林區天母北路,41.9年,華廈,建坪 57.14,主 + 陽39.62,3房2廳2衛,3樓/7樓,"4,380",1
台北市士林區芝玉路一段,17.3年,大樓,建坪 81.79,主 + 陽42.27,2房2廳2衛2室,15樓/18樓,"6,850",2
台北市士林區通河東街一段,46.2年,公寓,建坪 37.83,主 + 陽36.88,3房2廳2衛,3樓/5樓,"2,395",0
台北市士林區故宮路,50.7年,店面/公寓,建坪 36.32,主建物20.91,2廳1衛1室(含加蓋1廳),1樓/4樓,"2,488",0
台北市士林區中山北路七段,42.3年,公寓,建坪 40.35,主 + 陽37.68,3房2廳2衛,3樓/5樓,"2,688",0
台北市士林區天母東路,41.1年,公寓,建坪 34.64,主 + 陽33.26,3房2廳2衛,2樓/5樓,"2,320",0
台北市士林區忠誠路二段,47.7年,公寓,建坪 27.67,主 + 陽27.68,2房2廳2衛,4樓/5樓,"2,668",0
台北市士林區中山北路七段,51.3年,店面,建坪 37.01,主建物31.35,2衛7室(含加蓋4室),1樓/4樓,"2,460",0
台北市士林區天母北路,44.9年,華廈,建坪 58.8,主 + 陽44.17,5房4廳3衛(含加蓋2房2廳1衛),7樓/7樓,"3,988",1
台北市士林區天玉街,18.4年,華廈,建坪 115.58,主 + 陽46.07,5房2廳3衛1室(含加蓋1房1室),1樓/5樓,"13,800",2
台北市士林區中山北路六段,33.4年,華廈,建坪 14.55,主 + 陽10.1,1房1廳1衛,4樓/5樓,"1,200",0
台北市士林區天母東路,48.0年,華廈,建坪 40.54,主建物25.25,3房2廳2衛,6樓/8樓,"2,645",1
台北市士林區中山北路七段,46.3年,華廈,建坪 42.73,主 + 陽36.26,4房3廳3衛1室(含加蓋1房1廳1衛1室),7樓/7樓,"2,980",0
台北市士林區美崙街,56.3年,公寓/辦公,建坪 22.91,主建物22.91,3房2廳1衛(含加蓋1房),2樓/3樓,"2,180",0
台北市士林區天母西路,44.1年,華廈/辦公,建坪 50.75,主 + 陽40.64,3房2廳2衛2室(含加蓋1室),2樓/7樓,"3,680",0
台北市士林區忠誠路二段,45.0年,公寓,建坪 27.89,主 + 陽24.33,3房2廳2衛,5樓/5樓,"2,098",0
台北市士林區克強路,41.5年,公寓,建坪 80.26,主 + 陽77.19,5房3廳3衛1室,2樓/5樓,"4,500",0
台北市士林區中山北路七段,34.8年,華廈,建坪 65.63,主 + 陽45.21,4房2廳2衛,4樓/7樓,"3,980",1
台北市士林區中山北路六段,42.4年,公寓,建坪 39.05,主 + 陽37.42,3房2廳2衛,4樓/5樓,"2,538",0
台北市士林區重慶北路四段,8.9年,大樓/辦公,建坪 31.81,主 + 陽15.69,2房2廳1衛(含加蓋1房),12樓/14樓,"2,888",1
台北市士林區後街,43.9年,公寓,建坪 33.5,主 + 陽29.36,3房3衛,3樓/5樓,"1,780",0
台北市士林區中山北路七段,46.9年,華廈,建坪 45.93,主 + 陽40.43,4房2廳2衛1室(含加蓋1室),6樓/7樓,"2,988",0
台北市士林區忠誠路二段,41.1年,公寓,建坪 31.23,主 + 陽28.71,3房2廳2衛,4樓/5樓,"2,300",0
台北市士林區忠誠路二段,47.7年,公寓,建坪 39.1,主 + 陽39.09,4房2廳2衛,5樓/5樓,"2,980",0
台北市士林區菁山路,15.9年,華廈,建坪 41.75,主 + 陽16.49,1房1廳1衛,3樓/5樓,"2,368",1
台北市士林區社子街,55.8年,公寓,建坪 21.18,主建物21.18,1廳1衛,1樓/4樓,"1,398",0
台北市士林區至誠路一段,7.7年,大樓,建坪 153.32,主 + 陽71.58,1廳,10樓/14樓,"13,380",3
台北市士林區中山北路六段,31.1年,華廈,建坪 66.12,主建物27.39,3房2廳2衛,1樓/7樓,"3,888",3
台北市士林區後街,30.2年,華廈,建坪 22.36,主 + 陽14.21,1房2廳1衛,2樓/7樓,"1,998",0
台北市士林區中山北路七段,47.8年,公寓,建坪 54.84,主 + 陽54.84,4房2廳2衛1室,5樓/5樓,"3,980",0
台北市士林區中山北路五段,1.9年,大樓,建坪 78.69,主 + 陽40.24,3房2廳2衛,5樓/17樓,"6,818",1
台北市士林區德行東路,38.4年,華廈,建坪 58,主 + 陽52.34,3房2廳2衛2室,2樓/5樓,"4,380",0
台北市士林區菁山路,16.8年,華廈,建坪 74.09,主 + 陽43.72,3房2廳2衛,3樓/5樓,"3,896",1
台北市士林區中山北路七段,1.2年,大樓,建坪 60.92,主 + 陽33.09,2房2廳2衛,5樓/12樓,"5,800",1
台北市士林區中山北路五段,1.5年,大樓,建坪 66.9,主 + 陽34.39,3廳2衛,2樓/18樓,"6,180",1
台北市士林區雙溪街,41.9年,華廈,建坪 119.37,主 + 陽98.13,6房2廳5衛1室(含加蓋1衛),7樓/7樓,"7,280",1
台北市士林區天玉街,23.5年,大樓,建坪 151.44,主 + 陽78.85,1廳,7樓/19樓,"14,500",2
台北市士林區基河路,10.3年,大樓,建坪 132.17,主 + 陽65.88,1廳,16樓/21樓,"13,500",3
台北市士林區美崙街,44.8年,店面/辦公,建坪 41.46,主建物31.47,1廳0.5衛(含加蓋0.5衛),1樓/7樓,"3,980",0
