路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區思源街,25.4年,大樓,建坪 51.42,主 + 陽29.61,3房2廳2衛,3樓/12樓,"5,000",1
台北市中正區汀州路一段,9.6年,店面,建坪 16.24,主建物7.51,1廳1衛,1樓/9樓,"1,768",1
台北市中正區汀州路二段,17.9年,華廈,建坪 38.09,主 + 陽24.36,2房2廳2衛,4樓/10樓,"4,180",1
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 30,主 + 陽20.56,1房1廳1衛1室,7樓/15樓,"3,780",0
台北市中正區牯嶺街,5.7年,大樓,建坪 72.81,主 + 陽40.3,4房2廳2.5衛,2樓/14樓,"7,258",1
台北市中正區南昌路一段,33.8年,大樓,建坪 39.95,主 + 陽34.35,3房2廳2衛,10樓/12樓,"4,600",0
台北市中正區水源路,33.6年,辦公/大樓,建坪 139.11,主 + 陽103.51,2廳2衛6室(含加蓋1室),3樓/16樓,"15,800",2
台北市中正區水源路,6.9年,大樓,建坪 46.3,主 + 陽23.64,3房2廳2衛,4樓/15樓,"4,576",1
台北市中正區忠孝東路一段,6.6年,大樓,建坪 17.16,主 + 陽10.59,1房1廳1衛,6樓/13樓,"2,588",0
台北市中正區和平西路一段,47.4年,大樓/套房,建坪 8.63,主建物6.71,1廳1衛,7樓/12樓,"1,280",0
台北市中正區中華路二段,41.1年,華廈,建坪 52.33,主 + 陽43.99,5房2廳3衛,7樓/7樓,"3,588",0
台北市中正區水源路,6.9年,大樓,建坪 41.36,主 + 陽21.18,3房2廳2衛,2樓/15樓,"4,180",1
台北市中正區延平南路,8.1年,辦公/大樓,建坪 28.06,主 + 陽12.46,1房1廳1衛1室,11樓/15樓,"2,988",1
台北市中正區仁愛路一段,11.6年,華廈,建坪 69.89,主 + 陽31.54,5房2廳2衛(含加蓋1房),6樓/9樓,"8,899",1
台北市中正區和平西路一段,14.7年,大樓,建坪 101.29,主 + 陽46.31,3房2廳2衛1室,12樓/18樓,"8,988",2
台北市中正區杭州南路一段,9.9年,華廈,建坪 19.45,主 + 陽12.32,2房2廳1衛,5樓/7樓,"3,228",0
台北市中正區同安街,59.7年,其它,建坪 21.81,主建物21.81,3房2廳1衛,2樓/3樓,"2,168",0
台北市中正區林森南路,25.4年,套房,建坪 13.17,主 + 陽8.55,1廳1衛,7樓/12樓,"2,498",0
台北市中正區中華路二段,43.1年,華廈,建坪 71.95,主 + 陽58.71,5房3廳3衛3室(含加蓋1房1廳1衛3室),7樓/7樓,"4,980",0
台北市中正區廈門街,15.5年,大樓,建坪 32.16,主 + 陽18.8,3房2廳1衛,7樓/14樓,"2,888",1
台北市中正區廈門街,預售,大樓,建坪 35.77,主+附 23.07,3房2廳2衛,14樓/15樓,"4,178",0
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 27.54,主 + 陽18.89,1廳1衛,7樓/15樓,"3,380",0
台北市中正區信義路二段,44.8年,大樓/辦公,建坪 22.38,主 + 陽18.98,1房2廳1衛,12樓/12樓,"2,868",0
台北市中正區仁愛路二段,18.2年,大樓,建坪 97.03,主 + 陽50.86,4房2廳3衛2室,13-14樓/15樓,"12,368",1
台北市中正區新生南路一段,39.7年,大樓,建坪 39.47,主 + 陽32.45,4房2廳2衛,9樓/12樓,"3,780",0
台北市中正區仁愛路二段,49.3年,大樓,建坪 47.92,主 + 陽39.9,3房2廳2衛3室,10樓/12樓,"6,500",0
台北市中正區連雲街,1.9年,大樓,建坪 63.28,主 + 陽33.51,3房2廳2衛,10樓/13樓,"9,980",1
台北市中正區汀州路三段,27.2年,大樓,建坪 13.52,主 + 陽9.75,1房2廳1衛(含加蓋1房),4樓/13樓,"1,486",0
台北市中正區同安街,29.1年,華廈,建坪 48.99,主 + 陽35.93,4房2廳2衛1室(含加蓋1房1室),1樓/7樓,"5,988",1
台北市中正區廈門街,28.5年,華廈,建坪 14.56,主 + 陽10.28,1房1廳1衛,9樓/10樓,"1,320",0
台北市中正區羅斯福路二段,36.7年,辦公/大樓,建坪 23.74,主 + 陽19.1,1房2廳1衛,8樓/12樓,"2,850",0
台北市中正區臨沂街,8.1年,華廈,建坪 32.65,主 + 陽17.25,3房2廳2衛,4樓/5樓,"5,400",1
台北市中正區和平西路二段,39.8年,華廈,建坪 52.28,主 + 陽49.24,5房2廳2衛,2樓/7樓,"3,988",0
台北市中正區杭州南路一段,40.6年,華廈,建坪 48.75,主 + 陽45.9,4房2廳2衛,6樓/7樓,"6,780",0
台北市中正區忠孝東路二段,0.5年,大樓,建坪 22.7,主 + 陽13.77,2房2廳1衛,6樓/21樓,"3,500",0
台北市中正區襄陽路,15.9年,辦公/大樓,建坪 23.67,主 + 陽13.28,1廳1衛1室,7樓/15樓,"2,600",1
台北市中正區南昌路二段,20.8年,大樓,建坪 10.72,主 + 陽7.38,1房1廳1衛,7樓/11樓,"1,680",0
