路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市文山區久康街,14.6年,華廈,建坪 25.74,主 + 陽11.17,2房1廳1衛1室(含加蓋1房1衛1室),1樓/6樓,"2,880",2
台北市文山區政大二街,16.4年,華廈,建坪 75.94,主 + 陽42.84,4房2廳2衛(含加蓋1房),3樓/4樓,"3,880",1
台北市文山區試院路,31.0年,華廈,建坪 17,主建物5.75,1房2廳1衛1室,B1-1樓/7樓,988,0
台北市文山區萬和街,28.9年,辦公/套房/大樓,建坪 772.71,主建物561.38,45房1廳45衛11室,12樓/12樓,"36,000",0
台北市文山區興隆路四段,49.0年,公寓,建坪 23.44,主 + 陽23.44,3房2廳1衛,2樓/4樓,"1,298",0
台北市文山區仙岩路,32.2年,華廈,建坪 6.35,主建物3.81,1房1衛,6樓/8樓,680,0
台北市文山區羅斯福路五段,14.3年,辦公,建坪 161.76,主 + 陽111.94,1廳1室,2樓/9樓,"13,888",0
台北市文山區興隆路三段,32.5年,套房,建坪 10.44,主建物7.12,1房1衛,3樓/10樓,828,0
台北市文山區政大二街,22.8年,華廈,建坪 42.24,主 + 陽25.73,3房2廳1.5衛,1樓/9樓,"2,400",1
台北市文山區政大二街,15.6年,華廈,建坪 16.91,主 + 陽10.28,1房1廳1衛,3樓/5樓,"1,398",0
台北市文山區溪口街,42.6年,公寓,建坪 32.09,主 + 陽31.21,3房2廳2衛,4樓/5樓,"1,888",0
台北市文山區萬盛街,49.1年,公寓,建坪 23.2,主 + 陽23.2,3房2廳1衛,2樓/4樓,"1,799",0
台北市文山區景興路,30.2年,套房,建坪 13.65,主 + 陽6.7,1房1衛,19樓/24樓,928,0
台北市文山區木新路三段,10.1年,大樓,建坪 49.69,主 + 陽23.4,3房2廳2衛,9樓/12樓,"2,980",1
台北市文山區木柵路三段,43.4年,公寓,建坪 21.93,主 + 陽20.65,3房2廳1衛,3樓/5樓,"1,380",0
台北市文山區羅斯福路六段,29.2年,公寓,建坪 32.31,主 + 陽20.48,3房2廳2衛,5樓/5樓,"1,950",0
台北市文山區景興路,30.2年,套房,建坪 13.71,主 + 陽6.76,1房1衛,16樓/24樓,928,0
台北市文山區木柵路三段,36.6年,華廈,建坪 51.38,主 + 陽39.75,3房2廳2衛,2樓/6樓,"3,398",1
台北市文山區景華街,46.6年,公寓,建坪 27.61,主 + 陽27.61,3房2廳1衛,5樓/5樓,"1,598",0
台北市文山區辛亥路五段,43.1年,店面/辦公,建坪 23.94,主 + 陽17.44,1廳1衛1室,2樓/6樓,"1,630",0
台北市文山區萬盛街,38.7年,公寓,建坪 33.08,主 + 陽29.63,3房2廳2衛,3樓/5樓,"2,250",0
台北市文山區興隆路三段,41.5年,公寓,建坪 27.85,主 + 陽27.5,2房2廳1衛,5樓/5樓,"1,618",0
台北市文山區景華街,46.6年,公寓,建坪 28.71,主建物24.21,3房2廳2衛(含加蓋1衛),1樓/5樓,"2,988",0
台北市文山區試院路,31.8年,華廈,建坪 21.85,主 + 陽14.73,2房2廳1衛,5樓/7樓,"1,680",1
台北市文山區木柵路一段,11.5年,華廈,建坪 38.89,主 + 陽20.63,2房2廳2衛,5樓/7樓,"2,643",1
台北市文山區興隆路一段,49.1年,華廈,建坪 32.46,主 + 陽32.46,3房2廳2衛,6樓/7樓,"2,480",0
台北市文山區景福街,57.8年,公寓,建坪 24.82,主 + 陽24.82,4房2廳1.5衛,2樓/4樓,"1,858",0
台北市文山區仙岩路,46.8年,公寓,建坪 35.2,主 + 陽35.2,3房2廳1.5衛,5樓/5樓,"2,088",0
台北市文山區景中街,35.4年,華廈,建坪 38.12,主 + 陽29.98,3房2廳2衛,5樓/8樓,"2,488",0
台北市文山區景興路,43.6年,公寓,建坪 31.09,主建物26.86,3房2廳1衛(含加蓋1衛),1樓/5樓,"2,230",0
台北市文山區新光路一段,37.7年,公寓,建坪 45.66,主 + 陽42.03,3房2廳2衛1室,4樓/5樓,"2,268",0
台北市文山區興隆路三段,44.3年,公寓,建坪 30.64,主建物8.19,4房2廳1衛,-2樓/4樓,"1,188",0
台北市文山區福興路,42.5年,公寓,建坪 23.13,主建物20.26,2房2廳2衛,1樓/5樓,"1,680",0
台北市文山區和興路,29.7年,華廈,建坪 28.2,主 + 陽20.82,3房2廳1.5衛,7樓/7樓,"1,980",0
台北市文山區景華街,54.6年,公寓,建坪 27.37,主 + 陽27.37,5房1廳2衛1室(含加蓋1房1衛1室),4樓/4樓,"1,760",0
台北市文山區萬盛街,50.2年,公寓,建坪 37.61,主 + 陽37.61,3房2廳2衛,3樓/4樓,"2,088",0
台北市文山區景後街,10.6年,大樓,建坪 73.21,主 + 陽36.8,3房2廳2衛,11樓/15樓,"5,758",1
台北市文山區木新路三段,12.5年,大樓,建坪 94.64,主 + 陽42.7,3房2廳2衛1室,4樓/15樓,"5,788",2
台北市文山區羅斯福路五段,45.4年,公寓,建坪 35.61,主 + 陽35.61,3房2廳2衛,3樓/5樓,"2,500",0
台北市文山區萬壽路,30.2年,大樓,建坪 53.62,主 + 陽29.87,2房2廳2衛,4樓/15樓,"2,688",1
台北市文山區景華街,46.1年,公寓,建坪 26.61,主建物19.21,5房3廳2衛(含加蓋2房1廳),1樓/5樓,"2,098",0
台北市文山區木新路三段,36.3年,華廈/辦公,建坪 47.31,主 + 陽42.54,2房2廳1衛1室,3樓/7樓,"3,480",0
台北市文山區福興路,16.3年,大樓,建坪 46.47,主 + 陽24.07,3房2廳2衛,7樓/12樓,"2,898",1
台北市文山區政大一街,13.4年,華廈,建坪 110.84,主 + 陽65.44,4房2廳3衛3室,4樓/5樓,"6,680",2
台北市文山區政大一街,14.9年,大樓,建坪 82.91,主 + 陽40.76,2房2廳2衛3室,7樓/11樓,"5,488",2
台北市文山區木新路三段,14.6年,大樓,建坪 83.45,主 + 陽40.97,3房2廳2衛,4樓/13樓,"5,688",2
台北市文山區政大二街,15.6年,華廈,建坪 47.43,主 + 陽23.23,2房2廳2衛1室,3樓/5樓,"2,680",1
台北市文山區和興路,29.2年,大樓,建坪 32.95,主 + 陽18.75,2房2廳1衛(含加蓋1廳),3樓/13樓,"2,200",0
台北市文山區仙岩路,45.7年,公寓,建坪 36.81,主 + 陽36.81,3房2廳2衛,5樓/5樓,"2,068",0
台北市文山區木柵路一段,44.2年,公寓,建坪 26.02,主 + 陽24.16,2房2廳1衛,5樓/5樓,"1,700",0
台北市文山區興隆路四段,41.7年,華廈,建坪 32.21,主 + 陽27.82,3房2廳2衛,2樓/7樓,"1,680",0
台北市文山區仙岩路,14.2年,店面,建坪 14.99,主 + 陽10,1廳1衛,1樓/7樓,"1,798",0
台北市文山區興隆路四段,48.1年,公寓,建坪 22.64,主建物20.17,3房2廳1衛(含加蓋1衛),1樓/5樓,"1,780",0
台北市文山區溪口街,44.2年,公寓,建坪 26.4,主 + 陽26.4,3房2廳1.5衛,5樓/5樓,"1,550",0
台北市文山區辛亥路四段,22.5年,大樓,建坪 13.31,主 + 陽9.25,1房1廳1衛,2樓/14樓,968,0
台北市文山區辛亥路五段,46.9年,公寓/辦公,建坪 30,主 + 陽30,3房2廳1衛,3樓/5樓,"1,950",0
台北市文山區仙岩路,30.9年,大樓,建坪 31.29,主 + 陽22.4,3房2廳2衛,10樓/18樓,"2,500",0
台北市文山區辛亥路五段,43.5年,公寓,建坪 30.63,主 + 陽30.63,5房4廳2衛(含加蓋2房2廳1衛),5樓/5樓,"1,580",0
台北市文山區萬盛街,9.6年,華廈,建坪 74.65,主建物19.34,5房3廳4衛1室(含加蓋2房1衛1室),8樓/8樓,"5,560",2
台北市文山區下崙路,31.2年,辦公,建坪 14.16,主建物8.91,2房1廳1衛,-2樓/6樓,520,0
台北市文山區試院路,31.0年,華廈,建坪 37.46,主建物11.49,6房2衛,B1-1樓/7樓,"1,650",0
台北市文山區指南路三段,15.6年,大樓,建坪 51.67,主 + 陽25.47,2房2廳2衛,13樓/13樓,"2,988",1
台北市文山區秀明路一段,48.3年,公寓,建坪 33.8,主 + 陽33.8,6房4廳2.5衛2室(含加蓋3房2廳1衛2室),4樓/4樓,"1,980",0
台北市文山區景興路,29.6年,華廈,建坪 79.62,主建物23.46,4房3廳3衛(含加蓋2房),1樓/8樓,"3,880",1
台北市文山區興隆路二段,31.2年,大樓/辦公,建坪 93.71,主 + 陽47.26,2房2廳1衛(含加蓋1衛),15樓/15樓,"5,888",2
台北市文山區興隆路一段,48.6年,公寓,建坪 43.6,主 + 陽43.6,3房2廳2衛,3樓/5樓,"2,850",0
台北市文山區羅斯福路六段,57.8年,公寓,建坪 29.86,主建物29.86,7房7衛(含加蓋2房1衛),1樓/4樓,"2,580",0
台北市文山區興隆路四段,29.4年,華廈,建坪 31.93,主 + 陽16.59,2房2廳2衛,8樓/8樓,"1,868",1
台北市文山區興隆路二段,26.0年,華廈,建坪 40.84,主 + 陽27.32,2房2廳2衛,4樓/7樓,"2,698",1
台北市文山區興隆路四段,44.2年,公寓,建坪 39.06,主 + 陽39.06,3房2廳2衛,2樓/5樓,"1,980",0
台北市文山區萬和街,28.9年,辦公/大樓,建坪 79.33,主建物57.54,1廳,12樓/12樓,"3,697",0
台北市文山區興隆路二段,28.3年,華廈,建坪 37.79,主 + 陽15.87,4房2廳2衛(含加蓋2房1衛),2樓/6樓,"2,488",1
台北市文山區富山路,17.3年,華廈,建坪 37.23,主 + 陽20.55,2房2廳2衛,5樓/7樓,"2,680",1
台北市文山區景興路,43.8年,華廈,建坪 31.4,主 + 陽27.92,2房2廳1衛(含加蓋1房),7樓/7樓,"2,298",0
台北市文山區興隆路三段,41.5年,公寓,建坪 31.34,主 + 陽28.09,3房2廳1.5衛,4樓/5樓,"1,488",0
台北市文山區和平東路四段,25.2年,大樓,建坪 44.55,主 + 陽32.6,4房2廳2衛,11樓/14樓,"3,500",0
台北市文山區興隆路二段,43.4年,公寓,建坪 36.54,主 + 陽36.54,4房3廳3衛1室(含加蓋1房1廳1衛1室),5樓/5樓,"2,150",0
台北市文山區景興路,6.2年,大樓,建坪 36.41,主 + 陽13.9,2房1廳1衛,14樓/27樓,"2,888",2
台北市文山區興隆路二段,50.8年,公寓,建坪 27.51,主建物23.12,3房2廳2衛,1樓/4樓,"3,280",0
台北市文山區景華街,44.5年,公寓,建坪 43.31,主 + 陽36.74,3房2廳2衛,3樓/5樓,"2,880",0
台北市文山區興隆路二段,43.4年,公寓,建坪 26.28,主 + 陽22.3,5房3廳2衛(含加蓋2房1廳1衛),5樓/5樓,"1,800",0
台北市文山區忠順街二段,6.1年,大樓,建坪 54.33,主 + 陽26.89,3房2廳2衛,14樓/14樓,"4,938",1
台北市文山區木新路三段,50.6年,公寓,建坪 29.55,主 + 陽29.54,3房2廳1衛,2樓/4樓,"1,650",0
台北市文山區木新路三段,45.6年,公寓/辦公,建坪 28.14,主 + 陽28.14,2房1廳1衛,2樓/5樓,"1,680",0
台北市文山區永安街,50.4年,店面/公寓,建坪 27.4,主建物20.08,2房1廳1衛(含加蓋1房),1樓/4樓,"1,988",0
台北市文山區羅斯福路五段,46.2年,公寓,建坪 33.38,主 + 陽33.38,3房2廳2衛,3樓/4樓,"1,880",0
台北市文山區溪口街,30.5年,華廈,建坪 32.17,主 + 陽27.83,3房2廳2衛,4樓/6樓,"2,980",0
台北市文山區汀州路四段,34.1年,華廈/辦公,建坪 172.35,主建物37.22,11房6廳6衛,B2-1樓/6樓,"8,200",0
台北市文山區木柵路二段,28.4年,辦公/店面/大樓,建坪 307.35,主建物30.45,1廳4衛,2樓/13樓,"20,000",4
台北市文山區政大二街,30.2年,透天,建坪 79.88,主 + 陽53.42,4房3廳3.5衛1室,1-3樓/3樓,"4,800",1
台北市文山區興德路,47.6年,公寓,建坪 26,主 + 陽26,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,788",0
台北市文山區忠順街一段,46.5年,公寓,建坪 30.75,主建物27.21,3房2廳1.5衛,1樓/5樓,"2,688",0
台北市文山區羅斯福路五段,48.2年,公寓,建坪 36.78,主 + 陽36.78,5房2廳2衛(含加蓋1房),5樓/5樓,"1,997",0
台北市文山區興隆路三段,31.6年,華廈,建坪 10.8,主建物6.27,1房2廳1衛1室(含加蓋1廳1室),2樓/5樓,880,0
台北市文山區景華街,44.2年,公寓,建坪 30.84,主 + 陽24.06,2房2廳1衛,4樓/5樓,"1,758",0
台北市文山區辛亥路四段,40.8年,公寓,建坪 33.94,主 + 陽26.37,5房2廳3衛(含加蓋1房1衛),5樓/5樓,"1,680",0
台北市文山區景興路,43.6年,公寓,建坪 22.55,主 + 陽20,5房2廳2衛(含加蓋3房1衛),5樓/5樓,"1,790",0
台北市文山區木柵路一段,58.0年,別墅/透天,建坪 20.47,主建物20.47,3房4廳2衛(含加蓋2廳1衛),1-1樓/1樓,"2,238",0
台北市文山區興隆路一段,15.6年,店面,建坪 65.94,主 + 陽23.61,1房2廳1衛(含加蓋1房),1樓/9樓,"5,288",0
台北市文山區恆光街,35.5年,華廈,建坪 57.89,主 + 陽38.24,4房2廳2衛,3樓/8樓,"3,768",1
台北市文山區萬隆街,47.8年,華廈,建坪 31.05,主 + 陽26.75,3房2廳2衛,7樓/7樓,"2,498",0
台北市文山區福興路,32.6年,別墅/透天,建坪 51.8,主 + 陽19.34,4房2廳4衛3室(含加蓋1房2衛1室),B1-2樓/2樓,"3,678",0
台北市文山區木柵路一段,49.1年,公寓,建坪 22.28,主 + 陽22.27,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,998",0
台北市文山區萬芳路,21.1年,大樓,建坪 39.16,主 + 陽17.12,2房2廳1衛2室(含加蓋1房),10樓/12樓,"2,588",1
台北市文山區興隆路二段,34.7年,華廈/辦公,建坪 63.62,主建物21.72,4房4廳2衛,B1-1樓/6樓,"3,900",0
台北市文山區興隆路二段,28.3年,華廈,建坪 19.8,主 + 陽8.46,2房1廳1衛1室(含加蓋1房1室),4樓/6樓,"1,498",1
台北市文山區景興路,34.2年,店面,建坪 37.73,主建物23.21,1房1廳1衛,1樓/13樓,"4,680",0
台北市文山區木新路三段,11.4年,大樓,建坪 127.12,主 + 陽55.87,2廳2衛,4樓/14樓,"8,580",3
