路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市內湖區成功路二段,10.7年,店面,建坪 61.44,主建物27.25,1廳1衛,1樓/14樓,"8,300",2
台北市內湖區大湖山莊街,29.6年,華廈,建坪 44.85,主 + 陽22.86,4房2廳2衛1室(含加蓋3房1衛),4樓/4樓,"3,888",2
台北市內湖區內湖路一段,35.7年,公寓,建坪 70.71,主 + 陽53.74,5房2廳3衛1室(含加蓋1房),4-5樓/5樓,"3,988",1
台北市內湖區洲子街,26.7年,店面/辦公,建坪 235.13,主 + 陽121.2,5廳8室(含加蓋2廳7室),1樓/10樓,"29,800",5
台北市內湖區東湖路,40.8年,公寓,建坪 33.75,主 + 陽30.84,7房3廳3衛(含加蓋4房1廳1衛),5樓/5樓,"1,998",0
台北市內湖區內湖路一段,45.0年,公寓/店面,建坪 42.81,主建物22.64,3房2廳2.5衛,1樓/5樓,"4,799",0
台北市內湖區民權東路六段,20.4年,辦公,建坪 30.38,主 + 陽19.13,3房1廳1衛(含加蓋2房),2樓/10樓,"2,650",0
台北市內湖區金湖路,20.0年,華廈,建坪 55.27,主 + 陽28.53,3房2廳2衛,5樓/10樓,"4,588",1
台北市內湖區文湖街,18.1年,華廈,建坪 23.27,主 + 陽10.3,3房2廳1衛(含加蓋1房),2樓/8樓,"1,680",1
台北市內湖區大湖街,31.0年,公寓,建坪 34.84,主建物19.5,3房2廳1衛,1樓/3樓,"2,980",1
台北市內湖區民權東路六段,16.8年,華廈,建坪 28.6,主 + 陽15.86,3房2廳1衛1室(含加蓋1房1室),4樓/5樓,"2,480",1
台北市內湖區民權東路六段,27.6年,透天,建坪 87.05,主 + 陽79.31,6房4廳4衛2室(含加蓋2廳2室),1-4樓/4樓,"7,288",0
台北市內湖區新明路,25.1年,大樓,建坪 38.9,主 + 陽19.87,3房2廳1衛2室(含加蓋1房1室),1樓/14樓,"2,888",1
台北市內湖區內湖路一段,37.3年,公寓,建坪 38.38,主建物21.51,4房2廳2衛1室(含加蓋1房1室),B1-1樓/5樓,"3,498",0
