路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市北投區石牌路二段,12.4年,大樓,建坪 94.88,主 + 陽39.62,2房2廳2衛,6樓/11樓,"6,388",2
台北市北投區文化三路,40.0年,華廈,建坪 49.16,主 + 陽35.64,4房2廳2衛,4樓/7樓,"2,600",0
台北市北投區北科路,0.4年,華廈/辦公,建坪 38.8,主 + 陽16.49,2房2廳1衛,5樓/9樓,"3,750",1
台北市北投區福美路,8.3年,大樓,建坪 57.46,主 + 陽33.94,3房2廳2衛,10樓/13樓,"4,088",1
台北市北投區石牌路一段,48.5年,公寓,建坪 37.6,主 + 陽37.6,3房2廳1衛,3樓/4樓,"2,750",0
台北市北投區光明路,21.0年,大樓,建坪 20.34,主 + 陽8.91,1房1廳1衛,4樓/14樓,"1,180",1
台北市北投區致遠一路二段,47.4年,公寓,建坪 36.49,主 + 陽31.51,5房3廳3衛(含加蓋1房1廳1衛),5樓/5樓,"2,298",0
台北市北投區文林北路,0.4年,大樓,建坪 25.85,主 + 陽16.99,2房2廳2衛,5樓/14樓,"3,594",0
台北市北投區雙全街,18.8年,大樓,建坪 55.69,主 + 陽31.75,3房2廳2衛,10樓/13樓,"4,588",1
台北市北投區溫泉路,50.7年,公寓,建坪 38.4,主 + 陽38.4,3房2廳2衛,4樓/4樓,"1,420",0
台北市北投區知行路,47.2年,店面/辦公,建坪 31.43,主建物27.23,2廳1衛1室(含加蓋1室),1樓/5樓,"2,980",0
台北市北投區溫泉路,50.5年,公寓,建坪 28.31,主 + 陽28.31,2房2廳1衛,3樓/4樓,"1,030",0
台北市北投區承德路七段,52.3年,公寓,建坪 27.04,主 + 陽27.04,4房2廳1衛,4樓/4樓,"1,575",0
台北市北投區新民路,12.8年,套房/華廈,建坪 22.26,主 + 陽12.78,1房1廳1衛,3樓/5樓,"1,500",1
台北市北投區公館路,0.4年,大樓/辦公,建坪 36.45,主 + 陽20.59,2房2廳2衛,3樓/11樓,"3,080",1
台北市北投區泉源路,48.2年,華廈/套房,建坪 15.56,主 + 陽13.46,1房1廳1衛1室,7樓/7樓,860,0
台北市北投區中央北路三段,43.9年,公寓,建坪 34.4,主建物31.43,4房2廳1衛1室,1樓/5樓,"2,280",0
台北市北投區行義路,43.2年,華廈,建坪 57.37,主 + 陽53.94,6房2廳2衛,7樓/7樓,"3,560",0
台北市北投區中山北路七段,41.4年,華廈,建坪 28.14,主 + 陽25.83,2房2廳2衛,2樓/7樓,"1,788",0
台北市北投區幽雅路,17.1年,大樓,建坪 17.68,主建物10.3,1房1廳1衛,5樓/13樓,"1,080",0
台北市北投區復興四路,49.5年,華廈,建坪 21.28,主 + 陽19.12,2房2廳2衛(含加蓋1廳),2樓/6樓,"1,450",0
台北市北投區公館路,0.4年,大樓/其它,建坪 36.45,主 + 陽20.59,3房2廳1衛,6樓/11樓,"2,988",1
台北市北投區幽雅路,17.1年,大樓,建坪 36.48,主 + 陽22.34,1房2廳2衛1室,12樓/13樓,"2,230",0
台北市北投區大同街,1.7年,大樓,建坪 49.06,主 + 陽23.63,3房2廳2衛,9樓/18樓,"4,698",1
台北市北投區致遠一路一段,50.4年,公寓,建坪 31.31,主 + 陽31.31,4房3廳2衛(含加蓋1房1廳1衛),4樓/4樓,"2,300",0
台北市北投區中山北路七段,41.4年,華廈,建坪 34.17,主 + 陽31.99,3房2廳2衛,2樓/7樓,"1,998",0
台北市北投區中和街,26.0年,大樓,建坪 17.23,主 + 陽12.41,1房1廳1衛,7樓/17樓,"1,533",0
