路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市松山區富錦街,53.8年,店面/公寓,建坪 24.68,主建物24.68,1廳1衛1室,1樓/4樓,"4,980",0
台北市松山區光復南路,31.6年,辦公/大樓,建坪 98.96,主 + 陽77.96,1廳1衛4室,6樓/12樓,"7,055",2
台北市松山區光復北路,46.4年,店面,建坪 35.3,主建物30.71,3房3廳2衛(含加蓋1廳1衛),1樓/7樓,"5,000",0
台北市松山區南京東路四段,63.1年,店面,建坪 29.2,主建物29.2,2廳1衛1室(含加蓋1廳1室),1樓/4樓,"11,200",0
台北市松山區敦化北路,47.2年,店面,建坪 35.85,主建物31.31,2廳1衛2室(含加蓋2室),1樓/5樓,"6,788",0
台北市松山區饒河街,10.9年,店面,建坪 17.83,主建物10.68,1廳1衛,1樓/15樓,"5,980",0
台北市松山區復興南路一段,預售,大樓,建坪 33.55,主+附 15.09,2房2廳2衛,19樓/21樓,"4,688",1
台北市松山區民生東路五段,56.3年,店面,建坪 36.16,主建物36.16,1廳1衛,1樓/4樓,"10,880",0
台北市松山區民生東路三段,45.2年,店面/辦公,建坪 69.39,主建物54.06,10房2廳2衛1室,1樓/7樓,"7,950",0
台北市松山區八德路四段,12.2年,大樓/套房,建坪 12.56,主 + 陽8.04,1房1廳1衛,10樓/13樓,"1,850",0
台北市松山區富錦街,56.6年,店面,建坪 32.39,主建物32.39,1房3廳1衛(含加蓋1廳),1樓/4樓,"6,600",0
台北市松山區南京東路四段,15.5年,大樓,建坪 94.32,主 + 陽55.69,2房1廳2衛1室,8樓/15樓,"9,950",1
台北市松山區南京東路五段,33.8年,辦公/大樓,建坪 186.47,主 + 陽106.93,3房1廳,6樓/15樓,"15,000",6
台北市松山區八德路四段,3.0年,大樓,建坪 16.2,主 + 陽10.34,1房1廳1衛,7樓/12樓,"2,480",0
台北市松山區長春路,38.5年,大樓,建坪 204.23,主 + 陽115.91,8房5廳7衛,6樓/14樓,"13,300",3
台北市松山區三民路,43.7年,華廈/辦公,建坪 27.13,主建物23.93,1房2廳1衛,1樓/7樓,"2,680",0
台北市松山區市民大道五段,18.1年,華廈,建坪 9.57,主建物5.44,1房1廳1衛(含加蓋1房),6樓/9樓,"1,380",0
台北市松山區八德路四段,12.2年,大樓,建坪 12.89,主 + 陽8.25,1房1廳1衛,9樓/13樓,"1,890",0
台北市松山區八德路二段,19.6年,大樓,建坪 11.8,主 + 陽8.2,1房1廳1衛(含加蓋1房),7樓/13樓,"2,900",0
台北市松山區光復北路,47.9年,華廈,建坪 102.63,主建物29.02,3房3廳2衛,B1-1樓/7樓,"6,850",0
台北市松山區市民大道四段,48.0年,店面,建坪 57.88,主建物22.3,2廳3衛2室(含加蓋1廳3衛2室),1樓/7樓,"6,166",0
台北市松山區民生東路五段,43.1年,大樓,建坪 15.86,主 + 陽13.38,1房1廳1衛,7樓/15樓,"1,580",0
台北市松山區復興南路一段,44.3年,大樓,建坪 34.8,主 + 陽30.39,4房2廳1衛1室(含加蓋1室),5樓/12樓,"4,350",0
台北市松山區民生東路五段,36.7年,店面/辦公/大樓,建坪 10.72,主建物6.03,1廳,2樓/20樓,800,0
台北市松山區民生東路五段,43.1年,大樓/辦公,建坪 51.42,主 + 陽43.98,4房2廳3衛,15樓/15樓,"5,588",0
台北市松山區敦化北路,7.3年,大樓,建坪 197.06,主 + 陽87.11,2廳1室,22-23樓/23樓,"60,000",4
台北市松山區八德路四段,47.1年,公寓,建坪 23.39,主 + 陽23.38,2房2廳2衛,4樓/5樓,"1,720",0
台北市松山區八德路四段,12.2年,大樓,建坪 14.43,主建物8.44,1廳1衛,4樓/13樓,"2,095",0
台北市松山區南京東路五段,46.1年,辦公/大樓,建坪 40.27,主 + 陽36.58,1房1廳2衛,2樓/13樓,"4,380",0
台北市松山區南京東路五段,46.1年,大樓,建坪 40.19,主 + 陽36.5,3房2廳1衛1室,5樓/13樓,"3,580",0
台北市松山區民生東路三段,44.5年,店面/辦公,建坪 39.6,主建物31.35,2廳2衛,1樓/7樓,"5,680",0
台北市松山區復興北路,40.6年,店面,建坪 69.19,主建物58.66,3房2衛1室,1樓/7樓,"13,800",0
台北市松山區民生東路五段,43.1年,大樓,建坪 38.21,主 + 陽32.31,6房3廳3衛,15樓/15樓,"4,688",0
台北市松山區南京東路四段,39.2年,辦公/大樓,建坪 39.73,主 + 陽32.14,3房2廳2衛,4樓/12樓,"3,500",0
台北市松山區八德路四段,19.3年,大樓,建坪 39.2,主 + 陽22.75,3房2廳1衛1室,2-3樓/13樓,"3,490",1
台北市松山區八德路二段,17.1年,大樓,建坪 28.44,主 + 陽14.79,2房2廳1衛,9樓/14樓,"3,268",1
台北市松山區敦化北路,43.2年,店面/華廈,建坪 67.23,主建物14.71,1廳2衛4室(含加蓋1衛4室),1樓/7樓,"4,500",0
台北市松山區八德路三段,19.9年,大樓,建坪 20.2,主 + 陽13.24,3房2廳2衛1室(含加蓋2房1廳1衛1室),5樓/11樓,"3,999",0
台北市松山區三民路,19.2年,大樓,建坪 67.93,主 + 陽38.93,4房2廳2衛,13樓/14樓,"6,380",1
台北市松山區三民路,34.0年,華廈,建坪 40.27,主 + 陽27.37,3房2廳2衛,2樓/7樓,"3,980",0
台北市松山區民生東路五段,42.2年,店面/辦公/大樓,建坪 17.03,主建物10.02,1廳1衛,2樓/16樓,"1,498",0
台北市松山區光復南路,39.5年,華廈,建坪 47.4,主 + 陽44.52,4房2廳2衛,2樓/6樓,"4,180",0
台北市松山區八德路三段,19.9年,大樓,建坪 9.01,主 + 陽5.9,1房1廳1衛(含加蓋1房),8樓/11樓,"1,718",0
台北市松山區健康路,47.7年,大樓,建坪 45.44,主 + 陽34.53,3房2廳2衛,6樓/13樓,"4,288",1
台北市松山區南京東路三段,48.4年,店面,建坪 94.8,主建物68.94,3廳1衛,1樓/11樓,"39,800",0
台北市松山區延吉街,48.0年,華廈,建坪 50.17,主 + 陽43.3,3房2廳2衛1室,5樓/7樓,"4,800",0
