路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區松江路,11.6年,大樓,建坪 127.08,主 + 陽62.49,4房2廳2.5衛1室,2樓/21樓,"13,888",3
台北市中山區建國北路三段,10.4年,大樓,建坪 29.35,主建物13.33,1房1廳1衛,4樓/14樓,"2,850",1
台北市中山區林森北路,17.2年,大樓,建坪 9.01,主建物5.86,1房1廳1衛(含加蓋1房),9樓/15樓,968,0
台北市中山區明水路,34.4年,華廈,建坪 151.54,主建物47.4,6房3廳6衛,B1-1樓/10樓,"11,000",2
台北市中山區新生北路三段,41.0年,大樓,建坪 20.08,主 + 陽13.81,1房2廳1衛,8樓/12樓,"1,998",0
台北市中山區南京東路三段,14.0年,華廈,建坪 21.67,主 + 陽12.43,1房1廳1衛,6樓/7樓,"2,380",1
台北市中山區北安路,44.2年,公寓,建坪 34.85,主 + 陽34.21,3房2廳2衛,5樓/5樓,"2,700",0
台北市中山區建國北路二段,3.5年,大樓,建坪 72.27,主 + 陽39.81,3房2廳2衛,12樓/15樓,"9,913",1
台北市中山區長春路,16.1年,大樓,建坪 12.7,主 + 陽7.84,1房1廳1衛,8樓/14樓,"1,498",0
台北市中山區林森北路,49.4年,店面,建坪 29.34,主建物0,1廳1衛,-1樓/5樓,"2,500",0
台北市中山區北安路,28.4年,華廈,建坪 71.61,主 + 陽35.02,3房2廳2衛,1樓/9樓,"5,900",1
台北市中山區新生北路一段,37.7年,店面,建坪 91.66,主 + 陽61.59,1廳2衛3室,1樓/15樓,"13,800",0
台北市中山區龍江路,55.9年,公寓,建坪 22.42,主 + 陽22.42,2房2廳1衛,3樓/4樓,"1,900",0
台北市中山區基湖路,16.5年,華廈,建坪 120.68,主 + 陽57.99,3房2廳3衛2室(含加蓋1室),2樓/10樓,"15,000",2
台北市中山區建國北路二段,43.7年,辦公/大樓,建坪 24.22,主 + 陽17.34,2房1廳,8樓/14樓,"2,088",0
台北市中山區德惠街,46.2年,套房,建坪 8.3,主 + 陽6.6,1房1廳1衛,6樓/11樓,725,0
台北市中山區明水路,18.3年,店面,建坪 37.33,主建物10.95,1廳1衛,1樓/15樓,"4,500",4
台北市中山區林森北路,60.1年,公寓,建坪 29.38,主建物29.38,1廳1衛,1樓/4樓,"3,800",0
台北市中山區吉林路,52.0年,公寓,建坪 22.19,主 + 陽22.19,2房2廳1衛,3樓/5樓,"1,898",0
台北市中山區敬業一路,18.5年,辦公,建坪 22.94,主 + 陽9.2,1房1廳1衛,7樓/7樓,"1,798",1
台北市中山區吉林路,55.4年,公寓/店面,建坪 16.39,主建物16.39,3房2廳1衛,1樓/4樓,"2,680",0
台北市中山區明水路,預售,大樓,建坪 59.78,主+附 25.93,1廳,24樓/25樓,"8,888",2
台北市中山區林森北路,18.9年,店面/辦公,建坪 44.96,主 + 陽15.09,2廳1衛,1樓/6樓,"3,688",4
台北市中山區民生東路一段,45.6年,辦公/大樓,建坪 12.97,主 + 陽10.74,1房1廳1衛,6樓/12樓,978,0
台北市中山區建國北路二段,41.4年,大樓/辦公,建坪 42.09,主 + 陽34.49,4房2廳2衛1室,5樓/14樓,"4,188",0
台北市中山區長春路,46.1年,套房,建坪 7.77,主建物5.97,1房1廳1衛,4樓/12樓,680,0
台北市中山區長安東路一段,15.7年,華廈,建坪 73.11,主 + 陽40.76,3房2廳2衛,2樓/7樓,"6,300",1
台北市中山區龍江路,43.5年,店面/公寓,建坪 26.22,主建物22.74,1廳2衛3室,1樓/5樓,"3,388",0
台北市中山區明水路,0.8年,大樓,建坪 62.72,主 + 陽32.97,3房2廳2衛,25樓/25樓,"11,000",1
台北市中山區龍江路,38.7年,華廈,建坪 45.11,主 + 陽27.02,3房2廳2衛,4樓/7樓,"3,630",1
台北市中山區松江路,17.3年,華廈,建坪 29.86,主 + 陽14.36,2房2廳1衛1室(含加蓋1房),3樓/9樓,"3,100",1
台北市中山區天祥路,24.7年,辦公,建坪 37.48,主 + 陽21.04,1廳3室,4樓/10樓,"3,780",1
台北市中山區龍江路,26.0年,華廈,建坪 10.52,主 + 陽6.77,1房1廳1衛,8樓/8樓,"1,588",0
