路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區重陽路,9.9年,大樓,建坪 87.83,主 + 陽37.25,3房2廳2衛,11樓/15樓,"6,680",2
台北市南港區經貿二路,11.3年,大樓,建坪 104.16,主 + 陽59.26,4房2廳3衛,11樓/21樓,"11,600",2
台北市南港區研究院路一段,13.6年,華廈,建坪 42.21,主 + 陽25.72,3房2廳2衛,2樓/10樓,"3,980",1
台北市南港區園區街,14.9年,大樓,建坪 48.58,主 + 陽26.74,3房2廳2衛,1樓/15樓,"5,880",1
台北市南港區經貿二路,12.6年,大樓,建坪 26.63,主 + 陽13.14,2房2廳1衛,5樓/11樓,"2,793",1
台北市南港區玉成街,48.1年,公寓,建坪 29.65,主 + 陽29.65,3房2廳1衛,3樓/4樓,"2,550",0
台北市南港區園區街,22.8年,辦公/大樓,建坪 408.07,主建物205.79,2廳18室,14樓/21樓,"27,298",5
台北市南港區重陽路,41.3年,公寓,建坪 21.64,主 + 陽21.64,3房2廳1衛,3樓/5樓,"1,900",0
台北市南港區研究院路三段,41.4年,公寓,建坪 26.52,主 + 陽22.5,5房3廳2衛(含加蓋2房1廳1衛),5樓/5樓,950,0
台北市南港區經貿二路,15.9年,大樓,建坪 66.71,主 + 陽35.54,4房2廳2衛,4樓/12樓,"6,998",1
台北市南港區重陽路,18.2年,華廈,建坪 51.03,主 + 陽27.84,3房2廳2衛,7樓/9樓,"4,888",1
台北市南港區忠孝東路六段,40.2年,華廈,建坪 40.38,主 + 陽37.28,3房2廳2衛,5樓/7樓,"3,980",0
台北市南港區忠孝東路六段,51.2年,公寓,建坪 36.22,主 + 陽36.22,3房2廳2衛,3樓/4樓,"2,780",0
台北市南港區向陽路,19.6年,大樓,建坪 79.37,主 + 陽45.91,3房2廳2衛1室,8樓/15樓,"6,980",1
台北市南港區重陽路,13.8年,辦公/大樓,建坪 106.91,主 + 陽54.14,2廳1衛4室(含加蓋1衛),7樓/12樓,"5,880",3
台北市南港區向陽路,18.2年,華廈,建坪 49.99,主 + 陽27.9,3房2廳2衛,3樓/8樓,"4,188",1
台北市南港區向陽路,1.3年,大樓,建坪 84.43,主 + 陽44.43,3房2廳2衛,8樓/15樓,"7,680",2
台北市南港區園區街,22.8年,辦公/大樓,建坪 303.75,主建物152.84,1廳9室,3樓/21樓,"20,688",4
台北市南港區中南街,38.0年,公寓,建坪 24.18,主 + 陽22.89,3房2廳1衛,3樓/5樓,"1,980",0
台北市南港區福德街,49.7年,公寓,建坪 25.09,主 + 陽25.09,3房2廳1.5衛,3樓/4樓,"1,980",0
台北市南港區忠孝東路六段,45.2年,公寓,建坪 36.47,主 + 陽36.47,3房2廳2衛,5樓/5樓,"2,735",0
台北市南港區成福路,50.9年,公寓,建坪 37.76,主 + 陽37.76,3房2廳2衛,3樓/4樓,"2,930",0
台北市南港區成福路,50.9年,公寓,建坪 37.76,主 + 陽37.76,3房2廳2衛,4樓/4樓,"2,880",0
台北市南港區重陽路,13.8年,辦公/大樓,建坪 105.73,主 + 陽53.96,1廳1衛,6樓/12樓,"5,588",3
台北市南港區玉成街,40.7年,公寓,建坪 31.55,主 + 陽28.96,4房3廳1衛(含加蓋1房1廳),5樓/5樓,"2,500",0
台北市南港區興中路,13.4年,大樓,建坪 38.88,主 + 陽15.66,1房1廳1衛1室,16樓/25樓,"3,430",1
