物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
松江南京匯泰鴻3房車,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,1.7,45.0,6380,1,3,2,2,3,0,13,13,13,1,0,1,0,0,0,121.536459757,25.0546557921
EZ7市中心全新挑高制震宅,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,1.7,45.0,6380,1,1,1,2,1,0,13,13,13,1,0,1,0,0,0,121.536459757,25.0546557921
行天宮捷運稀有電梯3房華廈,吉林路,1,0,0,0,0,0,0,0,0,0,0,0,40.4,110.0,3688,0,3,2,2,3,0,5,4,4,1,0,0,0,1,0,121.52943573,25.0585975209
AZ1松江南京｜頂客共構宅,南京東路二段,1,0,0,0,0,0,0,0,0,0,0,0,15.5,134.0,2138,1,1,1,1,1,0,18,6,6,1,0,1,0,0,0,121.53217589,25.0518451344
CZ9匯泰鴻全新景觀兩房車,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,1.7,151.0,3600,1,2,2,1,2,0,13,11,11,1,0,1,0,0,0,121.536459757,25.0546557921
B4翡翠邊間景觀美屋,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,29.7,194.0,1780,0,1,1,1,1,0,17,4,4,1,0,1,0,0,0,121.527270765,25.054714623
松江南京都更2房,南京東路二段,1,0,0,0,0,0,0,0,0,0,0,0,56.7,217.0,2098,0,2,2,2,2,0,4,3,3,1,0,1,0,0,0,121.534133887,25.053200407
大直捷運站前美裝大三房,北安路,1,0,0,0,0,0,0,0,0,0,0,0,46.7,242.0,3188,0,3,1,2,3,0,7,2,2,1,0,1,0,0,0,121.547185399,25.0800726356
獨中山捷運超美電梯2室,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,29.8,71.0,1498,0,2,1,1,2,0,7,2,2,1,0,1,0,0,0,121.523667982,25.0499855158
H5靜巷中庭四房坡平名宅,松江路,1,0,0,0,0,0,0,0,0,0,0,0,17.3,142.0,7398,1,4,2,2,4,0,14,13,13,1,0,1,0,0,0,121.530896793,25.0563348129
DZ2尊爵典藏捷運浪漫二房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,43.8,113.0,1680,0,2,2,1,2,0,12,8,8,1,0,1,0,0,0,121.525677839,25.0595801287
大直美堤花園三房美廈,敬業三路,1,0,0,0,0,0,0,0,0,0,0,0,25.8,142.0,3398,1,3,2,2,3,0,10,5,5,1,0,1,0,0,0,121.559017654,25.0790690425
大直美堤花園三房美廈,敬業三路,1,0,0,0,0,0,0,0,0,0,0,0,25.8,142.0,3398,0,3,2,2,3,0,10,5,5,1,0,1,0,0,0,121.559462337,25.0779757524
大直美堤花園三房美廈,敬業三路,1,0,0,0,0,0,0,0,0,0,0,0,25.8,142.0,3500,1,3,2,2,3,0,10,5,5,1,0,1,0,0,0,121.559017654,25.0790690425
大直美堤花園三房美廈,敬業三路,1,0,0,0,0,0,0,0,0,0,0,0,25.8,142.0,3500,0,3,2,2,3,0,10,5,5,1,0,1,0,0,0,121.559462337,25.0779757524
HZ7大直河畔首排樓中樓豪邸,明水路,1,0,0,0,0,0,0,0,0,0,0,0,29.8,168.0,9888,1,4,2,2,4,0,15,14,15,2,0,1,0,0,0,121.545949981,25.0779230326
中山國小方正小資兩房,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,43.3,190.0,1898,0,2,1,1,2,0,12,8,8,1,0,1,0,0,0,121.52722908,25.0590234057
中山松悅全新兩房兩衛車,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,1.5,44.0,5530,1,2,2,2,2,0,22,7,7,1,0,1,0,0,0,121.521194348,25.0506166482
專賣雙捷運興安華城(北區),復興北路,1,0,0,0,0,0,0,0,0,0,0,0,40.0,100.0,2888,0,3,2,1,3,0,15,6,6,1,0,1,0,0,0,121.543916085,25.0572276392
BZ4溫馨高樓陽台挑高3米6,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,29.1,195.0,898,0,1,1,1,1,0,11,9,9,1,0,1,0,0,0,121.524666248,25.0595155021
E4松江御苑綠蔭美邸,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,3.5,238.0,8500,1,3,2,2,3,0,15,3,3,1,0,1,0,0,0,121.535609,25.061092
D9晶華商圈精裝兩房,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,45.7,257.0,1198,0,2,1,1,2,0,12,9,9,1,0,1,0,0,0,121.527203534,25.0561115181
民權。一人好好生活,撫順街,1,0,0,0,0,0,0,0,0,0,0,0,38.2,72.0,1230,0,1,1,1,1,0,10,3,3,1,0,1,0,0,0,121.52141438,25.063785459
南京德運京鼎低調奢華景觀樓,南京東路二段,1,0,0,0,0,0,0,0,0,0,0,0,8.3,98.0,10500,1,3,2,2,3,0,24,12,12,1,0,1,0,0,0,121.528860597,25.0522083534
專任華泰王子旁電梯兩房,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,49.5,113.0,998,0,2,1,1,2,0,10,7,7,1,0,1,0,0,0,121.526809072,25.0571179213
D9中山北林蔭大道正兩房,中山北路三段,1,0,0,0,0,0,0,0,0,0,0,0,43.3,161.0,1650,0,2,1,1,2,0,12,9,9,1,0,1,0,0,0,121.522508426,25.0660380745
