物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS185790,天母穩定收租金店,士林區天母西路,OPEN,44坪,1/5樓,36年,店面,26萬
WS39593,新天地中庭景觀坡車-貳,士林區大南路,3房(室)2廳2衛,77坪,13/15樓,70年,住宅,61萬
QS32374,鄰新光百貨金店面,士林區天母東路,開放式,102坪,1/8樓,96年,店面,90萬
YS178717,美日僑商圈大面寬店面,士林區天母東路,--房(室)2廳2衛,120坪,1/8樓,96年,店面,112萬
WS39608,新天地中庭景觀坡車-壹,士林區大南路,3房(室)2廳2衛,134坪,13/15樓,70年,住宅,130萬
YS183554,T218捷運面河景SRC豪邸,士林區中山北路五段,4房(室)2廳2衛,159坪,16/18樓,152年,住宅,145萬
WS23378,天母市集超面寬金店,士林區天玉街,0房2室3廳1衛,184坪,1-B1/7樓,178年,住宅,171萬
YS183942,新美齊心岳高樓景觀宅$,士林區中山北路六段,3房(室)2廳2衛,209坪,11/14樓,202年,住宅,197萬
YS189819,士林捷運低總電梯,士林區後街,1房(室)1廳1衛,234坪,2/7樓,228年,住宅,222萬
WS49486,士林夜市黃金店面,士林區大東路,3房(室)3廳2衛,249坪,1-2/2樓,253年,店面,247萬
YS188355,天母庭院美一樓三房車位,士林區中山北路六段,3房(室)2廳2衛,46坪,1/7樓,38年,住宅,26萬
YS187466,華榮街雙店面透天,士林區華榮街,3房3廳4衛；加蓋1房1衛,75坪,1-2/2樓,68年,住宅,60萬
YS191617,文大全聯邊電梯收租房,士林區光華路,3房(室)--廳3衛,97坪,6/7樓,92年,住宅,86萬
YS185986,柏園映翠  自在山居,士林區莊頂路,5房(室)4廳4衛,122坪,B2-1/1樓,116年,住宅,109萬
YS189400,陽明山別墅大土地坪數,士林區仰德大道一段,6房(室)4廳6衛,145坪,B1-2/2樓,139年,住宅,133萬
ES49447,陽明山獨棟豪宅,士林區永公路,6房(室)3廳6衛,166坪,B1-2/27樓,161年,住宅,157萬
ZS183495,陽明山溫馨別墅,士林區莊頂路,4房(室)3廳3衛,179坪,1-2/2樓,180年,住宅,177萬
YS195939,至善景觀別墅,士林區至善路二段,4房(室)4廳3衛,197坪,1-2/2樓,199年,住宅,195萬
YS185342,面公園景觀美宅$,士林區社中街,4房(室)3廳1衛,228坪,5/5樓,221年,住宅,215萬
YS146222,T239陽明一會景觀豪邸,士林區菁山路,4房(室)3廳4衛,249坪,5/6樓,243年,住宅,239萬
YS188749,前港公園華齡美寓,士林區華齡街,4房(室)--廳4衛,43坪,5/5樓,35年,住宅,25萬
YS193258,天母大坪數低樓層美寓,士林區克強路,5房(室)3廳3衛,73坪,2/5樓,66年,住宅,60萬
YS193441,劍潭低總價大空間三樓收租逸品,士林區通河東街一段,5房(室)--廳5衛,88坪,3/4樓,92年,住宅,86萬
YS193575,T182社子靜巷雙層採光宅,士林區延平北路六段,1房(室)1廳2衛,117坪,5/5樓,112年,住宅,107萬
