物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS63467,B4中山國小低總套房II,中山區新生北路二段,開放式,42坪,9/14樓,35年,住宅,26萬
WS63524,B4中山國小低總質感宅3,中山區新生北路二段,開放式,58坪,12/14樓,35年,住宅,54萬
WS63562,B4中山國小低總質感宅7,中山區新生北路二段,--房(室)--廳--衛,42坪,5/14樓,35年,住宅,26萬
WS63556,B4中山國小低總質感宅6,中山區新生北路二段,開放式,77坪,14/14樓,35年,住宅,74萬
WS65890,IZ9基泰之星平面車位A,中山區農安街,車位,98坪,-2/14樓,93年,車位,87萬
WS65882,IZ9基泰之星平面車位AB,中山區農安街,車位,109坪,-2/14樓,93年,車位,106萬
WS67735,BZ9晶華商圈小資宅,中山區新生北路二段,開放式,126坪,10/12樓,121年,住宅,118萬
WS63512,B4中山國小低總質感宅2,中山區新生北路二段,開放式,136坪,5/14樓,35年,住宅,134萬
WS63576,B4中山國小低總套房10,中山區新生北路二段,開放式,147坪,7/14樓,35年,住宅,144萬
WS63476,B4中山國小低總套房13,中山區新生北路二段,開放式,156坪,12/14樓,35年,住宅,154萬
WS63534,B4中山國小低總質感宅4,中山區新生北路二段,開放式,42坪,12/14樓,35年,住宅,26萬
WS68966,獨中山捷運超美電梯2室,中山區中山北路一段,2房(室)1廳1衛,71坪,2/7樓,65年,住宅,57萬
WS69353,J6大直時代廣場頂級辦公4A,中山區植福路,--房(室)1廳--衛,95坪,4/10樓,90年,辦公,83萬
WS69347,J6大直時代廣場頂級辦公6A,中山區植福路,--房(室)1廳--衛,108坪,6/10樓,90年,辦公,104萬
WS69406,J6大直時代廣場頂級辦公4B,中山區植福路,--房(室)1廳--衛,119坪,4/10樓,90年,辦公,116萬
WS69601,H5靜巷中庭四房坡平名宅,中山區松江路,4房(室)2廳2衛,142坪,13/14樓,137年,住宅,130萬
ZS173943,紐約紐約車位-3,中山區中山北路二段,車位,162坪,B2/14樓,158年,車位,153萬
ZS173942,紐約紐約車位-2,中山區中山北路二段,車位,162坪,B2/14樓,158年,車位,153萬
ZS173975,紐約紐約車位-6,中山區中山北路二段,車位,162坪,B3/14樓,158年,車位,153萬
ZS173977,紐約紐約車位-8,中山區中山北路二段,車位,162坪,B3/14樓,158年,車位,153萬
ZS173946,紐約紐約車位-4,中山區中山北路二段,車位,38坪,B2/14樓,33年,車位,25萬
ZS173976,紐約紐約車位-7,中山區中山北路二段,車位,38坪,B3/14樓,33年,車位,25萬
ZS173982,紐約紐約車位-9,中山區中山北路二段,車位,38坪,B3/14樓,33年,車位,25萬
ZS173970,紐約紐約車位-5,中山區中山北路二段,車位,38坪,B3/14樓,33年,車位,25萬
ZS173940,紐約紐約車位-1,中山區中山北路二段,車位,38坪,B2/14樓,33年,車位,25萬
QS38866,民權西路捷運稀有坡平車位,中山區天祥路,車位,68坪,B3/14樓,81年,車位,78萬
WS64216,DZ2尊爵典藏捷運浪漫二房,中山區林森北路,2房(室)2廳1衛,113坪,8/12樓,107年,住宅,98萬
