物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
指南段三小段林地,指南段三小段,0,0,0,0,0,0,0,0,0,1,0,0,26.0,0,,,,,0,26,26.0,26.0,1.0,0,0,0,0,0
市中心獨門庭院透天厝,永安街,0,0,0,0,0,0,0,0,0,1,0,0,125.0,0,3.0,2.0,4.0,3.0,0,2,1.0,2.0,2.0,0,0,0,0,1
政大平面大土地透天厝,指南路三段,0,0,0,0,0,0,0,0,0,1,0,0,147.0,0,10.0,2.0,4.0,10.0,0,2,1.0,2.0,2.0,0,0,0,0,1
萬隆捷運美廈,萬盛街,0,0,0,0,0,0,0,0,0,1,0,0,176.0,0,,2.0,2.0,,0,8,5.0,5.0,1.0,0,1,0,0,0
木柵捷運大土地透天厝,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,201.0,0,7.0,4.0,3.0,7.0,0,3,1.0,3.0,3.0,0,0,0,0,1
麗景天廈雙捷運電梯三房,興隆路二段,0,0,0,0,0,0,0,0,0,1,0,0,227.0,0,3.0,2.0,2.0,3.0,0,7,4.0,4.0,1.0,0,1,0,0,0
湯泉河景兩房坡平車位,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,43.0,1,2.0,2.0,1.0,2.0,0,10,7.0,7.0,1.0,0,1,0,0,0
木柵公園裝潢4房,下崙路,0,0,0,0,0,0,0,0,0,1,0,0,68.0,0,4.0,2.0,2.0,4.0,0,5,4.0,4.0,1.0,0,1,0,0,0
太平洋干邑景觀美邸,興隆路二段,0,0,0,0,0,0,0,0,0,1,0,0,93.0,0,3.0,2.0,2.0,3.0,0,11,9.0,9.0,1.0,0,1,0,0,0
靜心文滙旁5樓美邸,仙岩路,0,0,0,0,0,0,0,0,0,1,0,0,119.0,0,5.0,3.0,5.0,5.0,0,5,5.0,5.0,1.0,0,1,0,0,0
鄉林景觀宅,富山路,0,0,0,0,0,0,0,0,0,1,0,0,140.0,0,2.0,2.0,2.0,2.0,0,24,4.0,4.0,1.0,0,1,0,0,0
未來捷運車庫一樓,興隆路四段,0,0,0,0,0,0,0,0,0,1,0,0,161.0,0,5.0,3.0,3.0,5.0,0,5,1.0,1.0,1.0,0,1,0,0,0
景美女中採光大三房面河景,木新路三段,0,0,0,0,0,0,0,0,0,1,0,0,179.0,0,3.0,2.0,1.0,3.0,0,5,4.0,4.0,1.0,0,1,0,0,0
捷運科大稀有方正二樓,興隆路三段,0,0,0,0,0,0,0,0,0,1,0,0,201.0,0,8.0,,3.0,8.0,0,5,2.0,2.0,1.0,0,1,0,0,0
近樟山寺林地Ⅰ,指南段三小段,0,0,0,0,0,0,0,0,0,1,0,0,24.0,0,,,,,0,24,24.0,24.0,1.0,0,0,0,0,0
台北市和平東路四段五樓頂加公寓,和平東路四段,0,0,0,0,0,0,0,0,0,1,0,0,236.0,0,3.0,2.0,2.0,3.0,0,5,5.0,5.0,1.0,1,0,0,0,0
C45 金光閃耀店面+住家,辛亥路四段,0,0,0,0,0,0,0,0,0,1,0,0,41.0,0,2.0,2.0,2.0,2.0,0,5,1.0,2.0,2.0,0,0,0,0,0
景華街稀有一樓店面,景華街,0,0,0,0,0,0,0,0,0,1,0,0,70.0,0,,,,,0,7,1.0,1.0,1.0,0,0,0,0,0
敦品邊間發財店面,辛亥路四段,0,0,0,0,0,0,0,0,0,1,0,0,40.0,0,1.0,1.0,1.0,1.0,0,14,1.0,1.0,1.0,0,0,0,0,0
靜心景華三角窗雙邊店面,景華街,0,0,0,0,0,0,0,0,0,1,0,0,105.0,0,2.0,2.0,1.0,2.0,0,4,1.0,1.0,1.0,0,0,0,0,0
臨路貓空田地,指南段三小段,0,0,0,0,0,0,0,0,0,1,0,0,23.0,0,,,,,0,23,23.0,23.0,1.0,0,0,0,0,0
保儀靜巷美寓宅,保儀路,0,0,0,0,0,0,0,0,0,1,0,0,148.0,0,3.0,2.0,1.0,3.0,0,5,1.0,1.0,1.0,0,1,0,0,0
書香世家稀有電梯住辦,木新路三段,0,0,0,0,0,0,0,0,0,1,0,0,170.0,0,2.0,3.0,1.0,2.0,0,7,3.0,3.0,1.0,0,1,0,0,0
萬芳醫院靜巷透天,興隆路三段,0,0,0,0,0,0,0,0,0,1,0,0,195.0,0,5.0,2.0,4.0,5.0,0,3,1.0,3.0,3.0,0,0,0,0,1
雨果文學面公園美宅,秀明路一段,0,0,0,0,0,0,0,0,0,1,0,0,215.0,0,2.0,2.0,2.0,2.0,0,11,5.0,5.0,1.0,0,1,0,0,0
陽光兩房景觀幸福宅,萬壽路,0,0,0,0,0,0,0,0,0,1,0,0,234.0,0,2.0,2.0,2.0,2.0,0,15,4.0,4.0,1.0,0,1,0,0,0
永建透天金店面,木柵路一段,0,0,0,0,0,0,0,0,0,1,0,0,29.0,0,4.0,2.0,4.0,4.0,0,4,1.0,4.0,4.0,0,0,0,0,1
考試院世新大學金店面,試院路,0,0,0,0,0,0,0,0,0,1,0,0,11.0,0,1.0,1.0,1.0,1.0,0,4,1.0,1.0,1.0,0,1,0,0,0
萬芳醫院捷運透天店面,興隆路三段,0,0,0,0,0,0,0,0,0,1,0,0,80.0,0,,,,,0,2,1.0,2.0,2.0,0,0,0,0,1
木柵市中心連鎖直營店面,木柵路二段,0,0,0,0,0,0,0,0,0,1,0,0,99.0,0,,,1.0,,0,4,1.0,1.0,1.0,0,0,0,0,0
木柵尊邸河景美邸,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,127.0,0,4.0,2.0,3.0,4.0,0,8,2.0,2.0,1.0,0,1,0,0,0
美景山莊稀有低樓層釋出公寓,景興路,0,0,0,0,0,0,0,0,0,1,0,0,151.0,0,3.0,2.0,2.0,3.0,0,5,2.0,2.0,1.0,1,0,0,0,0
興隆靜巷逸居一樓,興隆路四段,0,0,0,0,0,0,0,0,0,1,0,0,171.0,0,3.0,2.0,1.0,3.0,0,5,1.0,1.0,1.0,0,1,0,0,0
萬隆國宅恩典美3房,景福街,0,0,0,0,0,0,0,0,0,1,0,0,196.0,0,3.0,2.0,2.0,3.0,0,14,1.0,1.0,1.0,0,1,0,0,0
未來捷運靜巷景觀樓,保儀路,0,0,0,0,0,0,0,0,0,1,0,0,210.0,0,5.0,4.0,2.0,5.0,0,4,4.0,4.0,1.0,0,1,0,0,0
師大靜巷美3樓,汀州路四段,0,0,0,0,0,0,0,0,0,1,0,0,237.0,0,3.0,2.0,3.0,3.0,0,4,3.0,3.0,1.0,0,1,0,0,0
忠順大院2,忠順街二段,0,0,0,0,0,0,0,0,0,1,0,0,41.0,0,3.0,2.0,2.0,3.0,0,14,14.0,14.0,1.0,0,1,0,0,0
世新試院路大空間,試院路,0,0,0,0,0,0,0,0,0,1,0,0,69.0,0,,,,,0,6,-2.0,-2.0,1.0,0,1,0,0,0
捷運旁邊間金店面,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,91.0,0,,,,,0,14,1.0,1.0,1.0,0,0,0,0,0
景美帝標三房坡平車位,景文街,0,0,0,0,0,0,0,0,0,1,0,0,112.0,1,3.0,2.0,1.0,3.0,0,7,7.0,7.0,1.0,0,1,0,0,0
近捷運電梯三房車位,景後街,0,0,0,0,0,0,0,0,0,1,0,0,133.0,1,3.0,2.0,3.0,3.0,0,14,11.0,11.0,1.0,0,1,0,0,0
文山區大土地透天厝,辛亥路七段,0,0,0,0,0,0,0,0,0,1,0,0,148.0,0,7.0,3.0,3.0,7.0,0,2,1.0,2.0,2.0,0,0,0,0,1
元利四季莊園旁美寓,光輝路,0,0,0,0,0,0,0,0,0,1,0,0,180.0,0,4.0,2.0,2.0,4.0,0,5,3.0,3.0,1.0,0,1,0,0,0
忠順起家電梯3房,忠順街二段,0,0,0,0,0,0,0,0,0,1,0,0,196.0,0,3.0,2.0,2.0,3.0,0,7,3.0,3.0,1.0,0,1,0,0,0
文山台北花園透天別墅,萬芳路,0,0,0,0,0,0,0,0,0,1,0,0,219.0,0,7.0,2.0,3.0,7.0,0,3,-1.0,3.0,5.0,0,0,0,0,1
台北萬芳交流道木柵路建地,木柵路四段,0,0,0,0,0,0,0,0,0,1,0,0,18.0,0,,,,,0,18,18.0,18.0,1.0,0,0,0,0,0
興隆核心金軸店鋪,興隆路四段,0,0,0,0,0,0,0,0,0,1,0,0,41.0,0,,,,,0,5,1.0,1.0,1.0,0,0,0,0,0
忠順大院二期-高樓景觀3房車,木柵路二段,0,0,0,0,0,0,0,0,0,1,0,0,70.0,0,3.0,2.0,2.0,3.0,0,14,14.0,14.0,1.0,0,1,0,0,0
