物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
捷運高樓優商辦,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,92.0,0,2.0,2.0,,2.0,0,13.0,9.0,9.0,1.0,0,0,0,0,0
002東光帷幕低總純辦,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,70.0,0,,,,,0,13.0,9.0,9.0,1.0,0,0,0,0,0
001中山國小捷運低總純辦,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,70.0,0,,,,,0,13.0,9.0,9.0,1.0,0,0,0,0,0
捷運/收租商辦/精裝大採光,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,128.0,0,15.0,2.0,5.0,15.0,0,13.0,12.0,12.0,1.0,0,0,0,0,0
專任-晶華商圈住辦電梯三樓2房,長春路,1,0,0,0,0,0,0,0,0,0,0,0,151.0,0,2.0,1.0,1.0,2.0,0,9.0,3.0,3.0,1.0,0,1,0,0,0
花博高樓景觀辦住,新生北路三段,1,0,0,0,0,0,0,0,0,0,0,0,176.0,0,7.0,2.0,2.0,7.0,0,9.0,8.0,9.0,2.0,0,0,0,0,0
復北百坪高投報辦公室,興安街,1,0,0,0,0,0,0,0,0,0,0,0,199.0,0,,4.0,10.0,,0,14.0,3.0,3.0,1.0,0,0,0,0,0
060捷運中山國小站精華商辦,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,44.0,0,15.0,1.0,,15.0,0,13.0,9.0,9.0,1.0,0,0,0,0,0
龍江公園極美5房,龍江路,1,0,0,0,0,0,0,0,0,0,0,0,74.0,0,5.0,4.0,4.0,5.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
商三都更收租公寓,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,98.0,0,6.0,,6.0,6.0,0,4.0,2.0,2.0,1.0,1,0,0,0,0
榮星建北採光三房瞭望台,建國北路三段,1,0,0,0,0,0,0,0,0,0,0,0,118.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
*中山區芳鄰大廈,新生北路三段,1,0,0,0,0,0,0,0,0,0,0,0,143.0,0,1.0,1.0,1.0,1.0,0,14.0,10.0,10.0,1.0,0,1,0,0,0
K568冠德國賓藝術坡機車,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,25.0,1,,,,,0,16.0,-4.0,-4.0,1.0,0,0,0,0,0
有土地持份機械車位,新生北路一段,1,0,0,0,0,0,0,0,0,0,0,0,229.0,1,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
國賓晶品車位,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,249.0,1,,,,,1,7.0,25.0,7.0,-17.0,0,0,0,0,0
國際有約高投報車位,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,42.0,1,,,,,0,15.0,1.0,1.0,1.0,0,0,0,0,0
捷運民權西大坪數地下室,天祥路,1,0,0,0,0,0,0,0,0,0,0,0,57.0,0,,,,,0,7.0,-1.0,-1.0,1.0,0,0,0,0,0
文經百坪辦公室,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,142.0,0,,,,,0,12.0,-1.0,-1.0,1.0,0,0,0,0,0
241雙捷運大二房有陽台,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,161.0,0,2.0,1.0,1.0,2.0,0,12.0,10.0,10.0,1.0,0,1,0,0,0
雙捷運氣派商務辦公室,錦州街,1,0,0,0,0,0,0,0,0,0,0,0,180.0,0,,,,,0,13.0,9.0,9.0,1.0,0,0,0,0,0
103中山捷運站在台北有個家,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,195.0,0,1.0,1.0,1.0,1.0,0,12.0,11.0,11.0,1.0,0,0,0,0,0
捷運350米企業辦公,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,213.0,0,,,,,0,13.0,9.0,9.0,1.0,0,0,0,0,0
建北長安低總價投資車位,建國北路一段,1,0,0,0,0,0,0,0,0,0,0,0,77.0,1,,,,,0,14.0,-2.0,-2.0,1.0,0,0,0,0,0
中山條通日&夜金店,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,106.0,0,,2.0,4.0,,0,5.0,-1.0,1.0,3.0,0,0,0,0,0
條通稀有公寓二樓,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,119.0,0,3.0,2.0,1.0,3.0,0,4.0,2.0,2.0,1.0,1,0,0,0,0
中山條通商四店面,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,106.0,0,,3.0,4.0,,0,5.0,-1.0,1.0,3.0,0,0,0,0,0
中山國小捷運電梯美屋+車位,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,160.0,1,1.0,1.0,1.0,1.0,0,10.0,10.0,10.0,1.0,0,1,0,0,0
獨家榮星花園住辦,建國北路二段,1,0,0,0,0,0,0,0,0,0,0,0,181.0,0,,2.0,1.0,,0,14.0,10.0,10.0,1.0,0,1,0,0,0
行天宮黃金3房,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,205.0,0,3.0,2.0,1.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
371行天宮捷運三樓美寓,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,205.0,0,3.0,2.0,1.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
林森和益金銀精品2房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,42.0,0,2.0,2.0,1.0,2.0,0,12.0,6.0,6.0,1.0,0,1,0,0,0
雙城電梯華廈投資金雞母,雙城街,1,0,0,0,0,0,0,0,0,0,0,0,68.0,0,5.0,,5.0,5.0,0,8.0,2.0,2.0,1.0,0,0,0,1,0
面榮星公園住辦金店面,五常街,1,0,0,0,0,0,0,0,0,0,0,0,96.0,0,6.0,3.0,3.0,6.0,0,7.0,-1.0,1.0,3.0,0,1,0,0,0
雷諾瓦車位,雙城街,1,0,0,0,0,0,0,0,0,0,0,0,19.0,1,,,,,0,15.0,-2.0,-2.0,1.0,0,0,0,0,0
晴光高樓邊間採光美屋,德惠街,1,0,0,0,0,0,0,0,0,0,0,0,138.0,0,,,,,0,10.0,8.0,8.0,1.0,0,1,0,0,0
