物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
【延平北路・投報透天】,延平北路六段,0,0,0,0,0,0,1,0,0,0,0,0,85.0,0,7.0,1.0,8.0,7.0,0,4.0,1.0,2.0,2.0,0,0,0,0,1
國安局芝蘭別墅2,仰德大道一段,0,0,0,0,0,0,1,0,0,0,0,0,114.0,0,,,,,0,2.0,1.0,2.0,2.0,0,1,0,0,0
國安局芝蘭別墅1,仰德大道一段,0,0,0,0,0,0,1,0,0,0,0,0,130.0,0,,,,,0,2.0,1.0,2.0,2.0,0,1,0,0,0
士林社子街一樓,社子街,0,0,0,0,0,0,1,0,0,0,0,0,144.0,0,1.0,1.0,1.0,1.0,0,3.0,1.0,1.0,1.0,0,1,0,0,0
捷運透天德東金店,德行東路,0,0,0,0,0,0,1,0,0,0,0,0,167.0,0,,,,,0,2.0,1.0,2.0,2.0,0,0,0,0,1
農莊環景帶照別莊,仰德大道二段,0,0,0,0,0,0,1,0,0,0,0,0,190.0,0,,3.0,,,0,1.0,1.0,1.0,1.0,0,1,0,0,0
金賺透天店面$,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,220.0,0,4.0,2.0,1.0,4.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
T115士林三角窗大面寬店王,社中街,0,0,0,0,0,0,1,0,0,0,0,0,241.0,0,,1.0,1.0,,0,4.0,1.0,1.0,1.0,0,0,0,0,0
&美國學校精裝一樓,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,1.0,2.0,1.0,1.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
鄉林陽明厝王樓中樓,基河路,0,0,0,0,0,0,1,0,0,0,0,0,74.0,0,4.0,3.0,5.0,4.0,0,15.0,14.0,15.0,2.0,0,1,0,0,0
芝山捷運庭院車庫,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,99.0,0,4.0,2.0,3.0,4.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
芝蘭新村別墅,仰德大道一段,0,0,0,0,0,0,1,0,0,0,0,0,123.0,0,5.0,2.0,6.0,5.0,0,2.0,-1.0,2.0,4.0,0,1,0,0,0
天母大面寬住辦好停車,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,143.0,0,3.0,2.0,2.0,3.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
陽明山庭院別墅,仰德大道一段,0,0,0,0,0,0,1,0,0,0,0,0,157.0,0,5.0,2.0,6.0,5.0,0,2.0,-1.0,2.0,4.0,0,1,0,0,0
高島屋邊間黃金二樓美寓,芝玉路二段,0,0,0,0,0,0,1,0,0,0,0,0,180.0,0,3.0,2.0,1.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
天玉豪宅庭院奢華一樓,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,,2.0,1.0,,0,5.0,1.0,1.0,1.0,0,1,0,0,0
忠誠崗石城堡盛宴大戶,忠誠路二段,0,0,0,0,0,0,1,0,0,0,0,0,213.0,0,4.0,2.0,3.0,4.0,0,12.0,2.0,2.0,1.0,0,1,0,0,0
士東國小四房車庫一樓,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,234.0,0,4.0,2.0,2.0,4.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
天母穩定收租金店,天母西路,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,,,,,0,5.0,1.0,1.0,1.0,0,0,0,0,0
新天地中庭景觀坡車-貳,大南路,0,0,0,0,0,0,1,0,0,0,0,0,77.0,0,3.0,2.0,2.0,3.0,0,15.0,13.0,13.0,1.0,0,1,0,0,0
鄰新光百貨金店面,天母東路,0,0,0,0,0,0,1,0,0,0,0,0,102.0,0,,,,,0,8.0,1.0,1.0,1.0,0,0,0,0,0
美日僑商圈大面寬店面,天母東路,0,0,0,0,0,0,1,0,0,0,0,0,120.0,0,,2.0,2.0,,0,8.0,1.0,1.0,1.0,0,0,0,0,0
新天地中庭景觀坡車-壹,大南路,0,0,0,0,0,0,1,0,0,0,0,0,134.0,0,3.0,2.0,2.0,3.0,0,15.0,13.0,13.0,1.0,0,1,0,0,0
T218捷運面河景SRC豪邸,中山北路五段,0,0,0,0,0,0,1,0,0,0,0,0,159.0,0,4.0,2.0,2.0,4.0,0,18.0,16.0,16.0,1.0,0,1,0,0,0
天母市集超面寬金店,天玉街,0,0,0,0,0,0,1,0,0,0,0,0,184.0,0,,3.0,1.0,,0,7.0,,,,0,1,0,0,0
新美齊心岳高樓景觀宅$,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,209.0,0,3.0,2.0,2.0,3.0,0,14.0,11.0,11.0,1.0,0,1,0,0,0
士林捷運低總電梯,後街,0,0,0,0,0,0,1,0,0,0,0,0,234.0,0,1.0,1.0,1.0,1.0,0,7.0,2.0,2.0,1.0,0,1,0,0,0
士林夜市黃金店面,大東路,0,0,0,0,0,0,1,0,0,0,0,0,249.0,0,3.0,3.0,2.0,3.0,0,2.0,1.0,2.0,2.0,0,0,0,0,0
天母庭院美一樓三房車位,中山北路六段,0,0,0,0,0,0,1,0,0,0,0,0,46.0,1,3.0,2.0,2.0,3.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
華榮街雙店面透天,華榮街,0,0,0,0,0,0,1,0,0,0,0,0,75.0,0,,3.0,4.0,,0,2.0,1.0,2.0,2.0,0,0,0,0,1
文大全聯邊電梯收租房,光華路,0,0,0,0,0,0,1,0,0,0,0,0,97.0,0,3.0,,3.0,3.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
柏園映翠  自在山居,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,122.0,0,5.0,4.0,4.0,5.0,0,1.0,-2.0,1.0,4.0,0,1,0,0,0
陽明山別墅大土地坪數,仰德大道一段,0,0,0,0,0,0,1,0,0,0,0,0,145.0,0,6.0,4.0,6.0,6.0,0,2.0,-1.0,2.0,4.0,0,1,0,0,0
陽明山獨棟豪宅,永公路,0,0,0,0,0,0,1,0,0,0,0,0,166.0,0,6.0,3.0,6.0,6.0,0,27.0,-1.0,2.0,4.0,0,1,0,0,0
陽明山溫馨別墅,莊頂路,0,0,0,0,0,0,1,0,0,0,0,0,179.0,0,4.0,3.0,3.0,4.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
至善景觀別墅,至善路二段,0,0,0,0,0,0,1,0,0,0,0,0,197.0,0,4.0,4.0,3.0,4.0,0,2.0,1.0,2.0,2.0,0,1,0,0,0
面公園景觀美宅$,社中街,0,0,0,0,0,0,1,0,0,0,0,0,228.0,0,4.0,3.0,1.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
T239陽明一會景觀豪邸,菁山路,0,0,0,0,0,0,1,0,0,0,0,0,249.0,0,4.0,3.0,4.0,4.0,0,6.0,5.0,5.0,1.0,0,1,0,0,0
前港公園華齡美寓,華齡街,0,0,0,0,0,0,1,0,0,0,0,0,43.0,0,4.0,,4.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
天母大坪數低樓層美寓,克強路,0,0,0,0,0,0,1,0,0,0,0,0,73.0,0,5.0,3.0,3.0,5.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
劍潭低總價大空間三樓收租逸品,通河東街一段,0,0,0,0,0,0,1,0,0,0,0,0,88.0,0,5.0,,5.0,5.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
T182社子靜巷雙層採光宅,延平北路六段,0,0,0,0,0,0,1,0,0,0,0,0,117.0,0,1.0,1.0,2.0,1.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
A702磺溪特區天母極品,福華路,0,0,0,0,0,0,1,0,0,0,0,0,144.0,0,3.0,2.0,2.0,3.0,0,12.0,4.0,4.0,1.0,0,1,0,0,0
