物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71436,專約忠孝復興統創精品宅,大安區復興南路一段,1房(室)--廳--衛,208坪,6/15樓,202年,住宅,196萬
WS71838,安和敦安景觀雅緻三房,大安區安和路二段,3房(室)2廳3衛,226坪,7/12樓,221年,獨立套房,217萬
YS197210,忠孝復興站收租金雞,大安區復興南路一段,5房(室)--廳5衛,248坪,5/12樓,242年,住宅,238萬
WS71829,東區SOGO精品宅,大安區忠孝東路四段,1房(室)1廳1衛,41坪,10/12樓,34年,住宅,24萬
WS71921,E13六張犁4+5美寓,大安區和平東路三段,3房(室)2廳2衛,58坪,4/4樓,62年,住宅,56萬
WS71996,忠孝敦化捷運電梯三房,大安區忠孝東路四段,3房(室)2廳2衛,89坪,4/7樓,83年,住宅,79萬
OS187126,捷運六張犁黃金二樓,大安區基隆路二段,4房(室)2廳3衛,116坪,2/5樓,109年,住宅,102萬
WS55511,信義安和站通化收租美寓,大安區通化街,3房(室)--廳3衛,138坪,4/5樓,131年,住宅,127萬
WS55571,信義安和站通化收租美寓,大安區通化街,3房(室)--廳3衛,138坪,4/5樓,131年,住宅,127萬
WS47545,森林公園新生金華整棟華廈,大安區永康街,10房(室)2廳11衛,170坪,B1-6/6樓,163年,住宅,156萬
WS34087,敦南電腦停車位,大安區敦化南路二段,停車塔,23坪,1/13樓,192年,車位,183萬
WS70782,敦南黃金收租金店辦,大安區敦化南路一段,5房(室)--廳1衛,216坪,1/7樓,211年,店面,206萬
ZS180578,忠孝東路帝王景緻辦公,大安區忠孝東路四段,4房(室)1廳--衛,239坪,12/12樓,233年,辦公,229萬
WS25417,正東區統領美妝景觀辦公,大安區忠孝東路四段,OPEN,42坪,12/12樓,34年,辦公,25萬
ZS179979,忠孝敦化美妝邊間商辦,大安區忠孝東路四段,4房(室)1廳--衛,42坪,12/12樓,34年,辦公,25萬
ZS179767,統領商業大樓,大安區忠孝東路四段,4室/1廳,42坪,12/12樓,34年,辦公,25萬
WS26654,統領高樓辦公,大安區忠孝東路四段,OPEN,42坪,12/12樓,34年,辦公,25萬
WS26517,忠孝統領高樓保值商辦,大安區忠孝東路四段,開放式,42坪,12/12樓,34年,辦公,25萬
WS33315,附中住辦新裝潢,大安區復興南路一段,1房(室)1廳2衛,114坪,9/14樓,107年,住商,99萬
WS38423,忠孝敦化高樓商辦,大安區忠孝東路四段,1廳4室,42坪,12/12樓,34年,辦公,125萬
WS54039,正金山南路店面,大安區金山南路二段,OPEN,140坪,1/6樓,146年,店面,139萬
YS193211,台電大樓全新黃金來財店面,大安區羅斯福路三段,開放式,171坪,1-2/15樓,57年,店面,161萬
WS71122,地上權麟光捷運10房2廳加車位,大安區和平東路三段,10房(室)2廳5衛,185坪,1/1樓,190年,住宅,183萬
WS70532,敦南首都小宅,大安區和平東路三段,1房(室)1廳1衛,42坪,5/12樓,35年,住宅,25萬
WS70534,通化燙金收租店面,大安區通化街,--房(室)--廳1衛,68坪,1/17樓,63年,店面,56萬
YS196988,正基隆路雙捷運美廈,大安區基隆路二段,4房(室)2廳2衛,92坪,8/12樓,86年,住宅,80萬
WS70778,信義安和101景觀樓中樓加車位,大安區通化街,2房(室)2廳2衛,114坪,9-10/10樓,108年,住宅,101萬
