物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS59038,信義W110精緻美宅,信義區光復南路,1房(室)1廳1衛,248坪,6/18樓,243年,住宅,239萬
WS42564,聯合大哲,信義區忠孝東路四段,OPEN,42坪,12/24樓,35年,住宅,26萬
ZS194397,信義區面寬大庭院一樓,信義區虎林街,3房(室)2廳2衛,57坪,1/4樓,63年,住宅,55萬
WS45792,夏宮捷運一層一戶豪邸,信義區福德街,開放式,87坪,4/13樓,82年,住宅,77萬
WS51113,廣慈捷運大一樓,信義區福德街,5房(室)--廳2衛,109坪,1/4樓,103年,住宅,99萬
WS68596,挹翠遠眺101景觀華廈,信義區祥雲街,2+1房2廳2衛,133坪,3/7樓,128年,住宅,121萬
YS166933,Y166後山埤大面寬千坪廣場,信義區林口街,--房(室)2廳--衛,157坪,B2-1/12樓,151年,店面,145萬
WS32237,忠孝東路頂級商辦,信義區忠孝東路五段,1室3廳,179坪,3/10樓,174年,住商,168萬
WS67081,宏築信義景觀次頂樓大戶,信義區和平東路三段,3房(室)2廳2衛,198坪,23/24樓,194年,住宅,190萬
WS67753,信義香榭美2房,信義區信義路五段,2房(室)1廳1衛,223坪,9/19樓,218年,住宅,211萬
WS67582,信義國泰收租頂寓,信義區信義路六段,7房7衛,247坪,5/5樓,241年,住宅,236萬
WS67577,大巨蛋收租花園美寓,信義區忠孝東路四段,6房(室)2廳6衛,43坪,5/5樓,35年,住宅,25萬
WS68004,信義巨龍商辦,信義區信義路四段,3房(室)1廳2衛,72坪,4/12樓,67年,辦公,58萬
WS68084,信義富邦美術館大一樓,信義區忠孝東路五段,14房(室)--廳4衛,102坪,B1-1/7樓,95年,住宅,86萬
QS45102,E42信義帝國挑高美店面,信義區永吉路,--房(室)--廳1衛,127坪,1/14樓,121年,住商,113萬
WS69981,饒河商圈挑高旗艦店,信義區基隆路一段,OPEN,149坪,1/14樓,144年,店面,139萬
ZS199946,101高第景觀宅,信義區永吉路,2房(室)2廳2衛,169坪,14/14樓,164年,住宅,161萬
WS67403,信義The One店面車位,信義區忠孝東路五段,OPEN,189坪,1-2/12樓,183年,店面,180萬
WS68080,北醫電梯新裝小套,信義區吳興街,1房(室)1廳1衛,208坪,3/7樓,205年,住宅,200萬
ZS198761,北醫羅丹電梯美裝套,信義區吳興街,1房(室)--廳1衛,208坪,3/7樓,205年,住宅,200萬
ZS194290,廣慈捷運2+1房,信義區福德街,3房(室)2廳2衛,237坪,4/4樓,35年,住宅,229萬
WS60023,101超值景觀鼎佳,信義區信義路五段,5房(室)3廳3衛,41坪,5/5樓,35年,住宅,25萬
YS189780,信義區稀有，地段＋空間雙優勢,信義區基隆路二段,5房(室)2廳3衛,69坪,1-B1/7樓,62年,住宅,55萬
YS191576,101景觀超值鼎佳美寓,信義區信義路五段,5房(室)3廳3衛,41坪,5/5樓,35年,住宅,25萬
YS195985,世貿歐香景觀住辦,信義區基隆路二段,2房(室)2廳2衛,102坪,12/12樓,96年,住商,90萬
TS137615,B204信義文教設計小宅,信義區吳興街,1房(室)1廳1衛,12坪,2/5樓,118年,住宅,112萬
WS50205,松山信義路口店面,信義區松山路,1廳1衛,145坪,1/4樓,141年,店面,134萬
WS53790,象山人潮高投報金店,信義區信義路六段,--房(室)2廳2衛,157坪,1/4樓,159年,店面,155萬
WS54250,國父紀念館頂樓大空間,信義區光復南路,3房(室)2廳1衛,185坪,5/5樓,178年,住宅,174萬
YS187697,御璽精裝庭院戶,信義區松智路,3房(室)2廳3衛,208坪,1/7樓,202年,住宅,197萬
WS54905,台北醫學商圈美寓3房,信義區吳興街,3房(室)2廳2衛,228坪,2/4樓,222年,住宅,219萬
WS05351,J3永吉大面寬金店面,信義區永吉路,open,41坪,1/12樓,34年,住宅,25萬
WS53429,信義101全新裝潢美三房,信義區吳興街,3房(室)2廳2衛,57坪,2/4樓,62年,住宅,55萬
WS05370,J2光復南路三角店,信義區光復南路,開放式,86坪,1/12樓,82年,店面,77萬
WS46297,信義MRT巨蛋收租金庫,信義區基隆路一段,依現場實際狀況,111坪,1-2/16樓,105年,店面,98萬
WS56954,北醫低公設電梯,信義區莊敬路,5房(室)2廳2衛,138坪,6/7樓,132年,住宅,124萬
ZS195483,唯一忠孝東路五段正門牌公園2樓,信義區忠孝東路五段,2房(室)2廳2衛,152坪,2/4樓,154年,住宅,150萬
WS46425,夏宮捷運獨戶美妝豪宅,信義區福德街,3房(室)2廳2衛,180坪,5/13樓,175年,住宅,170萬
OS212614,正面虎林街燙金店面,信義區虎林街,3房(室)2廳2衛,201坪,1/5樓,194年,店面,191萬
WS59416,麟光捷運一樓,信義區和平東路三段,3房(室)3廳3衛,224坪,1/5樓,218年,住宅,214萬
XS136955,信義區吳興街收租三套房,信義區吳興街,3房(室)--廳3衛,235坪,1/4樓,236年,住宅,233萬
YS188190,信義商圈景觀高樓,信義區信義路五段,1房(室)--廳1衛,43坪,14/14樓,36年,住商,26萬
YS190484,近永春捷運角窗黃金店面,信義區松山路,2房(室)1廳1衛,59坪,1/4樓,66年,住宅,57萬
WS61499,信義The One樓中樓,信義區忠孝東路五段,開放式,93坪,12/12樓,87年,住宅,82萬
WS55828,信義黃金二樓美寓三房,信義區吳興街,3房(室)2廳2衛,115坪,2/5樓,109年,住宅,103萬
WS60322,市府信義TEMPO店面附雙車,信義區永吉路,2房(室)2廳2衛,142坪,1-2/10樓,136年,店面,128萬
WS60425,北醫商圈全新裝潢3房美宅,信義區吳興街,3房(室)2廳2衛,159坪,2/4樓,154年,住宅,152萬
WS59380,吳興街增值一樓,信義區吳興街,4房(室)2廳1衛,177坪,1/5樓,171年,住宅,168萬
WS60329,市府信義TEMPO附車,信義區永吉路,2房(室)2廳2衛,142坪,1-2/10樓,136年,店面,186萬
WS60332,市府信義TEMPO店面,信義區永吉路,2房(室)2廳2衛,142坪,1-2/10樓,136年,店面,195萬
WS62217,信義誠家高樓露台戶,信義區吳興街,3房(室)2廳1.5衛,216坪,9/10樓,210年,住宅,205萬
TS139549,Tony嚴選-家的四季之2樓房,信義區虎林街,3房(室)2廳2衛,43坪,2/5樓,36年,住宅,26萬
WS61599,光復三角窗金店面,信義區仁愛路四段,OPEN,68坪,1/5樓,62年,店面,56萬
WS61698,新寶信義鋼骨景觀住辦,信義區基隆路一段,3房(室)2廳2衛,91坪,12/13樓,85年,住商,78萬
WS60874,信義松德精華店面,信義區松德路,--房(室)--廳1衛,112坪,1/23樓,107年,店面,101萬
TS139551,Tony嚴選-家的四季之5樓房,信義區虎林街,3房(室)2廳2衛,123坪,5/5樓,36年,住宅,26萬
TS139571,Tony嚴選-家的四季之3樓房,信義區虎林街,3房(室)2廳2衛,43坪,3/5樓,36年,住宅,26萬
WS61399,【信邑】近市府面寬金店面,信義區永吉路,2廳1衛,151坪,1/8樓,146年,店面,139萬
WS53723,上林苑獨棟景觀花園別墅,信義區青雲街,5房(室)3廳5衛,175坪,1-3/3樓,170年,其他,162萬
WS62950,廣慈低總三樓美寓,信義區福德街,3房(室)2廳1衛,197坪,3/5樓,192年,住宅,188萬
WS62199,♥上林苑101景觀別墅,信義區青雲街,4房(室)3廳4衛,218坪,B1-3/3樓,170年,住宅,209萬
WS61932,新寶信義鋼骨景觀住辦,信義區基隆路一段,3房(室)2廳2衛,42坪,12/13樓,35年,住商,25萬
WS63378,樂揚映白全新2房2衛平車,信義區嘉興街,2房(室)2廳2衛,65坪,6/12樓,61年,住宅,54萬
ZS195374,信義御璽庭園一樓雙車,信義區松智路,3房(室)2廳3衛,90坪,1/7樓,84年,住宅,77萬
TS139569,Tony嚴選-家的四季之4樓房,信義區虎林街,3房(室)2廳2衛,113坪,4/5樓,107年,住宅,101萬
YS192723,上林苑景觀別墅,信義區青雲街,6房(室)4廳5衛,142坪,B1-3/3樓,135年,住宅,125萬
WS64339,信義麗心成家2房首選-預售,信義區松隆路,2房(室)1廳1衛,161坪,4/12樓,156年,住宅,101萬
YS192750,上林苑獨棟別墅,信義區青雲街,6房(室)4廳5衛,142坪,B1-3/3樓,135年,住宅,125萬
