物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
計畫區永富信義雙璽臻邸,松勤街,0,0,1,0,0,0,0,0,0,0,0,0,118.0,0,6.0,4.0,6.0,6.0,0,7.0,2.0,2.0,1.0,0,1,0,0,0
計畫區永富信義名邸I,松勤街,0,0,1,0,0,0,0,0,0,0,0,0,135.0,0,3.0,2.0,3.0,3.0,0,7.0,2.0,2.0,1.0,0,1,0,0,0
文普世紀天廈小型純辦,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,158.0,0,,1.0,,,0,21.0,5.0,5.0,1.0,0,0,0,0,0
K4收租王｜北醫合法隔套,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,181.0,0,7.0,4.0,4.0,7.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
【麟光站｜近文湖線・三面採光】,和平東路三段,0,0,1,0,0,0,0,0,0,0,0,0,202.0,0,4.0,2.0,2.0,4.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
【北醫｜吳興街・庭院一樓】,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,218.0,0,3.0,2.0,2.0,3.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
信義區SRC純辦獨戶雙坡車,永吉路,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,,1.0,,,0,14.0,2.0,2.0,1.0,0,0,0,0,0
AZ9新川普精緻美屋坡平車,信義路五段,0,0,1,0,0,0,0,0,0,0,0,0,69.0,0,1.0,1.0,1.0,1.0,0,19.0,2.0,2.0,1.0,0,1,0,0,0
台北京華商辦,基隆路一段,0,0,1,0,0,0,0,0,0,0,0,0,92.0,0,,2.0,3.0,,0,12.0,9.0,9.0,1.0,0,0,0,0,0
莊敬漂亮黃金三樓,莊敬路,0,0,1,0,0,0,0,0,0,0,0,0,115.0,0,3.0,2.0,1.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
瑞雲景觀美邸,瑞雲街,0,0,1,0,0,0,0,0,0,0,0,0,135.0,0,2.0,2.0,1.0,2.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
信義國中美寓鼎佳,莊敬路,0,0,1,0,0,0,0,0,0,0,0,0,153.0,0,,2.0,1.0,,0,4.0,4.0,4.0,1.0,0,1,0,0,0
&台北信義層峰豪邸,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,174.0,0,,3.0,2.0,,0,22.0,20.0,20.0,1.0,0,1,0,0,0
上林苑私家花園別墅,青雲街,0,0,1,0,0,0,0,0,0,0,0,0,195.0,0,,4.0,5.0,,0,3.0,-1.0,3.0,5.0,0,1,0,0,0
上林苑景觀別墅,青雲街,0,0,1,0,0,0,0,0,0,0,0,0,213.0,0,,3.0,6.0,,0,3.0,1.0,3.0,3.0,0,1,0,0,0
【市政府站｜忠孝東路・商三特】,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,233.0,0,3.0,3.0,3.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
廣慈公寓都更進行中,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,3.0,2.0,1.0,3.0,0,4.0,2.0,2.0,1.0,1,0,0,0,0
【永春站｜近計畫區・店面辦公】,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,4.0,3.0,4.0,4.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
世貿台北101景觀住辦,信義路四段,0,0,1,0,0,0,0,0,0,0,0,0,97.0,0,,2.0,2.0,,0,11.0,10.0,10.0,1.0,0,0,0,0,0
&信義庭院大戶雙坡車,松智路,0,0,1,0,0,0,0,0,0,0,0,0,116.0,0,3.0,2.0,2.0,3.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
上林苑別墅,青雲街,0,0,1,0,0,0,0,0,0,0,0,0,140.0,0,4.0,3.0,4.0,4.0,0,3.0,1.0,3.0,3.0,0,1,0,0,0
&專任世貿101景觀美妝,信安街,0,0,1,0,0,0,0,0,0,0,0,0,158.0,0,3.0,2.0,2.0,3.0,0,7.0,4.0,4.0,1.0,0,1,0,0,0
B7車位賣Yes世貿社區,信義路五段,0,0,1,0,0,0,0,0,0,0,0,0,25.0,1,,,,,0,14.0,,,,0,0,0,0,0
頭份國中正對面 中央段都市住宅地,頭份市中央段,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,,,,,0,0.0,0.0,0.0,1.0,0,0,0,0,0
北醫電梯大戶平車,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,134.0,1,8.0,2.0,3.0,8.0,0,6.0,2.0,2.0,1.0,0,0,0,0,0
信義計畫馬可波羅花園五房,松德路,0,0,1,0,0,0,0,0,0,0,0,0,240.0,0,5.0,2.0,3.0,5.0,0,13.0,2.0,2.0,1.0,0,1,0,0,0
信義計畫區豪宅松雍13A,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,,,,,0,16.0,13.0,13.0,1.0,0,1,0,0,0
信義計畫區豪宅松雍13B,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,,,,,0,16.0,13.0,13.0,1.0,0,1,0,0,0
信義計畫區豪宅松雍4B,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,75.0,0,,,,,0,16.0,4.0,4.0,1.0,0,1,0,0,0
信義計畫區豪宅松雍4A,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,,,,,0,16.0,4.0,4.0,1.0,0,1,0,0,0
富陽街公寓二樓,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,110.0,0,3.0,2.0,1.0,3.0,0,5.0,2.0,2.0,1.0,1,0,0,0,0
青山綠境買地送屋,吳興段二小段,0,0,1,0,0,0,0,0,0,0,0,0,129.0,0,,,,,0,2.0,1.0,2.0,2.0,0,0,0,0,0
信義山林養生透天,,0,0,1,0,0,0,0,0,0,0,0,0,27.0,0,4.0,3.0,5.0,4.0,0,27.0,27.0,27.0,1.0,0,0,0,0,1
吳興街商圈四房美寓,松仁路,0,0,1,0,0,0,0,0,0,0,0,0,169.0,0,4.0,2.0,2.0,4.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
信義商三收租角地,三興段一小段,0,0,1,0,0,0,0,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
市府國品電梯三房,基隆路一段,0,0,1,0,0,0,0,0,0,0,0,0,210.0,0,3.0,2.0,2.0,3.0,0,7.0,3.0,3.0,1.0,0,1,0,0,0
FZ7國館優質3房頂家,光復南路,0,0,1,0,0,0,0,0,0,0,0,0,43.0,0,3.0,2.0,1.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
信義計畫太平洋凱旋,松平路,0,0,1,0,0,0,0,0,0,0,0,0,73.0,0,4.0,2.0,5.0,4.0,0,10.0,2.0,3.0,2.0,0,1,0,0,0
O15和平東路黎富公園一樓,和平東路三段,0,0,1,0,0,0,0,0,0,0,0,0,98.0,0,2.0,2.0,1.0,2.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
稀有信義區一樓前院車庫宅,信安街,0,0,1,0,0,0,0,0,0,0,0,0,119.0,0,3.0,2.0,2.0,3.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
永春永吉靜巷美寓,永吉路,0,0,1,0,0,0,0,0,0,0,0,0,140.0,0,2.0,2.0,1.0,2.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
麟光捷運邊間壹樓,和平東路三段,0,0,1,0,0,0,0,0,0,0,0,0,159.0,0,3.0,2.0,2.0,3.0,0,5.0,-1.0,1.0,3.0,0,0,0,0,0
101世貿兩室+車位,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,182.0,1,,2.0,1.0,,0,12.0,7.0,7.0,1.0,0,0,0,0,0
貴婦百貨景觀戶,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,205.0,0,1.0,2.0,2.0,1.0,0,13.0,11.0,11.0,1.0,0,1,0,0,0
【世貿新城．綠意盎然】,松智路,0,0,1,0,0,0,0,0,0,0,0,0,172.0,0,2.0,2.0,2.0,2.0,0,13.0,3.0,3.0,1.0,0,1,0,0,0
FZ6福德邊間採光三樓,福德街,0,0,1,0,0,0,0,0,0,0,0,0,242.0,0,3.0,2.0,1.0,3.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
冠德領袖綠景雙車位,松勇路,0,0,1,0,0,0,0,0,0,0,0,0,9.0,1,5.0,2.0,2.0,5.0,0,18.0,4.0,4.0,1.0,0,1,0,0,0
信義區一樓庭院大宅,信義路六段,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,5.0,1.0,1.0,1.0,0,1,0,0,0
東騰信義質感幽靜山居美邸,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,92.0,0,3.0,2.0,2.0,3.0,0,9.0,8.0,8.0,1.0,0,1,0,0,0
宜蘭市美農，大面大坪數,宜蘭市宜福段,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,,,,,0,0.0,0.0,0.0,1.0,0,0,0,0,0
象山保護區土地,吳興段三小段0142-00,0,0,1,0,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
國館電梯永馨精品,光復南路,0,0,1,0,0,0,0,0,0,0,0,0,149.0,0,,,,,0,12.0,3.0,3.0,1.0,0,0,0,0,0
信義區-富陽街建地,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
信義區黃金建地,永春段三小段,0,0,1,0,0,0,0,0,0,0,0,0,25.0,0,,,,,0,0.0,0.0,0.0,1.0,0,0,0,0,0
國際名紳2房2衛坡平車,松德路,0,0,1,0,0,0,0,0,0,0,0,0,201.0,0,2.0,2.0,2.0,2.0,0,24.0,2.0,2.0,1.0,0,1,0,0,0
EZ4捷運夏宮獨戶質感豪邸,福德街,0,0,1,0,0,0,0,0,0,0,0,0,224.0,0,3.0,2.0,2.0,3.0,0,13.0,5.0,5.0,1.0,0,1,0,0,0
EZ4丰藝捷運夏宮｜層峰豪邸,福德街,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,,,,,0,13.0,4.0,4.0,1.0,0,1,0,0,0
&EAT101景觀時尚2房,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,2.0,2.0,2.0,2.0,0,11.0,6.0,6.0,1.0,0,1,0,0,0
高第101產權坡機車位,永吉路,0,0,1,0,0,0,0,0,0,0,0,0,96.0,1,,,,,0,14.0,-6.0,-6.0,1.0,0,0,0,0,0
六張犁捷運鼎家,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,120.0,0,6.0,2.0,3.0,6.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
帝王露台鋼骨坡車,松德路,0,0,1,0,0,0,0,0,0,0,0,0,144.0,0,,2.0,2.0,,0,30.0,27.0,27.0,1.0,0,0,0,0,0
